gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
?|100133144	5.1391	?|100133144	15.2268
lowly_expressed	lowly_expressed	?|100134869	5.608
?|10357	132.1104	?|10357	88.5162
?|10431	1179.1582	?|10431	582.5074
?|155060	95.69	?|155060	221.0808
lowly_expressed	lowly_expressed	?|553137	7.5237
?|57714	443.2926	?|57714	757.8673
?|645851	43.7178	?|645851	12.7324
?|652919	61.4434	?|652919	48.9532
?|653553	308.7762	?|653553	84.7862
?|729884	9.783	lowly_expressed	lowly_expressed
?|8225	155.611	?|8225	504.9555
lowly_expressed	lowly_expressed	?|90288	26.9117
A1BG|1	30.8776	A1BG|1	49.9718
A2LD1|87769	82.4555	A2LD1|87769	79.1926
A2ML1|144568	450.9355	A2ML1|144568	6.9449
A2M|2	12046.1697	A2M|2	37087.5497
A4GALT|53947	121.3704	A4GALT|53947	341.4599
AAAS|8086	402.9377	AAAS|8086	526.0797
AACS|65985	586.0633	AACS|65985	2087.2459
AADAC|13	28.1261	AADAC|13	166.1
AADAT|51166	70.3154	AADAT|51166	81.8925
AAGAB|79719	1786.9276	AAGAB|79719	668.7405
AAK1|22848	1073.9909	AAK1|22848	1548.4338
AAMP|14	729.1398	AAMP|14	2176.3727
AARS2|57505	108.5302	AARS2|57505	404.8181
AARSD1|80755	146.4394	AARSD1|80755	458.0771
AARS|16	1389.1872	AARS|16	2521.0157
AASDHPPT|60496	2186.5024	AASDHPPT|60496	818.0569
AASDH|132949	417.0007	AASDH|132949	402.8069
AASS|10157	202.6917	AASS|10157	1385.8063
AATF|26574	435.3439	AATF|26574	1040.0058
AATK|9625	9.4773	AATK|9625	48.3253
ABAT|18	1659.4428	ABAT|18	470.8095
ABCA10|10349	22.0118	ABCA10|10349	568.9069
ABCA11P|79963	85.8459	ABCA11P|79963	141.0085
ABCA12|26154	1334.7692	ABCA12|26154	29.516
lowly_expressed	lowly_expressed	ABCA13|154664	15.3368
ABCA17P|650655	6.7258	lowly_expressed	lowly_expressed
ABCA1|19	1453.3882	ABCA1|19	5252.009
ABCA2|20	890.5595	ABCA2|20	2091.2971
ABCA3|21	446.044	ABCA3|21	990.8124
ABCA4|24	683.5877	ABCA4|24	55.8489
ABCA5|23461	231.1236	ABCA5|23461	1084.5692
ABCA6|23460	232.6522	ABCA6|23460	1194.5309
ABCA7|10347	81.627	ABCA7|10347	375.6059
ABCA8|10351	520.9452	ABCA8|10351	3102.0762
ABCA9|10350	131.7649	ABCA9|10350	1970.6287
ABCB10|23456	788.4493	ABCB10|23456	447.6597
lowly_expressed	lowly_expressed	ABCB11|8647	21.703
ABCB1|5243	34.2405	ABCB1|5243	443.6085
ABCB4|5244	64.201	ABCB4|5244	37.0397
ABCB5|340273	15.5917	ABCB5|340273	288.2153
ABCB6|10058	432.1522	ABCB6|10058	583.2771
ABCB7|22	539.2883	ABCB7|22	590.8992
ABCB8|11194	212.7804	ABCB8|11194	412.6456
ABCB9|23457	97.3226	ABCB9|23457	117.9946
ABCC10|89845	269.6442	ABCC10|89845	363.4522
ABCC11|85320	1732.8153	ABCC11|85320	324.6763
ABCC12|94160	47.0807	lowly_expressed	lowly_expressed
ABCC13|150000	30.8776	lowly_expressed	lowly_expressed
ABCC1|4363	963.6263	ABCC1|4363	1064.8918
ABCC2|1244	11.3116	ABCC2|1244	17.3624
ABCC3|8714	1522.7864	ABCC3|8714	278.3766
ABCC4|10257	184.96	ABCC4|10257	136.0052
ABCC5|10057	2014.994	ABCC5|10057	706.0696
lowly_expressed	lowly_expressed	ABCC6P1|653190	19.388
ABCC6P2|730013	40.6606	ABCC6P2|730013	37.3291
ABCC6|368	138.4907	ABCC6|368	508.428
ABCC8|6833	8.5601	ABCC8|6833	54.1127
ABCC9|10060	630.0869	ABCC9|10060	1998.9872
ABCD1|215	227.1492	ABCD1|215	609.9978
ABCD2|225	206.9718	ABCD2|225	1384.3594
ABCD3|5825	7387.0884	ABCD3|5825	1330.2467
ABCD4|5826	235.7094	ABCD4|5826	730.9557
ABCE1|6059	2792.7431	ABCE1|6059	1319.5399
ABCF1|23	1424.0391	ABCF1|23	1271.504
ABCF2|10061	948.3404	ABCF2|10061	872.1696
ABCF3|55324	456.1328	ABCF3|55324	871.5908
ABCG1|9619	686.3392	ABCG1|9619	773.7828
ABCG2|9429	63.2838	ABCG2|9429	434.9273
lowly_expressed	lowly_expressed	ABCG8|64241	8.6812
ABHD10|55347	918.6856	ABHD10|55347	577.5881
ABHD11|83451	664.0217	ABHD11|83451	287.0578
ABHD12|26090	1955.6845	ABHD12|26090	767.4166
ABHD13|84945	926.6343	ABHD13|84945	630.5433
ABHD14A|25864	170.8969	ABHD14A|25864	271.5011
ABHD14B|84836	1819.3338	ABHD14B|84836	2918.0352
ABHD15|116236	2611.1461	ABHD15|116236	1283.6577
ABHD1|84696	9.783	ABHD1|84696	54.4021
ABHD2|11057	4617.5799	ABHD2|11057	3048.2529
ABHD3|171586	618.1638	ABHD3|171586	422.7736
ABHD4|63874	1520.6464	ABHD4|63874	955.5089
ABHD5|51099	1501.6918	ABHD5|51099	2459.3793
ABHD6|57406	220.4234	ABHD6|57406	402.5175
ABHD8|79575	69.3982	ABHD8|79575	188.0923
ABI1|10006	2473.5633	ABI1|10006	1371.3868
ABI2|10152	1666.1686	ABI2|10152	1646.5311
ABI3BP|25890	1104.2571	ABI3BP|25890	2128.0475
ABI3|51225	75.8183	ABI3|51225	167.8362
ABL1|25	1727.0067	ABL1|25	2953.9174
ABL2|27	1169.9866	ABL2|27	963.0326
ABLIM1|3983	2284.3324	ABLIM1|3983	8359.1116
ABLIM2|84448	24.7632	ABLIM2|84448	61.9258
ABLIM3|22885	317.0306	ABLIM3|22885	3611.9511
lowly_expressed	lowly_expressed	ABO|28	45.4315
ABR|29	969.7407	ABR|29	2390.7979
ABT1|29777	597.6807	ABT1|29777	468.2052
ABTB1|80325	131.7649	ABTB1|80325	796.3539
ABTB2|25841	68.7868	ABTB2|25841	63.9514
ACAA1|30	230.5121	ACAA1|30	1421.9779
ACAA2|10449	1189.8584	ACAA2|10449	3324.8933
ACACA|31	1895.7636	ACACA|31	6698.1118
ACACB|32	1084.3853	ACACB|32	19544.8166
ACAD10|80724	325.5907	ACAD10|80724	619.2578
ACAD11|84129	477.209	ACAD11|84129	1075.8707
ACAD8|27034	252.2182	ACAD8|27034	622.4409
ACAD9|28976	510.2511	ACAD9|28976	1191.9236
ACADL|33	88.0471	ACADL|33	471.967
ACADM|34	2803.1376	ACADM|34	2734.5728
ACADSB|36	1756.05	ACADSB|36	2570.4984
ACADS|35	71.844	ACADS|35	1568.9792
ACADVL|37	1299.3058	ACADVL|37	6739.4487
ACAN|176	417.0007	ACAN|176	5.2087
lowly_expressed	lowly_expressed	ACAP1|9744	66.2664
ACAP2|23527	2052.5974	ACAP2|23527	1891.6299
ACAP3|116983	99.6675	ACAP3|116983	460.1982
ACAT1|38	1110.3714	ACAT1|38	2768.1401
ACAT2|39	421.8433	ACAT2|39	466.7554
ACBD3|64746	3308.1854	ACBD3|64746	1358.6052
ACBD4|79777	45.2464	ACBD4|79777	296.3177
ACBD5|91452	1567.7271	ACBD5|91452	1012.5154
ACBD6|84320	342.0996	ACBD6|84320	307.0245
ACBD7|414149	141.2422	ACBD7|414149	35.8822
ACCN2|41	64.201	ACCN2|41	121.2472
ACCN3|9311	25.6804	ACCN3|9311	16.2049
ACCS|84680	60.8381	ACCS|84680	318.8888
ACD|65057	194.743	ACD|65057	320.625
ACE2|59272	128.7077	ACE2|59272	12.7324
ACER2|340485	163.5597	ACER2|340485	277.5085
ACER3|55331	423.7265	ACER3|55331	1068.3643
ACE|1636	222.5634	ACE|1636	993.9955
lowly_expressed	lowly_expressed	ACHE|43	60.7683
ACIN1|22985	2044.9545	ACIN1|22985	3260.6525
ACLY|47	3844.4165	ACLY|47	4820.9506
ACN9|57001	131.1535	ACN9|57001	136.0052
ACO1|48	1652.4112	ACO1|48	6169.4278
ACO2|50	1561.8114	ACO2|50	4620.3834
ACOT11|26027	14.0631	ACOT11|26027	33.4428
ACOT13|55856	1166.2905	ACOT13|55856	568.2066
ACOT1|641371	451.8527	ACOT1|641371	1527.0202
ACOT2|10965	387.346	ACOT2|10965	1217.3913
ACOT4|122970	467.4444	ACOT4|122970	147.8695
ACOT6|641372	8.5601	ACOT6|641372	17.9411
ACOT7|11332	127.4848	ACOT7|11332	180.5686
ACOT8|10005	249.0326	ACOT8|10005	196.6722
ACOT9|23597	570.4717	ACOT9|23597	482.0951
