gene_id	TCGA-BH-A1F6-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F6-11B-94R-A13Q-07
?|100133144	25.2145	?|100133144	6.3687
?|100134869	10.6176	?|100134869	10.337
?|10357	103.0929	?|10357	86.9314
?|10431	943.8944	?|10431	856.0961
?|155060	132.4847	?|155060	148.3001
?|57714	322.4894	?|57714	769.9297
lowly_expressed	lowly_expressed	?|645851	16.4127
lowly_expressed	lowly_expressed	?|652919	124.0739
?|653553	170.2027	?|653553	132.4736
lowly_expressed	lowly_expressed	?|728788	5.8617
lowly_expressed	lowly_expressed	?|729884	5.5686
?|8225	344.1773	?|8225	212.7784
lowly_expressed	lowly_expressed	?|90288	20.5158
A1BG|1	137.2796	A1BG|1	22.9748
A2LD1|87769	89.2456	A2LD1|87769	81.7761
A2ML1|144568	3037.2466	A2ML1|144568	30.4807
A2M|2	15847.2183	A2M|2	40112.9513
A4GALT|53947	147.1004	A4GALT|53947	341.7351
AAAS|8086	353.6068	AAAS|8086	447.8312
AACS|65985	636.4922	AACS|65985	702.8136
lowly_expressed	lowly_expressed	AADACL3|126767	10.551
lowly_expressed	lowly_expressed	AADAC|13	58.9097
AADAT|51166	13.6728	AADAT|51166	108.4408
AAGAB|79719	1774.1631	AAGAB|79719	1049.8242
AAK1|22848	909.9481	AAK1|22848	2040.4455
AAMP|14	2093.3522	AAMP|14	702.5205
AARS2|57505	509.6653	AARS2|57505	171.4273
AARSD1|80755	317.7746	AARSD1|80755	226.2603
AARS|16	3835.9264	AARS|16	1833.2356
AASDHPPT|60496	1024.5167	AASDHPPT|60496	983.5873
AASDH|132949	225.8369	AASDH|132949	507.6202
AASS|10157	50.9194	AASS|10157	804.2204
AATF|26574	1044.3187	AATF|26574	502.9308
AATK|9625	40.5469	AATK|9625	24.0328
ABAT|18	82.0368	ABAT|18	629.2497
ABCA10|10349	5.1862	ABCA10|10349	861.5328
ABCA11P|79963	51.0184	ABCA11P|79963	143.0627
ABCA12|26154	22.1594	ABCA12|26154	71.5123
ABCA13|154664	120.2263	ABCA13|154664	19.9297
ABCA17P|650655	14.1443	lowly_expressed	lowly_expressed
ABCA1|19	487.9774	ABCA1|19	4215.9584
ABCA2|20	944.3659	ABCA2|20	1235.6389
ABCA3|21	4674.2103	ABCA3|21	704.5721
ABCA4|24	25.9312	ABCA4|24	87.6319
ABCA5|23461	165.0165	ABCA5|23461	1351.5387
ABCA6|23460	60.8204	ABCA6|23460	1583.5287
ABCA7|10347	396.0396	ABCA7|10347	177.0223
ABCA8|10351	33.9463	ABCA8|10351	4561.2544
ABCA9|10350	65.5351	ABCA9|10350	2168.2298
ABCB10|23456	760.9618	ABCB10|23456	555.6858
ABCB1|5243	48.0905	ABCB1|5243	214.5369
ABCB4|5244	11.3154	ABCB4|5244	20.5158
ABCB5|340273	5.1862	ABCB5|340273	241.7937
ABCB6|10058	739.6322	ABCB6|10058	304.1354
ABCB7|22	467.2324	ABCB7|22	536.0492
ABCB8|11194	1031.1174	ABCB8|11194	228.0188
ABCB9|23457	165.6813	ABCB9|23457	69.2849
ABCC10|89845	635.0778	ABCC10|89845	244.4314
ABCC11|85320	13.6728	ABCC11|85320	162.3681
ABCC1|4363	1983.0269	ABCC1|4363	1461.313
ABCC2|1244	276.2848	ABCC2|1244	16.9988
ABCC3|8714	106.082	ABCC3|8714	888.0422
ABCC4|10257	256.9543	ABCC4|10257	232.415
ABCC5|10057	655.3512	ABCC5|10057	1150.0586
lowly_expressed	lowly_expressed	ABCC6P1|653190	10.8441
ABCC6P2|730013	5.6577	ABCC6P2|730013	40.1524
ABCC6|368	37.7181	ABCC6|368	321.5123
lowly_expressed	lowly_expressed	ABCC8|6833	40.4455
ABCC9|10060	117.8689	ABCC9|10060	2262.3095
ABCD1|215	520.9807	ABCD1|215	172.0399
ABCD2|225	22.6308	ABCD2|225	840.2696
ABCD3|5825	773.2202	ABCD3|5825	2155.6272
ABCD4|5826	300.33	ABCD4|5826	573.5639
ABCE1|6059	2041.0184	ABCE1|6059	2080.0117
ABCF1|23	1996.6997	ABCF1|23	1016.1196
ABCF2|10061	2684.5827	ABCF2|10061	973.0363
ABCF3|55324	982.5554	ABCF3|55324	432.0047
ABCG1|9619	258.3687	ABCG1|9619	811.8406
ABCG2|9429	13.2013	ABCG2|9429	335.2872
ABHD10|55347	591.702	ABHD10|55347	758.4994
ABHD11|83451	1621.405	ABHD11|83451	274.0328
lowly_expressed	lowly_expressed	ABHD12B|145447	9.6717
ABHD12|26090	1138.6139	ABHD12|26090	714.2438
ABHD13|84945	430.4573	ABHD13|84945	858.4408
ABHD14A|25864	171.6172	ABHD14A|25864	256.4478
ABHD14B|84836	1463.9321	ABHD14B|84836	2037.8077
ABHD15|116236	263.5549	ABHD15|116236	687.5733
ABHD1|84696	11.7869	ABHD1|84696	46.0141
ABHD2|11057	2799.6228	ABHD2|11057	3495.3107
ABHD3|171586	428.5714	ABHD3|171586	376.0258
ABHD4|63874	520.9807	ABHD4|63874	1165.0059
ABHD5|51099	752.4752	ABHD5|51099	1658.8511
ABHD6|57406	114.5686	ABHD6|57406	485.932
ABHD8|79575	132.0132	ABHD8|79575	107.2685
ABI1|10006	3009.9811	ABI1|10006	1823.5258
ABI2|10152	518.6233	ABI2|10152	2044.8417
ABI3BP|25890	191.8906	ABI3BP|25890	5147.714
ABI3|51225	218.2933	ABI3|51225	120.7503
ABL1|25	1745.4031	ABL1|25	2442.8488
ABL2|27	1372.4658	ABL2|27	2123.6811
ABLIM1|3983	3429.0429	ABLIM1|3983	10917.6436
ABLIM2|84448	173.5031	ABLIM2|84448	82.3564
ABLIM3|22885	84.8656	ABLIM3|22885	2319.1676
lowly_expressed	lowly_expressed	ABO|28	41.6178
ABP1|26	14.1443	ABP1|26	5.5686
ABR|29	1009.901	ABR|29	1595.5451
ABT1|29777	597.3597	ABT1|29777	384.5252
ABTB1|80325	324.8468	ABTB1|80325	299.5311
ABTB2|25841	567.6568	ABTB2|25841	89.0973
ACAA1|30	1226.7798	ACAA1|30	595.2521
ACAA2|10449	905.7049	ACAA2|10449	2714.5369
ACACA|31	1709.571	ACACA|31	2990.9144
ACACB|32	76.8505	ACACB|32	6560.6682
ACAD10|80724	298.9156	ACAD10|80724	473.6225
ACAD11|84129	214.9929	ACAD11|84129	1180.5363
ACAD8|27034	453.0882	ACAD8|27034	526.9637
ACAD9|28976	1315.5964	ACAD9|28976	726.9519
ACADL|33	6.6007	ACADL|33	328.8394
ACADM|34	857.1429	ACADM|34	1596.1313
ACADSB|36	591.702	ACADSB|36	3271.102
ACADS|35	273.9274	ACADS|35	340.2696
ACADVL|37	2058.9298	ACADVL|37	3572.6846
ACAN|176	104.6676	ACAN|176	24.9121
ACAP1|9744	114.5686	ACAP1|9744	16.9988
ACAP2|23527	1153.7011	ACAP2|23527	2416.7644
ACAP3|116983	564.3753	ACAP3|116983	221.8845
ACAT1|38	2180.1037	ACAT1|38	2124.2673
ACAT2|39	363.041	ACAT2|39	236.4771
ACBD3|64746	1911.3626	ACBD3|64746	1722.7433
ACBD4|79777	80.1509	ACBD4|79777	150.0586
ACBD5|91452	1028.76	ACBD5|91452	856.9754
ACBD6|84320	474.3046	ACBD6|84320	247.3623
ACBD7|414149	443.6587	ACBD7|414149	44.5487
lowly_expressed	lowly_expressed	ACCN1|40	10.8441
ACCN2|41	220.1792	ACCN2|41	121.6295
ACCN3|9311	7.5436	lowly_expressed	lowly_expressed
ACCS|84680	158.8873	ACCS|84680	341.7351
ACD|65057	376.2376	ACD|65057	230.9496
ACE2|59272	162.1876	ACE2|59272	37.2216
ACER2|340485	54.2197	ACER2|340485	376.3189
ACER3|55331	187.6473	ACER3|55331	1017.585
ACE|1636	217.3503	ACE|1636	555.0996
ACHE|43	19.3305	ACHE|43	6.7409
ACIN1|22985	1773.2202	ACIN1|22985	2258.2063
ACLY|47	3946.7232	ACLY|47	2730.9496
ACN9|57001	210.7496	ACN9|57001	163.8335
ACO1|48	977.8406	ACO1|48	5240.9144
ACO2|50	3167.52	ACO2|50	1950.6917
ACOT11|26027	12.2584	ACOT11|26027	24.9238
ACOT13|55856	616.4922	ACOT13|55856	618.6313
ACOT1|641371	351.7209	ACOT1|641371	798.0657
ACOT2|10965	228.1942	ACOT2|10965	521.3951
ACOT4|122970	62.2348	ACOT4|122970	139.5076
lowly_expressed	lowly_expressed	ACOT6|641372	8.4994
ACOT7|11332	1231.4946	ACOT7|11332	199.8828
ACOT8|10005	451.7539	ACOT8|10005	152.3242
ACOT9|23597	924.5639	ACOT9|23597	767.2919
ACOX1|51	1017.9161	ACOX1|51	4849.3552
ACOX2|8309	33.9463	ACOX2|8309	340.5627
ACOX3|8310	392.2678	ACOX3|8310	491.7937
ACOXL|55289	6.6007	lowly_expressed	lowly_expressed
ACP1|52	2228.6657	ACP1|52	1274.9121
ACP2|53	2010.8439	ACP2|53	813.0129
ACP5|54	596.8883	ACP5|54	883.646
ACP6|51205	159.8303	ACP6|51205	240.0352
ACPL2|92370	372.4658	ACPL2|92370	373.9742
ACPP|55	33.4748	ACPP|55	31.3599
ACRBP|84519	36.7751	ACRBP|84519	43.0832
ACRC|93953	20.2735	ACRC|93953	20.2227
lowly_expressed	lowly_expressed	ACR|49	6.4478
ACSBG1|23205	5.1862	ACSBG1|23205	26.6706
ACSF2|80221	281.471	ACSF2|80221	501.1723
ACSF3|197322	352.6638	ACSF3|197322	141.5592
ACSL1|2180	2616.2188	ACSL1|2180	22743.5522
ACSL3|2181	5036.3036	ACSL3|2181	3443.1419
ACSL4|2182	1135.785	ACSL4|2182	3372.8019
ACSL5|51703	215.4644	ACSL5|51703	889.5076
ACSL6|23305	26.4026	ACSL6|23305	11.1372
lowly_expressed	lowly_expressed	ACSM1|116285	14.9472
ACSM3|6296	115.6483	ACSM3|6296	105.4484
ACSM5|54988	6.6007	ACSM5|54988	265.8265
ACSS1|84532	131.5417	ACSS1|84532	392.4385
ACSS2|55902	1066.4781	ACSS2|55902	2660.3165
ACSS3|79611	77.322	ACSS3|79611	661.4889
ACTA1|58	21.2164	ACTA1|58	129.8359
ACTA2|59	2317.6615	lowly_expressed	lowly_expressed
ACTBL2|345651	52.8053	ACTBL2|345651	6.7409
ACTB|60	131419.6134	ACTB|60	87286.9285
lowly_expressed	lowly_expressed	ACTC1|70	26.0844
ACTG1|71	52626.1198	ACTG1|71	43000.8792
ACTG2|72	264.9694	ACTG2|72	9572.6846
ACTL6A|86	1438.9439	ACTL6A|86	740.9144
ACTL8|81569	5669.4955	lowly_expressed	lowly_expressed
ACTN1|87	5733.6162	ACTN1|87	7345.5451
ACTN2|88	12.2584	lowly_expressed	lowly_expressed
ACTN4|81	31088.1188	ACTN4|81	7756.0961
ACTR10|55860	760.0189	ACTR10|55860	1396.8347
ACTR1A|10121	1998.1141	ACTR1A|10121	2450.1758
ACTR1B|10120	861.3861	ACTR1B|10120	675.5569
ACTR2|10097	11172.0886	ACTR2|10097	7644.7831
ACTR3B|57180	582.744	ACTR3B|57180	127.4912
ACTR3C|653857	51.3909	ACTR3C|653857	46.6002
ACTR3|10096	4267.3267	ACTR3|10096	3988.2767
ACTR5|79913	292.7864	ACTR5|79913	133.939
ACTR6|64431	530.4102	ACTR6|64431	631.0082
