gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
?|100133144	12.4215	?|100133144	17.8586
?|100134869	15.1688	?|100134869	9.7578
?|10357	103.2903	?|10357	72.3986
?|10431	734.9574	?|10431	519.8669
?|155060	173.7599	?|155060	426.3587
lowly_expressed	lowly_expressed	?|388795	5.814
?|390284	7.3378	?|390284	5.3295
?|57714	1550.6311	?|57714	402.6182
?|645851	9.3924	?|645851	16.9574
?|652919	41.6055	?|652919	74.511
?|653553	96.8594	?|653553	102.7137
?|729884	10.5665	?|729884	23.2559
?|8225	309.6566	?|8225	443.8006
?|90288	47.5492	?|90288	16.4729
A1BG|1	85.0954	A1BG|1	112.6314
A2LD1|87769	76.2107	A2LD1|87769	71.5507
lowly_expressed	lowly_expressed	A2ML1|144568	5.814
A2M|2	21100.5401	A2M|2	22656.9218
A4GALT|53947	420.3111	A4GALT|53947	188.9544
AAAS|8086	551.2181	AAAS|8086	681.2049
AACS|65985	1273.5544	AACS|65985	1986.9282
lowly_expressed	lowly_expressed	AADAC|13	6.783
AADAT|51166	52.8324	AADAT|51166	98.3532
AAGAB|79719	1884.9428	AAGAB|79719	1176.3623
AAK1|22848	1225.4183	AAK1|22848	1013.5708
AAMP|14	1827.4141	AAMP|14	1924.9124
AARS2|57505	335.474	AARS2|57505	435.5205
AARSD1|80755	427.649	AARSD1|80755	450.0991
AARS|16	2073.9654	AARS|16	2406.0194
AASDHPPT|60496	1160.8453	AASDHPPT|60496	945.2565
AASDH|132949	443.7922	AASDH|132949	500.9714
AASS|10157	482.2424	AASS|10157	801.845
AATF|26574	881.7141	AATF|26574	748.0656
AATK|9625	30.5254	AATK|9625	50.3878
ABAT|18	2590.2554	ABAT|18	755.8176
ABCA10|10349	96.5659	ABCA10|10349	460.0313
ABCA11P|79963	169.4247	ABCA11P|79963	173.5425
ABCA12|26154	318.462	ABCA12|26154	312.5015
ABCA13|154664	9.9795	ABCA13|154664	8.2365
lowly_expressed	lowly_expressed	ABCA17P|650655	8.721
ABCA1|19	1302.8324	ABCA1|19	1074.1331
ABCA2|20	1285.0015	ABCA2|20	1282.4675
ABCA3|21	4975.6384	ABCA3|21	969.9659
ABCA4|24	45.4946	ABCA4|24	78.4888
ABCA5|23461	510.1262	ABCA5|23461	1257.5158
ABCA6|23460	431.1711	ABCA6|23460	771.8061
ABCA7|10347	288.5236	ABCA7|10347	312.5015
ABCA8|10351	731.7288	ABCA8|10351	1338.1848
ABCA9|10350	508.6586	ABCA9|10350	1374.0377
ABCB10|23456	463.7511	ABCB10|23456	496.1264
ABCB1|5243	443.4987	ABCB1|5243	465.603
ABCB4|5244	42.2659	ABCB4|5244	16.9574
ABCB5|340273	47.2557	ABCB5|340273	134.6906
ABCB6|10058	305.0015	ABCB6|10058	427.003
ABCB7|22	497.2116	ABCB7|22	510.1769
ABCB8|11194	520.9862	ABCB8|11194	361.4359
