gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
?|100133144	21.9287	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|100134869	5.4201
?|10357	101.2784	?|10357	63.9053
?|10431	976.5355	?|10431	937.8698
?|155060	70.6142	?|155060	242.6036
?|57714	509.8933	?|57714	231.9527
?|645851	10.5921	?|645851	14.7929
?|652919	11.8249	lowly_expressed	lowly_expressed
?|653553	107.9809	?|653553	172.1893
?|8225	353.071	?|8225	360.355
lowly_expressed	lowly_expressed	?|90288	23.6686
A1BG|1	27.1865	A1BG|1	77.8107
A2LD1|87769	60.2898	A2LD1|87769	108.6982
A2ML1|144568	45.8992	lowly_expressed	lowly_expressed
A2M|2	4642.2626	A2M|2	39712.9053
A4GALT|53947	213.3137	A4GALT|53947	524.2604
AAAS|8086	622.5818	AAAS|8086	586.3905
AACS|65985	211.2541	AACS|65985	812.426
lowly_expressed	lowly_expressed	AADACL3|126767	11.2426
lowly_expressed	lowly_expressed	AADAC|13	6.5089
AADAT|51166	416.918	AADAT|51166	65.6805
AAGAB|79719	1064.8032	AAGAB|79719	1413.6095
AAK1|22848	698.7863	AAK1|22848	1075.1479
AAMP|14	2179.6249	AAMP|14	1847.929
AARS2|57505	522.5362	AARS2|57505	289.3491
AARSD1|80755	503.7146	AARSD1|80755	400
AARS|16	5074.5127	AARS|16	2373.9645
AASDHPPT|60496	550.7907	AASDHPPT|60496	827.2189
AASDH|132949	442.2214	AASDH|132949	354.4379
AASS|10157	144.4649	AASS|10157	599.4083
AATF|26574	1866.2744	AATF|26574	752.071
AATK|9625	18.5362	AATK|9625	43.787
ABAT|18	85.3255	ABAT|18	780.4734
lowly_expressed	lowly_expressed	ABCA10|10349	428.4024
ABCA11P|79963	38.0081	ABCA11P|79963	124.2663
lowly_expressed	lowly_expressed	ABCA12|26154	21.8935
ABCA13|154664	537.5506	lowly_expressed	lowly_expressed
ABCA17P|650655	5.5903	lowly_expressed	lowly_expressed
ABCA1|19	826.4715	ABCA1|19	1088.1657
ABCA2|20	295.4027	ABCA2|20	1104.142
ABCA3|21	2346.4509	ABCA3|21	776.3314
lowly_expressed	lowly_expressed	ABCA4|24	87.574
ABCA5|23461	114.7481	ABCA5|23461	794.6746
ABCA6|23460	12.6517	ABCA6|23460	514.2012
ABCA7|10347	120.0441	ABCA7|10347	256.213
lowly_expressed	lowly_expressed	ABCA8|10351	1679.2899
lowly_expressed	lowly_expressed	ABCA9|10350	671.0059
ABCB10|23456	368.9592	ABCB10|23456	439.0533
ABCB1|5243	75.616	ABCB1|5243	447.929
ABCB4|5244	13.5344	ABCB4|5244	16.568
lowly_expressed	lowly_expressed	ABCB5|340273	52.071
ABCB6|10058	895.3086	ABCB6|10058	396.9645
ABCB7|22	794.9982	ABCB7|22	446.7456
ABCB8|11194	560.7944	ABCB8|11194	400
ABCB9|23457	313.7742	ABCB9|23457	112.1893
ABCC10|89845	434.2773	ABCC10|89845	278.1065
ABCC11|85320	1213.6815	ABCC11|85320	1497.6331
lowly_expressed	lowly_expressed	ABCC12|94160	30.1775
ABCC1|4363	1619.4189	ABCC1|4363	831.9527
ABCC2|1244	12.3575	ABCC2|1244	9.4675
ABCC3|8714	136.815	ABCC3|8714	477.5148
ABCC4|10257	485.1784	ABCC4|10257	188.7574
ABCC5|10057	783.5234	ABCC5|10057	385.2071
lowly_expressed	lowly_expressed	ABCC6P1|653190	23.6686
ABCC6P2|730013	6.473	ABCC6P2|730013	26.0355
ABCC6|368	8.5325	ABCC6|368	220.7101
lowly_expressed	lowly_expressed	ABCC8|6833	29.5858
ABCC9|10060	76.2045	ABCC9|10060	815.3846
ABCD1|215	786.1714	ABCD1|215	229.5858
ABCD2|225	28.8341	ABCD2|225	165.0888
ABCD3|5825	887.0908	ABCD3|5825	1742.0118
ABCD4|5826	273.63	ABCD4|5826	725.4438
ABCE1|6059	2886.6495	ABCE1|6059	1610.6509
ABCF1|23	3979.9926	ABCF1|23	1468.6391
ABCF2|10061	2065.4652	ABCF2|10061	1260.355
ABCF3|55324	950.0552	ABCF3|55324	771.0059
ABCG1|9619	576.6826	ABCG1|9619	528.4024
ABCG2|9429	7.9441	ABCG2|9429	113.0178
lowly_expressed	lowly_expressed	ABCG4|64137	6.5089
ABHD10|55347	811.1806	ABHD10|55347	730.1775
ABHD11|83451	601.986	ABHD11|83451	519.5266
ABHD12|26090	1144.2442	ABHD12|26090	842.0118
ABHD13|84945	330.4156	ABHD13|84945	634.3195
ABHD14A|25864	95.0349	ABHD14A|25864	301.1834
ABHD14B|84836	1132.4752	ABHD14B|84836	2645.5621
ABHD15|116236	229.2019	ABHD15|116236	498.8166
lowly_expressed	lowly_expressed	ABHD1|84696	11.2426
ABHD2|11057	1306.6569	ABHD2|11057	2478.6982
ABHD3|171586	495.1821	ABHD3|171586	444.9704
ABHD4|63874	408.9739	ABHD4|63874	1034.3195
ABHD5|51099	1302.2435	ABHD5|51099	936.6864
ABHD6|57406	107.9809	ABHD6|57406	375.7396
ABHD8|79575	90.9158	ABHD8|79575	208.8757
ABI1|10006	2076.078	ABI1|10006	1541.4201
ABI2|10152	1208.0912	ABI2|10152	1382.2485
ABI3BP|25890	10.5921	ABI3BP|25890	1256.213
ABI3|51225	201.8389	ABI3|51225	285.7988
ABL1|25	4212.431	ABL1|25	2947.929
ABL2|27	3885.5462	ABL2|27	1045.5621
ABLIM1|3983	1104.8179	ABLIM1|3983	5365.6805
ABLIM2|84448	188.0103	ABLIM2|84448	138.4615
ABLIM3|22885	140.6399	ABLIM3|22885	2334.3195
lowly_expressed	lowly_expressed	ABO|28	11.8343
ABP1|26	20.0074	ABP1|26	8.8757
ABR|29	1619.7131	ABR|29	1891.716
ABT1|29777	1068.0397	ABT1|29777	570.4142
ABTB1|80325	260.9783	ABTB1|80325	515.3846
ABTB2|25841	53.5491	ABTB2|25841	92.3077
ACAA1|30	582.8613	ACAA1|30	1273.3728
ACAA2|10449	638.1758	ACAA2|10449	1839.0533
ACACA|31	2385.8772	ACACA|31	1891.716
ACACB|32	167.4145	ACACB|32	2614.7929
ACAD10|80724	342.7731	ACAD10|80724	457.3964
ACAD11|84129	415.7411	ACAD11|84129	571.0059
ACAD8|27034	297.7565	ACAD8|27034	618.9349
ACAD9|28976	875.5278	ACAD9|28976	790.5207
lowly_expressed	lowly_expressed	ACADL|33	122.4852
ACADM|34	830.8937	ACADM|34	1462.7219
ACADSB|36	198.6024	ACADSB|36	2139.0533
ACADS|35	239.794	ACADS|35	596.4497
ACADVL|37	2142.8437	ACADVL|37	4829.5858
ACAN|176	33.2475	ACAN|176	34.9112
ACAP1|9744	241.8536	ACAP1|9744	117.1598
ACAP2|23527	2057.2269	ACAP2|23527	1427.2189
ACAP3|116983	383.7117	ACAP3|116983	329.0473
ACAT1|38	1080.6914	ACAT1|38	1915.9763
ACAT2|39	615.7911	ACAT2|39	383.5917
ACBD3|64746	1120.7061	ACBD3|64746	1323.6686
ACBD4|79777	135.6381	ACBD4|79777	247.929
ACBD5|91452	1309.3049	ACBD5|91452	700
ACBD6|84320	1036.2633	ACBD6|84320	318.9349
ACBD7|414149	615.2262	ACBD7|414149	38.4615
lowly_expressed	lowly_expressed	ACCN1|40	11.2426
ACCN2|41	136.5208	ACCN2|41	81.6568
ACCN3|9311	23.2438	ACCN3|9311	12.426
ACCS|84680	100.9195	ACCS|84680	370.4142
ACD|65057	313.9389	ACD|65057	357.3964
lowly_expressed	lowly_expressed	ACE2|59272	12.426
lowly_expressed	lowly_expressed	ACER1|125981	7.6923
ACER2|340485	67.6719	ACER2|340485	185.7988
ACER3|55331	178.3008	ACER3|55331	516.568
ACE|1636	442.8099	ACE|1636	769.8225
ACHE|43	17.6535	ACHE|43	29.5858
ACIN1|22985	2895.4763	ACIN1|22985	2220.1183
ACLY|47	4933.2843	ACLY|47	3002.9586
ACN9|57001	108.2751	ACN9|57001	69.2308
ACO1|48	717.3225	ACO1|48	2515.3846
ACO2|50	1888.3384	ACO2|50	2369.3905
ACOT11|26027	21.4785	ACOT11|26027	18.6391
ACOT13|55856	556.3516	ACOT13|55856	580.3254
ACOT1|641371	248.915	ACOT1|641371	872.7811
ACOT2|10965	173.8875	ACOT2|10965	471.0059
ACOT4|122970	41.7801	ACOT4|122970	135.503
ACOT7|11332	837.3667	ACOT7|11332	218.3432
ACOT8|10005	228.8135	ACOT8|10005	217.6391
ACOT9|23597	556.0868	ACOT9|23597	561.5385
ACOX1|51	1137.3564	ACOX1|51	2264.2485
ACOX2|8309	7.6499	ACOX2|8309	311.8343
ACOX3|8310	396.3222	ACOX3|8310	529.5858
ACOXL|55289	46.4877	lowly_expressed	lowly_expressed
ACP1|52	3101.7286	ACP1|52	1275.1479
ACP2|53	763.2218	ACP2|53	1018.9349
ACP5|54	1062.7437	ACP5|54	730.7692
ACP6|51205	204.4869	ACP6|51205	129.5858
ACPL2|92370	366.8996	ACPL2|92370	413.0178
ACPP|55	8.5325	ACPP|55	54.4379
ACRBP|84519	28.5399	ACRBP|84519	10.0592
ACRC|93953	5.5903	ACRC|93953	20.1183
ACRV1|56	8.8268	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACR|49	13.0178
lowly_expressed	lowly_expressed	ACSBG1|23205	16.568
lowly_expressed	lowly_expressed	ACSBG2|81616	5.3254
ACSF2|80221	271.5704	ACSF2|80221	959.7633
ACSF3|197322	129.7536	ACSF3|197322	256.213
ACSL1|2180	2300.8459	ACSL1|2180	7262.7219
ACSL3|2181	1750.0552	ACSL3|2181	3134.3195
ACSL4|2182	598.7495	ACSL4|2182	1860.355
ACSL5|51703	926.5171	ACSL5|51703	1466.8639
ACSL6|23305	217.4329	ACSL6|23305	10.6509
lowly_expressed	lowly_expressed	ACSM1|116285	411.8343
ACSM3|6296	363.2335	ACSM3|6296	74.9349
ACSM5|54988	7.9441	ACSM5|54988	261.5385
ACSS1|84532	718.7937	ACSS1|84532	802.3669
ACSS2|55902	251.2688	ACSS2|55902	1743.1953
ACSS3|79611	128.5767	ACSS3|79611	471.0059
lowly_expressed	lowly_expressed	ACTA1|58	380.4734
ACTA2|59	2494.829	ACTA2|59	25101.8166
ACTB|60	70249.6506	ACTB|60	87601.1834
lowly_expressed	lowly_expressed	ACTC1|70	13.0178
ACTG1|71	131996.7635	ACTG1|71	54306.5089
ACTG2|72	541.3755	ACTG2|72	9495.858
ACTL6A|86	2522.6922	ACTL6A|86	801.1834
ACTL8|81569	1915.1159	lowly_expressed	lowly_expressed
ACTN1|87	7327.9882	ACTN1|87	7238.4615
ACTN2|88	12.6517	ACTN2|88	8.284
ACTN4|81	25894.9025	ACTN4|81	10911.2308
ACTR10|55860	925.3402	ACTR10|55860	1244.9704
ACTR1A|10121	2793.9684	ACTR1A|10121	2771.0059
ACTR1B|10120	1669.4373	ACTR1B|10120	1290.5325
ACTR2|10097	6938.139	ACTR2|10097	6097.0414
ACTR3B|57180	455.1673	ACTR3B|57180	185.2071
ACTR3C|653857	27.363	ACTR3C|653857	34.3195
ACTR3|10096	5198.9702	ACTR3|10096	3314.2012
ACTR5|79913	268.9224	ACTR5|79913	198.2249
ACTR6|64431	969.7683	ACTR6|64431	542.0118
ACTR8|93973	524.0162	ACTR8|93973	488.7574
ACVR1B|91	1000.0736	ACVR1B|91	1162.7219
ACVR1C|130399	13.2402	ACVR1C|130399	646.1538
ACVR1|90	332.4752	ACVR1|90	1054.4379
ACVR2A|92	158.5877	ACVR2A|92	523.0769
ACVR2B|93	654.6524	ACVR2B|93	253.2544
ACVRL1|94	196.5428	ACVRL1|94	1611.8343
ACY1|95	408.9739	ACY1|95	624.8521
ACY3|91703	120.0441	ACY3|91703	65.0888
ACYP1|97	224.7885	ACYP1|97	47.3373
ACYP2|98	138.2861	ACYP2|98	206.5089
ADAL|161823	26.4803	ADAL|161823	126.6272
ADAM10|102	774.4024	ADAM10|102	1829.5858
ADAM11|4185	50.0184	ADAM11|4185	9.4675
ADAM12|8038	607.8705	ADAM12|8038	515.3846
ADAM15|8751	9204.5899	ADAM15|8751	5610.8343
ADAM17|6868	1282.8246	ADAM17|6868	726.6272
ADAM19|8728	923.2806	ADAM19|8728	198.2249
ADAM22|53616	6.7672	ADAM22|53616	37.8698
ADAM23|8745	70.6142	ADAM23|8745	55.0296
ADAM28|10863	228.025	ADAM28|10863	91.716
ADAM32|203102	51.7837	ADAM32|203102	5.9172
ADAM33|80332	5.8845	ADAM33|80332	749.0118
ADAM6|8755	201338.6981	ADAM6|8755	16578.8402
ADAM8|101	438.9849	ADAM8|101	128.9941
ADAM9|8754	2041.3387	ADAM9|8754	2343.787
ADAMDEC1|27299	421.3314	ADAMDEC1|27299	38.4615
ADAMTS10|81794	6.473	ADAMTS10|81794	166.2722
ADAMTS12|81792	129.1651	ADAMTS12|81792	94.0828
ADAMTS13|11093	62.3759	ADAMTS13|11093	50.8876
ADAMTS14|140766	32.6591	ADAMTS14|140766	8.284
lowly_expressed	lowly_expressed	ADAMTS15|170689	221.3018
ADAMTS16|170690	40.6032	ADAMTS16|170690	50.2959
ADAMTS17|170691	21.4785	ADAMTS17|170691	52.6627
lowly_expressed	lowly_expressed	ADAMTS18|170692	251.4793
lowly_expressed	lowly_expressed	ADAMTS19|171019	7.6923
ADAMTS1|9510	584.9209	ADAMTS1|9510	5591.1243
ADAMTS2|9509	330.4156	ADAMTS2|9509	360.355
ADAMTS3|9508	20.0074	ADAMTS3|9508	94.6746
ADAMTS4|9507	1143.0673	ADAMTS4|9507	568.0473
ADAMTS5|11096	195.0717	ADAMTS5|11096	1353.8462
ADAMTS6|11174	21.4785	ADAMTS6|11174	46.1538
ADAMTS7|11173	53.2549	ADAMTS7|11173	91.1243
lowly_expressed	lowly_expressed	ADAMTS8|11095	97.0414
ADAMTS9|56999	236.5576	ADAMTS9|56999	1245.5621
ADAMTSL1|92949	26.7745	ADAMTSL1|92949	111.8343
ADAMTSL2|9719	37.6609	ADAMTSL2|9719	69.2308
ADAMTSL3|57188	35.3071	ADAMTSL3|57188	186.3905
ADAMTSL4|54507	1058.6245	ADAMTSL4|54507	837.8698
ADAMTSL5|339366	9.4152	ADAMTSL5|339366	41.4201
ADAP1|11033	59.0452	ADAP1|11033	88.1479
ADAP2|55803	375.1379	ADAP2|55803	384.6154
ADARB1|104	861.7874	ADARB1|104	838.4615
ADAR|103	18804.5605	ADAR|103	7253.2544
ADAT1|23536	140.0515	ADAT1|23536	210.0592
ADAT2|134637	170.3567	ADAT2|134637	169.8225
ADAT3|113179	22.3612	ADAT3|113179	36.0947
ADA|100	208.9003	ADA|100	123.0769
ADCK1|57143	77.0872	ADCK1|57143	196.4497
ADCK2|90956	1026.2597	ADCK2|90956	675.7396
ADCK4|79934	534.6083	ADCK4|79934	426.6272
ADCK5|203054	163.8838	ADCK5|203054	66.2722
ADCY1|107	16.1824	ADCY1|107	294.0828
ADCY2|108	18.8305	ADCY2|108	158.5799
ADCY3|109	1825.0975	ADCY3|109	1583.2308
ADCY4|196883	52.078	ADCY4|196883	1048.5207
lowly_expressed	lowly_expressed	ADCY5|111	308.8757
ADCY6|112	1295.1821	ADCY6|112	2069.8225
ADCY7|113	854.1376	ADCY7|113	466.8639
lowly_expressed	lowly_expressed	ADCY8|114	7.1006
ADCY9|115	481.3534	ADCY9|115	726.0355
lowly_expressed	lowly_expressed	ADCYAP1R1|117	11.2426
ADCYAP1|116	1858.036	ADCYAP1|116	62.7219
ADC|113451	66.495	ADC|113451	103.5503
ADD1|118	3471.2762	ADD1|118	5863.3136
ADD2|119	569.0327	ADD2|119	63.9053
ADD3|120	572.5634	ADD3|120	2875.1479
lowly_expressed	lowly_expressed	ADH1A|124	53.8462
lowly_expressed	lowly_expressed	ADH1B|125	13394.6746
lowly_expressed	lowly_expressed	ADH1C|126	343.1953
lowly_expressed	lowly_expressed	ADH4|127	59.1716
ADH5|128	1848.6208	ADH5|128	3307.6923
ADHFE1|137872	28.5399	ADHFE1|137872	224.2604
ADI1|55256	3275.616	ADI1|55256	2198.2249
lowly_expressed	lowly_expressed	ADIPOQ|9370	15976.3314
ADIPOR1|51094	1974.8437	ADIPOR1|51094	2210.0592
ADIPOR2|79602	1675.616	ADIPOR2|79602	2469.8225
ADK|132	280.6914	ADK|132	373.3728
ADM2|79924	192.4237	ADM2|79924	80.4734
ADM|133	124.1633	ADM|133	745.5621
ADNP2|22850	1559.6911	ADNP2|22850	713.0178
ADNP|23394	2971.3865	ADNP|23394	2180.4734
ADORA1|134	78.8525	ADORA1|134	131.9527
ADORA2A|135	237.7315	ADORA2A|135	111.8343
ADORA2B|136	144.7591	ADORA2B|136	63.3136
