gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
?|100133144	13.4107	lowly_expressed	lowly_expressed
?|100134869	8.051	lowly_expressed	lowly_expressed
?|10357	129.5534	?|10357	136.0807
?|10431	1611.6589	?|10431	842.6813
?|155060	196.3457	?|155060	134.0629
lowly_expressed	lowly_expressed	?|390284	5.814
lowly_expressed	lowly_expressed	?|553137	6.156
?|57714	3280.4524	?|57714	316.3475
lowly_expressed	lowly_expressed	?|645851	8.8919
?|652919	7.2506	?|652919	32.5068
?|653553	363.6891	?|653553	144.3228
lowly_expressed	lowly_expressed	?|729884	6.8399
?|8225	265.6613	?|8225	263.3379
?|90288	48.4339	?|90288	22.2298
A1BG|1	48.4977	A1BG|1	40.7627
lowly_expressed	lowly_expressed	A2BP1|54715	6.4979
A2LD1|87769	20.7889	A2LD1|87769	101.4877
A2M|2	6471.8503	A2M|2	33808.9979
A4GALT|53947	156.0325	A4GALT|53947	287.9617
AAAS|8086	926.3341	AAAS|8086	577.9754
AACS|65985	3469.8376	AACS|65985	661.7647
AADAT|51166	12.761	AADAT|51166	89.6033
AAGAB|79719	3169.3735	AAGAB|79719	1416.5527
AAK1|22848	1251.4501	AAK1|22848	1130.985
AAMP|14	3154.8724	AAMP|14	1226.7442
AARS2|57505	365.1363	AARS2|57505	224.3228
AARSD1|80755	318.7355	AARSD1|80755	363.5431
AARS|16	2877.6102	AARS|16	2155.9508
AASDHPPT|60496	656.0325	AASDHPPT|60496	1002.052
AASDH|132949	231.7285	AASDH|132949	483.2421
AASS|10157	147.6218	AASS|10157	880.985
AATF|26574	667.9234	AATF|26574	817.0315
AATK|9625	37.993	AATK|9625	35.9097
ABAT|18	4626.7401	ABAT|18	524.9658
lowly_expressed	lowly_expressed	ABCA10|10349	191.8605
ABCA11P|79963	214.6027	ABCA11P|79963	160.855
ABCA12|26154	259.8608	ABCA12|26154	75.5814
lowly_expressed	lowly_expressed	ABCA13|154664	8.2079
ABCA1|19	846.8677	ABCA1|19	3142.1546
ABCA2|20	749.71	ABCA2|20	926.8126
ABCA3|21	2233.4687	ABCA3|21	736.6621
ABCA4|24	20.5916	ABCA4|24	64.2955
ABCA5|23461	288.5731	ABCA5|23461	1002.736
ABCA6|23460	42.6334	ABCA6|23460	519.1518
ABCA7|10347	131.3805	ABCA7|10347	250
lowly_expressed	lowly_expressed	ABCA8|10351	1708.6183
ABCA9|10350	23.7819	ABCA9|10350	1255.472
ABCB10|23456	457.3666	ABCB10|23456	484.9521
lowly_expressed	lowly_expressed	ABCB11|8647	6.4979
ABCB1|5243	8.4107	ABCB1|5243	441.5185
ABCB4|5244	22.0418	ABCB4|5244	28.7278
lowly_expressed	lowly_expressed	ABCB5|340273	216.1423
ABCB6|10058	663.2715	ABCB6|10058	401.9186
ABCB7|22	553.9443	ABCB7|22	600.2052
ABCB8|11194	819.3155	ABCB8|11194	271.8878
ABCB9|23457	424.8405	ABCB9|23457	80.9884
ABCC10|89845	247.9698	ABCC10|89845	237.6881
ABCC11|85320	98.0278	ABCC11|85320	131.6689
ABCC1|4363	1212.877	ABCC1|4363	1041.7237
lowly_expressed	lowly_expressed	ABCC2|1244	10.2599
ABCC3|8714	139.7912	ABCC3|8714	594.0492
ABCC4|10257	91.9374	ABCC4|10257	151.1628
ABCC5|10057	871.8097	ABCC5|10057	592.6813
lowly_expressed	lowly_expressed	ABCC6P1|653190	12.3119
ABCC6P2|730013	35.3828	ABCC6P2|730013	22.9138
ABCC6|368	26.6821	ABCC6|368	214.4323
ABCC8|6833	200.116	ABCC8|6833	43.7756
ABCC9|10060	191.9954	ABCC9|10060	1110.8071
ABCD1|215	410.3828	ABCD1|215	320.7934
lowly_expressed	lowly_expressed	ABCD2|225	666.8947
ABCD3|5825	3986.6589	ABCD3|5825	1911.7647
ABCD4|5826	169.6636	ABCD4|5826	614.9111
ABCE1|6059	1766.8213	ABCE1|6059	1604.9932
ABCF1|23	2488.3991	ABCF1|23	1102.5992
ABCF2|10061	2693.7355	ABCF2|10061	956.5663
ABCF3|55324	1713.1671	ABCF3|55324	683.9945
ABCG1|9619	1490.4292	ABCG1|9619	481.8741
ABCG2|9429	23.7819	ABCG2|9429	205.8824
ABHD10|55347	785.9629	ABHD10|55347	702.1204
ABHD11|83451	1304.5244	ABHD11|83451	357.0451
ABHD12B|145447	83.2367	ABHD12B|145447	7.8659
ABHD12|26090	693.4455	ABHD12|26090	718.8782
ABHD13|84945	289.4432	ABHD13|84945	743.1601
ABHD14A|25864	204.7564	ABHD14A|25864	301.1594
ABHD14B|84836	1428.0742	ABHD14B|84836	3546.1696
ABHD15|116236	162.413	ABHD15|116236	969.2202
ABHD1|84696	12.471	ABHD1|84696	34.5417
ABHD2|11057	9044.6636	ABHD2|11057	2459.3023
ABHD3|171586	677.2042	ABHD3|171586	406.6347
ABHD4|63874	1166.7633	ABHD4|63874	1212.3803
ABHD5|51099	1029.2923	ABHD5|51099	1613.8851
ABHD6|57406	154.8724	ABHD6|57406	351.9152
ABHD8|79575	249.42	ABHD8|79575	125.171
ABI1|10006	1829.0052	ABI1|10006	1524.2818
ABI2|10152	1615.7193	ABI2|10152	1361.4911
ABI3BP|25890	141.2413	ABI3BP|25890	951.7784
ABI3|51225	91.6473	ABI3|51225	162.4487
ABL1|25	1173.1439	ABL1|25	1916.8947
ABL2|27	1057.4246	ABL2|27	819.4254
ABLIM1|3983	4093.3875	ABLIM1|3983	6559.1655
ABLIM2|84448	110.4988	ABLIM2|84448	67.3735
ABLIM3|22885	1469.8376	ABLIM3|22885	2356.7031
ABO|28	6.6705	ABO|28	21.2038
lowly_expressed	lowly_expressed	ABP1|26	9.9179
lowly_expressed	lowly_expressed	ABRA|137735	7.1819
ABR|29	861.3689	ABR|29	1641.2449
ABT1|29777	745.0696	ABT1|29777	480.5062
ABTB1|80325	118.9095	ABTB1|80325	517.7839
ABTB2|25841	148.2019	ABTB2|25841	92.6813
ACAA1|30	1074.536	ACAA1|30	974.3502
ACAA2|10449	609.3387	ACAA2|10449	2977.7702
ACACA|31	1297.8538	ACACA|31	1925.7866
ACACB|32	291.7633	ACACB|32	9767.7839
ACAD10|80724	370.6497	ACAD10|80724	475.3762
ACAD11|84129	262.7291	ACAD11|84129	752.3906
ACAD8|27034	328.3063	ACAD8|27034	511.9699
ACAD9|28976	738.109	ACAD9|28976	933.6525
lowly_expressed	lowly_expressed	ACADL|33	424.4186
ACADM|34	1174.3039	ACADM|34	1921.3406
ACADSB|36	1924.884	ACADSB|36	2695.9644
ACADS|35	58.5847	ACADS|35	909.7127
ACADVL|37	1473.3092	ACADVL|37	4657.6607
ACAN|176	49.3039	ACAN|176	5.13
ACAP1|9744	15.9513	ACAP1|9744	26.3338
ACAP2|23527	1025.232	ACAP2|23527	1717.1683
ACAP3|116983	624.7709	ACAP3|116983	233.6047
ACAT1|38	1121.8097	ACAT1|38	2639.1929
ACAT2|39	785.0667	ACAT2|39	280.6464
ACBD3|64746	3626.1601	ACBD3|64746	1630.643
ACBD4|79777	88.7471	ACBD4|79777	179.5486
ACBD5|91452	1500	ACBD5|91452	997.264
ACBD6|84320	437.935	ACBD6|84320	322.8454
ACBD7|414149	130.5104	ACBD7|414149	25.9918
ACCN1|40	28.1323	lowly_expressed	lowly_expressed
ACCN2|41	357.3086	ACCN2|41	50.6156
ACCN3|9311	16.5313	ACCN3|9311	7.1819
ACCS|84680	69.0255	ACCS|84680	296.8536
ACD|65057	248.2599	ACD|65057	288.3037
lowly_expressed	lowly_expressed	ACE2|59272	20.8618
ACER2|340485	92.2274	ACER2|340485	309.8495
ACER3|55331	1183.2947	ACER3|55331	655.9508
ACE|1636	280.4524	ACE|1636	576.2654
ACHE|43	9.5708	ACHE|43	8.5499
ACIN1|22985	2925.174	ACIN1|22985	2375.171
ACLY|47	4048.1439	ACLY|47	2664.1587
ACN9|57001	12.181	ACN9|57001	194.2544
ACO1|48	740.4292	ACO1|48	6674.7606
ACO2|50	2176.482	ACO2|50	3019.1518
ACOT11|26027	21.7517	ACOT11|26027	39.4289
ACOT13|55856	612.4507	ACOT13|55856	774.6922
ACOT1|641371	306.5545	ACOT1|641371	1260.6019
ACOT2|10965	200.406	ACOT2|10965	675.4446
ACOT4|122970	150.522	ACOT4|122970	243.1601
ACOT6|641372	5.8005	ACOT6|641372	12.3119
ACOT7|11332	641.8213	ACOT7|11332	203.8304
ACOT8|10005	353.46	ACOT8|10005	168.8714
ACOT9|23597	582.6566	ACOT9|23597	551.2996
ACOX1|51	1580.7657	ACOX1|51	3244.4425
ACOX2|8309	203.3063	ACOX2|8309	451.4364
