gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
lowly_expressed	lowly_expressed	?|100133144	26.598
?|100134869	5.4236	?|100134869	17.4118
?|10357	68.2109	?|10357	98.8124
?|10431	1014.4112	?|10431	618.2326
?|155060	160.9842	?|155060	202.2354
?|390284	5.2724	lowly_expressed	lowly_expressed
?|57714	717.0475	?|57714	656.6539
lowly_expressed	lowly_expressed	?|645851	20.2585
?|652919	14.7627	?|652919	110.0314
?|653553	244.9912	?|653553	53.4404
?|8225	651.6696	?|8225	227.0346
lowly_expressed	lowly_expressed	?|90288	6.6364
A1BG|1	36.1722	A1BG|1	55.4104
A2BP1|54715	13.3568	lowly_expressed	lowly_expressed
A2LD1|87769	108.1406	A2LD1|87769	73.5592
A2ML1|144568	6.3269	A2ML1|144568	7.6842
A2M|2	23137.0123	A2M|2	22454.628
A4GALT|53947	463.2689	A4GALT|53947	81.0339
AAAS|8086	534.9736	AAAS|8086	532.6581
AACS|65985	901.9332	AACS|65985	951.4495
AADAC|13	7123.0228	AADAC|13	60.4261
AADAT|51166	82.2496	AADAT|51166	147.0486
AAGAB|79719	1056.942	AAGAB|79719	853.65
AAK1|22848	1156.7663	AAK1|22848	1342.2983
AAMP|14	1955.3603	AAMP|14	639.8882
AARS2|57505	320.9069	AARS2|57505	227.3664
AARSD1|80755	515.6415	AARSD1|80755	242.7524
AARS|16	2317.7504	AARS|16	1358.3654
AASDHPPT|60496	798.594	AASDHPPT|60496	1382.8152
AASDH|132949	245.6942	AASDH|132949	865.1764
AASS|10157	946.2214	AASS|10157	1039.4691
AATF|26574	1226.7135	AATF|26574	555.0122
AATK|9625	96.6608	AATK|9625	12.9235
ABAT|18	1597.188	ABAT|18	334.2648
ABCA10|10349	193.6731	ABCA10|10349	587.1463
ABCA11P|79963	72.109	ABCA11P|79963	179.979
ABCA12|26154	13.3568	ABCA12|26154	10.8278
ABCA13|154664	5.9754	ABCA13|154664	135.8715
lowly_expressed	lowly_expressed	ABCA17P|650655	9.4307
ABCA1|19	751.0896	ABCA1|19	1640.5274
ABCA2|20	2006.6784	ABCA2|20	861.6835
ABCA3|21	926.5378	ABCA3|21	877.052
ABCA4|24	72.0562	ABCA4|24	114.5651
ABCA5|23461	1578.2074	ABCA5|23461	2073.3496
ABCA6|23460	615.1142	ABCA6|23460	749.9127
