gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
?|10357	73.4778	?|10357	68.2279
?|10431	1576.1107	?|10431	1322.1617
?|155060	98.3248	?|155060	40.2178
?|390284	8.74	lowly_expressed	lowly_expressed
?|57714	580.4807	?|57714	207.3733
lowly_expressed	lowly_expressed	?|645851	6.703
?|652919	8.2957	lowly_expressed	lowly_expressed
?|653553	647.8514	?|653553	227.4822
lowly_expressed	lowly_expressed	?|729884	12.987
?|8225	325.2003	?|8225	150.8169
?|90288	48.7983	?|90288	9.2166
A1BG|1	211.3656	A1BG|1	31.4202
A2LD1|87769	147.713	A2LD1|87769	104.8513
lowly_expressed	lowly_expressed	A2ML1|144568	10.4734
A2M|2	5853.9111	A2M|2	23177.6163
A4GALT|53947	348.8711	A4GALT|53947	97.6121
AAAS|8086	822.287	AAAS|8086	362.3796
AACS|65985	1542.6074	AACS|65985	387.9346
AADAT|51166	12.0175	AADAT|51166	72.057
AAGAB|79719	3182.8114	AAGAB|79719	1080.4357
AAK1|22848	770.5754	AAK1|22848	798.9108
AAMP|14	2723.598	AAMP|14	421.4495
AARS2|57505	264.7378	AARS2|57505	113.9506
AARSD1|80755	747.9971	AARSD1|80755	121.4914
AARS|16	1830.2986	AARS|16	1059.07
AASDHPPT|60496	1424.6176	AASDHPPT|60496	1592.3754
AASDH|132949	344.5011	AASDH|132949	635.1068
AASS|10157	82.6657	AASS|10157	509.4261
AATF|26574	1509.8325	AATF|26574	464.5999
AATK|9625	120.9031	AATK|9625	7.1219
ABAT|18	6123.4523	ABAT|18	422.7063
ABCA10|10349	6.555	ABCA10|10349	430.2472
ABCA11P|79963	102.9825	ABCA11P|79963	111.7721
ABCA12|26154	84.8507	ABCA12|26154	15.0817
ABCA17P|650655	13.8383	ABCA17P|650655	8.7977
ABCA1|19	614.7123	ABCA1|19	1824.0385
ABCA2|20	560.8157	ABCA2|20	297.0256
ABCA3|21	3923.5251	ABCA3|21	203.6028
ABCA4|24	15.6591	ABCA4|24	36.8664
ABCA5|23461	343.4086	ABCA5|23461	1032.677
ABCA6|23460	24.7633	ABCA6|23460	304.5664
ABCA7|10347	121.6315	ABCA7|10347	30.5823
ABCA8|10351	30.9541	ABCA8|10351	1128.1944
ABCA9|10350	28.405	ABCA9|10350	723.9212
ABCB10|23456	535.3241	ABCB10|23456	737.3272
ABCB1|5243	22.2141	ABCB1|5243	140.7625
ABCB4|5244	7.2833	ABCB4|5244	5.4462
lowly_expressed	lowly_expressed	ABCB5|340273	111.8559
ABCB6|10058	460.0255	ABCB6|10058	125.2618
ABCB7|22	403.496	ABCB7|22	493.0876
ABCB8|11194	625.2731	ABCB8|11194	85.8819
ABCB9|23457	203.8893	ABCB9|23457	43.1504
ABCC10|89845	286.9629	ABCC10|89845	186.8454
ABCC11|85320	2403.1318	ABCC11|85320	128.6133
ABCC12|94160	12.3816	lowly_expressed	lowly_expressed
ABCC13|150000	22.5783	lowly_expressed	lowly_expressed
ABCC1|4363	1335.3969	ABCC1|4363	734.8136
lowly_expressed	lowly_expressed	ABCC2|1244	5.8651
ABCC3|8714	99.0532	ABCC3|8714	436.9501
ABCC4|10257	62.2724	ABCC4|10257	219.1035
ABCC5|10057	579.7524	ABCC5|10057	487.2225
lowly_expressed	lowly_expressed	ABCC6P1|653190	21.3657
