gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
?|100133144	14.8556	?|100133144	5.3016
?|100134869	7.7467	lowly_expressed	lowly_expressed
?|10357	103.1845	?|10357	91.8252
?|10431	576.2056	?|10431	730.5726
?|155060	166.886	?|155060	161.5542
lowly_expressed	lowly_expressed	?|390284	6.135
?|57714	676.523	?|57714	206.544
?|645851	9.9079	lowly_expressed	lowly_expressed
?|652919	76.2753	lowly_expressed	lowly_expressed
?|653553	96.9115	?|653553	162.0654
?|729884	10.5271	lowly_expressed	lowly_expressed
?|8225	301.5713	?|8225	346.1145
?|90288	7.4309	?|90288	9.2025
A1BG|1	94.7008	A1BG|1	80.8742
A2LD1|87769	69.6958	A2LD1|87769	64.5706
lowly_expressed	lowly_expressed	A2ML1|144568	48.0573
A2M|2	32207.1027	A2M|2	25382.8067
A4GALT|53947	278.6593	A4GALT|53947	512.7812
AAAS|8086	452.357	AAAS|8086	535.7873
AACS|65985	701.6023	AACS|65985	860.4294
AADAC|13	13.6233	AADAC|13	247.955
AADAT|51166	146.7606	AADAT|51166	107.362
AAGAB|79719	1822.1225	AAGAB|79719	962.6789
AAK1|22848	1550.5844	AAK1|22848	888.5481
AAMP|14	1797.3527	AAMP|14	1730.0613
AARS2|57505	444.2666	AARS2|57505	291.9172
AARSD1|80755	310.86	AARSD1|80755	391.1043
AARS|16	3147.3024	AARS|16	1883.4356
AASDHPPT|60496	900.6889	AASDHPPT|60496	724.9489
AASDH|132949	425.1103	AASDH|132949	332.8221
AASS|10157	480.2229	AASS|10157	532.2086
AATF|26574	722.6566	AATF|26574	793.9673
AATK|9625	38.7027	AATK|9625	46.5235
ABAT|18	798.2042	ABAT|18	313.3947
ABCA10|10349	187.9402	ABCA10|10349	369.6319
ABCA11P|79963	113.1543	ABCA11P|79963	90.9407
ABCA12|26154	59.1377	ABCA12|26154	19.9387
ABCA13|154664	79.8823	ABCA13|154664	21.4724
ABCA17P|650655	7.1213	lowly_expressed	lowly_expressed
ABCA1|19	1660.7911	ABCA1|19	1971.8405
ABCA2|20	1060.4536	ABCA2|20	981.0838
ABCA3|21	1544.7016	ABCA3|21	812.3722
ABCA4|24	12.6945	ABCA4|24	69.5297
ABCA5|23461	788.2963	ABCA5|23461	660.5317
ABCA6|23460	546.1723	ABCA6|23460	1050.1022
ABCA7|10347	252.0319	ABCA7|10347	296.0123
ABCA8|10351	634.724	ABCA8|10351	1611.4519
ABCA9|10350	503.4445	ABCA9|10350	1691.7178
ABCB10|23456	406.8426	ABCB10|23456	430.9816
lowly_expressed	lowly_expressed	ABCB11|8647	5.1125
ABCB1|5243	788.9156	ABCB1|5243	365.0307
ABCB4|5244	44.8951	ABCB4|5244	16.3599
ABCB5|340273	209.3041	ABCB5|340273	279.6524
ABCB6|10058	296.8279	ABCB6|10058	323.8804
ABCB7|22	378.0478	ABCB7|22	514.3149
ABCB8|11194	445.5453	ABCB8|11194	329.2434
ABCB9|23457	224.4632	ABCB9|23457	115.7924
ABCC10|89845	448.0223	ABCC10|89845	291.9223
