gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
lowly_expressed	lowly_expressed	?|100133144	14.1096
lowly_expressed	lowly_expressed	?|100134869	6.2662
?|10357	85.7918	?|10357	92.2679
?|10431	952.7575	?|10431	905.0019
?|155060	72.2612	?|155060	101.085
?|390284	6.8171	?|390284	7.1448
?|391343	7.3625	lowly_expressed	lowly_expressed
?|57714	473.3792	?|57714	401.1646
?|645851	9.8166	?|645851	10.8494
?|652919	15.2703	?|652919	17.4332
?|653553	196.8778	?|653553	90.2356
lowly_expressed	lowly_expressed	?|728788	5.0278
?|729884	52.628	?|729884	6.6155
?|8225	295.5893	?|8225	112.1991
?|90288	11.18	?|90288	9.5263
A1BG|1	151.0505	A1BG|1	37.3115
A2LD1|87769	55.4612	A2LD1|87769	102.7574
A2M|2	4458.368	A2M|2	29948.2019
A4GALT|53947	256.8682	A4GALT|53947	154.5383
AAAS|8086	917.854	AAAS|8086	377.0841
AACS|65985	1059.1042	AACS|65985	529.5055
lowly_expressed	lowly_expressed	AADAC|13	6.6155
AADAT|51166	83.9866	AADAT|51166	86.7955
AAGAB|79719	1829.4362	AAGAB|79719	1247.4208
AAK1|22848	1269.0708	AAK1|22848	1236.836
AAMP|14	2097.2118	AAMP|14	557.2907
AARS2|57505	370.572	AARS2|57505	143.1597
AARSD1|80755	636.9896	AARSD1|80755	201.1115
AARS|16	3183.0391	AARS|16	1307.225
AASDHPPT|60496	978.9352	AASDHPPT|60496	1201.6414
AASDH|132949	524.0984	AASDH|132949	576.6079
AASS|10157	376.0311	AASS|10157	767.1347
AATF|26574	1200.0818	AATF|26574	529.5055
AATK|9625	19.0879	AATK|9625	13.231
ABAT|18	2231.9176	ABAT|18	468.3782
lowly_expressed	lowly_expressed	ABCA10|10349	624.7689
ABCA11P|79963	198.004	ABCA11P|79963	207.3169
ABCA12|26154	1103.5517	ABCA12|26154	32.2837
ABCA13|154664	11.7254	ABCA13|154664	15.0834
lowly_expressed	lowly_expressed	ABCA17P|650655	5.557
ABCA1|19	515.6262	ABCA1|19	2238.1253
ABCA2|20	706.2513	ABCA2|20	492.194
ABCA3|21	1892.9716	ABCA3|21	456.9995
ABCA4|24	24.2689	ABCA4|24	46.044
ABCA5|23461	106.3467	ABCA5|23461	1291.6124
ABCA6|23460	12.5435	ABCA6|23460	876.9522
ABCA7|10347	187.3338	ABCA7|10347	113.2576
ABCA8|10351	7.6351	ABCA8|10351	2881.1874
lowly_expressed	lowly_expressed	ABCA9|10350	1360.9429
ABCB10|23456	1106.0059	ABCB10|23456	571.0509
ABCB1|5243	17.4518	ABCB1|5243	499.868
ABCB4|5244	8.7259	ABCB4|5244	21.6989
lowly_expressed	lowly_expressed	ABCB5|340273	167.7694
ABCB6|10058	314.9008	ABCB6|10058	202.0642
ABCB7|22	551.0941	ABCB7|22	593.0144
ABCB8|11194	836.3215	ABCB8|11194	140.5135
ABCB9|23457	80.3709	ABCB9|23457	73.7127
ABCC10|89845	213.2388	ABCC10|89845	169.0925
ABCC11|85320	2175.4721	ABCC11|85320	337.6557
ABCC12|94160	148.34	ABCC12|94160	5.0278
ABCC13|150000	422.3873	ABCC13|150000	8.7325
ABCC1|4363	1136.0011	ABCC1|4363	898.3864
lowly_expressed	lowly_expressed	ABCC2|1244	15.8772
ABCC3|8714	373.8496	ABCC3|8714	392.1675
ABCC4|10257	1246.1654	ABCC4|10257	362.2654
ABCC5|10057	1051.7418	ABCC5|10057	620.5349
lowly_expressed	lowly_expressed	ABCC6P1|653190	10.5848
lowly_expressed	lowly_expressed	ABCC6P2|730013	26.9913
lowly_expressed	lowly_expressed	ABCC6|368	73.5645
ABCC8|6833	618.7197	ABCC8|6833	53.1887
ABCC9|10060	94.3486	ABCC9|10060	1165.6531
ABCD1|215	146.9766	ABCD1|215	73.5645
lowly_expressed	lowly_expressed	ABCD2|225	320.4554
ABCD3|5825	2080.8508	ABCD3|5825	2296.6408
ABCD4|5826	359.9427	ABCD4|5826	462.5565
ABCE1|6059	1949.4171	ABCE1|6059	2910.2957
ABCF1|23	1501.1248	ABCF1|23	1049.7493
ABCF2|10061	1189.7198	ABCF2|10061	842.2869
ABCF3|55324	992.842	ABCF3|55324	356.7084
ABCG1|9619	317.1314	ABCG1|9619	621.858
ABCG2|9429	40.6299	ABCG2|9429	569.1986
ABHD10|55347	740.3368	ABHD10|55347	879.5984
ABHD11|83451	720.1582	ABHD11|83451	317.0153
lowly_expressed	lowly_expressed	ABHD12B|145447	5.2924
ABHD12|26090	1844.7065	ABHD12|26090	653.8771
ABHD13|84945	274.5927	ABHD13|84945	1148.4527
ABHD14A|25864	242.6941	ABHD14A|25864	201.7519
ABHD14B|84836	2305.815	ABHD14B|84836	1804.4468
ABHD15|116236	506.374	ABHD15|116236	306.1659
ABHD1|84696	69.5344	ABHD1|84696	20.3758
ABHD2|11057	11375.2812	ABHD2|11057	4015.3506
ABHD3|171586	1331.5154	ABHD3|171586	485.0493
ABHD4|63874	574.8176	ABHD4|63874	787.2458
ABHD5|51099	756.9705	ABHD5|51099	1508.8658
ABHD6|57406	75.5334	ABHD6|57406	288.4363
ABHD8|79575	165.2464	ABHD8|79575	78.063
ABI1|10006	1502.0629	ABI1|10006	2576.5008
ABI2|10152	1011.6572	ABI2|10152	2460.7055
ABI3BP|25890	32.4494	ABI3BP|25890	2882.2459
ABI3|51225	71.4432	ABI3|51225	83.8847
ABL1|25	1767.8097	ABL1|25	2104.2618
ABL2|27	1458.8588	ABL2|27	1942.0494
ABLIM1|3983	2916.8996	ABLIM1|3983	9519.7205
ABLIM2|84448	107.1648	ABLIM2|84448	74.623
ABLIM3|22885	1204.1721	ABLIM3|22885	1357.7675
lowly_expressed	lowly_expressed	ABO|28	24.3451
ABR|29	968.0278	ABR|29	1373.9094
ABT1|29777	367.3052	ABT1|29777	432.6544
ABTB1|80325	430.5679	ABTB1|80325	183.382
ABTB2|25841	22.6328	ABTB2|25841	131.2517
ACAA1|30	1317.3359	ACAA1|30	440.3284
ACAA2|10449	859.4996	ACAA2|10449	1699.3925
ACACA|31	2593.7692	ACACA|31	1663.6687
ACACB|32	154.6118	ACACB|32	1821.1179
ACAD10|80724	539.3687	ACAD10|80724	388.7274
