gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
lowly_expressed	lowly_expressed	?|100133144	9.7428
?|100134869	5.1473	?|100134869	8.2711
?|10357	107.2333	?|10357	104.7126
?|10431	2230.7204	?|10431	606.0606
?|155060	41.6855	?|155060	216.1667
?|390284	5.7997	lowly_expressed	lowly_expressed
?|553137	7.6121	lowly_expressed	lowly_expressed
?|57714	484.6398	?|57714	756.5835
?|645851	17.0367	?|645851	19.5405
?|652919	5.5025	?|652919	91.5472
?|653553	1099.0485	?|653553	87.0163
?|8225	171.8169	?|8225	411.2663
lowly_expressed	lowly_expressed	?|90288	12.2128
A1BG|1	67.5125	A1BG|1	64.9874
A2LD1|87769	120.0652	A2LD1|87769	60.9663
A2ML1|144568	9.787	A2ML1|144568	45.1874
A2M|2	8517.6004	A2M|2	34211.651
A4GALT|53947	40.9606	A4GALT|53947	252.8051
AAAS|8086	612.2338	AAAS|8086	570.3381
AACS|65985	707.2043	AACS|65985	1180.6732
lowly_expressed	lowly_expressed	AADAC|13	14.6554
AADAT|51166	104.7576	AADAT|51166	86.4056
AAGAB|79719	2198.8219	AAGAB|79719	933.3639
AAK1|22848	943.1808	AAK1|22848	1333.6387
AAMP|14	421.9302	AAMP|14	1769.3306
AARS2|57505	102.2202	AARS2|57505	412.1579
AARSD1|80755	155.8677	AARSD1|80755	406.9918
AARS|16	2284.3679	AARS|16	2265.4759
AASDHPPT|60496	3285.1835	AASDHPPT|60496	834.7454
AASDH|132949	441.8668	AASDH|132949	511.106
AASS|10157	188.8536	AASS|10157	1121.1358
AATF|26574	589.0349	AATF|26574	860.6977
AATK|9625	7.6121	AATK|9625	54.0417
ABAT|18	531.0376	ABAT|18	520.5709
lowly_expressed	lowly_expressed	ABCA10|10349	662.2395
ABCA11P|79963	263.4998	ABCA11P|79963	142.4258
ABCA12|26154	793.8378	ABCA12|26154	147.775
ABCA13|154664	19.5741	ABCA13|154664	25.0363
ABCA17P|650655	5.7997	ABCA17P|650655	7.0224
ABCA1|19	1608.3371	ABCA1|19	2117.6612
ABCA2|20	749.6149	ABCA2|20	1137.6231
ABCA3|21	764.1142	ABCA3|21	951.9884
ABCA4|24	50.7476	lowly_expressed	lowly_expressed
ABCA5|23461	473.0403	ABCA5|23461	1277.1544
ABCA6|23460	29.3611	ABCA6|23460	824.6699
ABCA7|10347	25.7363	ABCA7|10347	172.2006
ABCA8|10351	9.0621	ABCA8|10351	1900.313
ABCA9|10350	448.029	ABCA9|10350	1687.5048
ABCB10|23456	901.8577	ABCB10|23456	471.7197
ABCB1|5243	7.2497	ABCB1|5243	880.5435
ABCB4|5244	33.3484	ABCB4|5244	18.0139
lowly_expressed	lowly_expressed	ABCB5|340273	360.2778
ABCB6|10058	259.5705	ABCB6|10058	391.6129
ABCB7|22	698.5048	ABCB7|22	547.1338
ABCB8|11194	176.5292	ABCB8|11194	319.6703
ABCB9|23457	248.5184	ABCB9|23457	106.1476
ABCC10|89845	156.5927	ABCC10|89845	401.8014
ABCC11|85320	12.6869	ABCC11|85320	663.7661
ABCC13|150000	3051.7444	lowly_expressed	lowly_expressed
ABCC1|4363	886.9959	ABCC1|4363	1172.4296
lowly_expressed	lowly_expressed	ABCC2|1244	55.8736
ABCC3|8714	109.1074	ABCC3|8714	670.1778
ABCC4|10257	202.2655	ABCC4|10257	168.5368
ABCC5|10057	1828.7268	ABCC5|10057	998.0917
lowly_expressed	lowly_expressed	ABCC6P1|653190	18.6245
ABCC6P2|730013	17.7617	ABCC6P2|730013	19.5405
ABCC6|368	105.4826	ABCC6|368	215.8614
ABCC8|6833	45.3104	ABCC8|6833	90.9854
ABCC9|10060	444.0417	ABCC9|10060	1006.6407
ABCD1|215	258.0879	ABCD1|215	214.6401
lowly_expressed	lowly_expressed	ABCD2|225	261.6594
