gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
?|100133144	17.3779	lowly_expressed	lowly_expressed
?|10357	103.407	?|10357	118.7315
?|10431	1262.2591	?|10431	706.1895
?|155060	84.6044	?|155060	89.3911
?|57714	1107.151	?|57714	309.6968
?|645851	13.6145	?|645851	8.3624
?|652919	19.2937	lowly_expressed	lowly_expressed
?|653553	147.3284	?|653553	164.941
?|729884	6.321	?|729884	44.6955
?|8225	269.3727	?|8225	203.8693
?|90288	27.229	?|90288	7.7857
A1BG|1	366.2302	A1BG|1	56.2501
A2BP1|54715	12.1558	lowly_expressed	lowly_expressed
A2LD1|87769	70.8197	A2LD1|87769	83.1914
lowly_expressed	lowly_expressed	A2ML1|144568	5.4788
A2M|2	5432.6301	lowly_expressed	lowly_expressed
A4GALT|53947	184.2821	A4GALT|53947	275.9589
AAAS|8086	355.4358	AAAS|8086	541.8253
AACS|65985	492.5534	AACS|65985	816.6308
AADAT|51166	139.5487	AADAT|51166	108.7111
AAGAB|79719	791.5862	AAGAB|79719	1048.1825
AAK1|22848	1363.3955	AAK1|22848	1017.3282
AAMP|14	2060.1664	AAMP|14	1003.487
AARS2|57505	217.307	AARS2|57505	261.789
AARSD1|80755	326.7481	AARSD1|80755	275.3822
AARS|16	3765.8694	AARS|16	1803.1046
AASDHPPT|60496	789.1551	AASDHPPT|60496	1027.9974
AASDH|132949	408.4352	AASDH|132949	515.5847
AASS|10157	132.7414	AASS|10157	614.78
AATF|26574	1046.372	AATF|26574	765.5914
AATK|9625	73.2071	AATK|9625	29.1242
ABAT|18	251.8683	ABAT|18	303.353
lowly_expressed	lowly_expressed	ABCA10|10349	287.2049
ABCA11P|79963	103.3438	ABCA11P|79963	150.2606
ABCA12|26154	118.6407	ABCA12|26154	15.283
ABCA17P|650655	5.8348	ABCA17P|650655	8.9391
ABCA1|19	1035.1789	ABCA1|19	1137.2737
ABCA2|20	730.321	ABCA2|20	588.251
ABCA3|21	1101.8025	ABCA3|21	461.3733
ABCA4|24	9.7246	ABCA4|24	40.3702
