gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
?|100133144	6.6911	?|100133144	5.0531
lowly_expressed	lowly_expressed	?|100134869	9.0955
?|10357	51.2433	?|10357	53.9768
?|10431	753.7934	?|10431	619.5048
?|155060	231.0328	?|155060	322.385
?|57714	210.4748	?|57714	356.7458
?|645851	15.1738	?|645851	22.2335
lowly_expressed	lowly_expressed	?|652919	95.7858
?|653553	215.859	?|653553	195.048
lowly_expressed	lowly_expressed	?|729884	19.7069
?|8225	540.8713	?|8225	400.7074
?|90288	108.6637	?|90288	12.6326
A1BG|1	147.4988	A1BG|1	94.8914
A2LD1|87769	63.0054	A2LD1|87769	74.4265
A2M|2	9796.8184	A2M|2	34083.0571
A4GALT|53947	99.3637	A4GALT|53947	244.568
AAAS|8086	767.9883	AAAS|8086	648.3072
AACS|65985	2489.9657	AACS|65985	4815.0581
lowly_expressed	lowly_expressed	AADAC|13	83.3754
AADAT|51166	33.7739	AADAT|51166	397.6756
AAGAB|79719	1756.7303	AAGAB|79719	1073.2693
AAK1|22848	1385.2178	AAK1|22848	1251.6422
AAMP|14	2640.7244	AAMP|14	1658.9186
AARS2|57505	454.1557	AARS2|57505	374.9015
AARSD1|80755	470.8762	AARSD1|80755	391.6119
AARS|16	3975.0367	AARS|16	2407.7817
AASDHPPT|60496	987.2736	AASDHPPT|60496	827.6908
AASDH|132949	398.9232	AASDH|132949	438.1001
AASS|10157	147.8218	AASS|10157	684.6892
AATF|26574	672.0509	AATF|26574	630.6215
AATK|9625	622.79	AATK|9625	82.8701
ABAT|18	409.2022	ABAT|18	742.2941
ABCA10|10349	10.279	ABCA10|10349	431.5311
ABCA11P|79963	115.7513	ABCA11P|79963	140.7832
ABCA12|26154	49.4371	ABCA12|26154	1093.9869
lowly_expressed	lowly_expressed	ABCA13|154664	16.6751
ABCA17P|650655	14.6843	ABCA17P|650655	6.569
ABCA1|19	289.2805	ABCA1|19	1437.524
ABCA2|20	2739.5986	ABCA2|20	1188.479
ABCA3|21	3020.0685	ABCA3|21	1526.5285
lowly_expressed	lowly_expressed	ABCA4|24	39.9192
ABCA5|23461	579.0504	ABCA5|23461	929.7625
ABCA6|23460	22.0264	ABCA6|23460	583.6281
