gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
lowly_expressed	lowly_expressed	?|100133144	22.795
?|100134869	10.026	?|100134869	9.1924
?|10357	119.6275	?|10357	75.8626
?|10431	860.1126	?|10431	538.0178
?|155060	93.1139	?|155060	353.9591
?|390284	9.5279	?|390284	5.7682
?|57714	1085.3183	?|57714	956.4761
?|645851	7.7956	?|645851	20.451
?|652919	19.922	?|652919	68.065
?|653553	118.233	?|653553	148.925
lowly_expressed	lowly_expressed	?|729884	47.7189
?|8225	473.7982	?|8225	571.5784
lowly_expressed	lowly_expressed	?|90288	22.5485
A1BG|1	39.1641	A1BG|1	52.4017
A2LD1|87769	55.0801	A2LD1|87769	65.0184
A2ML1|144568	182.7631	A2ML1|144568	8.3901
A2M|2	26083.1269	A2M|2	34542.5695
A4GALT|53947	255.5219	A4GALT|53947	274.2528
AAAS|8086	420.0953	AAAS|8086	640.7971
AACS|65985	1120.8315	AACS|65985	1192.4489
AADAC|13	40.7103	lowly_expressed	lowly_expressed
AADAT|51166	193.5903	AADAT|51166	83.377
AAGAB|79719	1294.4998	AAGAB|79719	990.0367
AAK1|22848	1105.6735	AAK1|22848	1093.3403
AAMP|14	1857.9472	AAMP|14	1979.549
AARS2|57505	488.9216	AARS2|57505	558.4006
AARSD1|80755	237.3322	AARSD1|80755	399.5805
AARS|16	3935.4699	AARS|16	2851.075
AASDHPPT|60496	1022.9537	AASDHPPT|60496	747.247
AASDH|132949	401.0394	AASDH|132949	492.3964
AASS|10157	203.5513	AASS|10157	858.9407
AATF|26574	1106.1065	AATF|26574	815.9413
AATK|9625	32.4816	AATK|9625	73.9381
ABAT|18	205.2837	ABAT|18	932.8789
ABCA10|10349	26.4184	ABCA10|10349	338.2276
ABCA11P|79963	97.4794	ABCA11P|79963	164.2685
ABCA12|26154	716.3274	ABCA12|26154	128.9984
lowly_expressed	lowly_expressed	ABCA13|154664	9.9633
lowly_expressed	lowly_expressed	ABCA17P|650655	8.3901
ABCA1|19	820.2165	ABCA1|19	1670.0629
ABCA2|20	1164.5734	ABCA2|20	1916.0986
ABCA3|21	519.2724	ABCA3|21	887.7819
ABCA4|24	112.6029	ABCA4|24	123.2302
ABCA5|23461	233.0013	ABCA5|23461	980.5978
ABCA6|23460	232.5682	ABCA6|23460	655.4798
ABCA7|10347	208.3153	ABCA7|10347	330.8862
ABCA8|10351	415.7644	ABCA8|10351	1396.9586
ABCA9|10350	164.1403	ABCA9|10350	710.5401
ABCB10|23456	383.7159	ABCB10|23456	382.8002
ABCB1|5243	332.1784	ABCB1|5243	772.9418
ABCB4|5244	45.0411	ABCB4|5244	14.1584
lowly_expressed	lowly_expressed	ABCB5|340273	229.6801
ABCB6|10058	829.5496	ABCB6|10058	390.7604
ABCB7|22	472.932	ABCB7|22	447.2994
ABCB8|11194	595.929	ABCB8|11194	475.6162
ABCB9|23457	96.3707	ABCB9|23457	127.8186
ABCC10|89845	622.3473	ABCC10|89845	522.2863
ABCC11|85320	2395.8424	ABCC11|85320	113.7913
ABCC12|94160	12.5595	lowly_expressed	lowly_expressed
ABCC1|4363	1536.5959	ABCC1|4363	1184.5831
ABCC2|1244	77.0896	ABCC2|1244	19.4022
ABCC3|8714	1245.1278	ABCC3|8714	587.3099
ABCC4|10257	416.6306	ABCC4|10257	120.6083
ABCC5|10057	329.1468	ABCC5|10057	1042.9995
lowly_expressed	lowly_expressed	ABCC6P1|653190	7.8658
ABCC6P2|730013	11.2603	ABCC6P2|730013	17.3047
ABCC6|368	8.6618	ABCC6|368	138.9617
lowly_expressed	lowly_expressed	ABCC8|6833	135.8154
ABCC9|10060	512.7761	ABCC9|10060	847.4043
ABCD1|215	210.4807	ABCD1|215	314.6303
ABCD2|225	27.7176	ABCD2|225	173.0467
ABCD3|5825	1733.6509	ABCD3|5825	1772.9418
ABCD4|5826	460.3725	ABCD4|5826	732.0399
ABCE1|6059	2837.1589	ABCE1|6059	1488.2014
ABCF1|23	2816.3707	ABCF1|23	1290.5087
ABCF2|10061	1271.9792	ABCF2|10061	1044.5726
ABCF3|55324	903.8545	ABCF3|55324	896.172
ABCG1|9619	388.0468	ABCG1|9619	433.1411
ABCG2|9429	168.9043	ABCG2|9429	175.1442
ABHD10|55347	417.0637	ABHD10|55347	614.5779
ABHD11|83451	974.0147	ABHD11|83451	426.8485
lowly_expressed	lowly_expressed	ABHD12B|145447	6.817
ABHD12|26090	1029.8831	ABHD12|26090	634.5045
ABHD13|84945	442.6159	ABHD13|84945	585.7368
ABHD14A|25864	104.0191	ABHD14A|25864	199.2659
ABHD14B|84836	1129.0602	ABHD14B|84836	1825.9046
ABHD15|116236	256.388	ABHD15|116236	529.6277
lowly_expressed	lowly_expressed	ABHD1|84696	33.5606
ABHD2|11057	4515.3746	ABHD2|11057	3966.4394
ABHD3|171586	207.8822	ABHD3|171586	235.4483
ABHD4|63874	1132.958	ABHD4|63874	670.6869
ABHD5|51099	639.6709	ABHD5|51099	729.9423
ABHD6|57406	92.6808	ABHD6|57406	204.5097
ABHD8|79575	122.1308	ABHD8|79575	189.3026
ABI1|10006	1731.6457	ABI1|10006	1488.2014
ABI2|10152	1066.6955	ABI2|10152	1976.4027
ABI3BP|25890	919.0126	ABI3BP|25890	971.6833
ABI3|51225	220.8748	ABI3|51225	195.5952
ABL1|25	3288.8696	ABL1|25	2883.0624
ABL2|27	1691.6414	ABL2|27	1005.7682
ABLIM1|3983	6326.9814	ABLIM1|3983	6902.4646
ABLIM2|84448	91.3816	ABLIM2|84448	109.5962
ABLIM3|22885	229.1035	ABLIM3|22885	1335.0813
ABO|28	14.2919	ABO|28	29.3655
ABP1|26	33.3478	ABP1|26	7.3414
ABR|29	1605.89	ABR|29	2676.9795
ABT1|29777	581.6371	ABT1|29777	520.1888
ABTB1|80325	219.1425	ABTB1|80325	668.065
ABTB2|25841	152.88	ABTB2|25841	90.194
ACAA1|30	928.5405	ACAA1|30	929.7326
ACAA2|10449	1311.8233	ACAA2|10449	1227.5826
ACACA|31	5292.3343	ACACA|31	3437.8605
ACACB|32	283.2395	ACACB|32	4613.0047
ACAD10|80724	363.3608	ACAD10|80724	583.6392
ACAD11|84129	177.5227	ACAD11|84129	621.8353
ACAD8|27034	570.8099	ACAD8|27034	630.3094
ACAD9|28976	662.1914	ACAD9|28976	867.8972
lowly_expressed	lowly_expressed	ACADL|33	85.999
ACADM|34	1045.0411	ACADM|34	1148.925
ACADSB|36	379.385	ACADSB|36	2927.635
ACADS|35	115.6345	ACADS|35	623.4924
ACADVL|37	2597.6613	ACADVL|37	5549.9161
ACAN|176	185.7947	ACAN|176	18.8778
ACAP1|9744	198.3543	ACAP1|9744	120.0839
ACAP2|23527	1423.9931	ACAP2|23527	1527.5302
ACAP3|116983	436.1715	ACAP3|116983	545.0393
ACAT1|38	1026.8515	ACAT1|38	1102.2549
ACAT2|39	1297.8042	ACAT2|39	400.6083
ACBD3|64746	2468.168	ACBD3|64746	1356.581
ACBD4|79777	64.5301	ACBD4|79777	319.3498
ACBD5|91452	713.2958	ACBD5|91452	808.0755
ACBD6|84320	446.0806	ACBD6|84320	340.3251
ACBD7|414149	28.5838	ACBD7|414149	25.1704
ACCN2|41	135.5565	ACCN2|41	117.9864
lowly_expressed	lowly_expressed	ACCN3|9311	9.9633
ACCS|84680	74.9242	ACCS|84680	389.6172
ACD|65057	186.2278	ACD|65057	363.9224
ACE2|59272	57.1676	ACE2|59272	11.5364
ACER2|340485	69.7272	ACER2|340485	226.5338
ACER3|55331	682.9796	ACER3|55331	488.2014
ACE|1636	497.1849	ACE|1636	610.3828
ACHE|43	17.3235	ACHE|43	30.4143
ACIN1|22985	3211.3469	ACIN1|22985	3820.6607
ACLY|47	4095.7124	ACLY|47	6689.0404
ACN9|57001	142.4859	ACN9|57001	88.0965
ACO1|48	879.6016	ACO1|48	1897.7451
ACO2|50	3048.0165	ACO2|50	2497.1736
ACOT11|26027	14.0234	ACOT11|26027	45.3015
ACOT13|55856	502.4513	ACOT13|55856	434.5097
ACOT1|641371	459.9394	ACOT1|641371	614.5779
ACOT2|10965	264.6167	ACOT2|10965	365.4955
ACOT4|122970	154.1793	ACOT4|122970	122.7058
ACOT6|641372	6.4963	ACOT6|641372	6.817
ACOT7|11332	659.5929	ACOT7|11332	271.6308
ACOT8|10005	208.7917	ACOT8|10005	188.8464
ACOT9|23597	856.2148	ACOT9|23597	395.9098
ACOX1|51	2040.065	ACOX1|51	2023.5973
ACOX2|8309	54.5691	ACOX2|8309	252.2286
ACOX3|8310	711.1304	ACOX3|8310	664.3943
ACP1|52	1233.0013	ACP1|52	1020.9754
ACP2|53	786.0546	ACP2|53	634.5045
ACP5|54	1067.5617	ACP5|54	522.8107
ACP6|51205	135.1234	ACP6|51205	239.119
ACPL2|92370	364.2269	ACPL2|92370	469.8479
ACPP|55	40.7103	ACPP|55	28.8411
ACRBP|84519	12.1265	ACRBP|84519	27.7923
ACRC|93953	15.5912	ACRC|93953	39.3288
lowly_expressed	lowly_expressed	ACR|49	5.7682
ACSBG1|23205	6.4963	ACSBG1|23205	15.2071
ACSF2|80221	270.2469	ACSF2|80221	830.0996
ACSF3|197322	302.2954	ACSF3|197322	366.5443
ACSL1|2180	3908.1854	ACSL1|2180	8673.8332
ACSL3|2181	3252.0572	ACSL3|2181	2676.9795
ACSL4|2182	1038.9779	ACSL4|2182	1293.655
ACSL5|51703	1151.1477	ACSL5|51703	814.3681
ACSL6|23305	7.3625	ACSL6|23305	13.634
ACSM1|116285	9.5279	ACSM1|116285	78.1332
ACSM3|6296	20.4851	ACSM3|6296	110.5139
ACSM5|54988	6.0632	ACSM5|54988	151.5469
ACSS1|84532	660.026	ACSS1|84532	736.2349
ACSS2|55902	637.9385	ACSS2|55902	2062.4017
ACSS3|79611	501.9489	ACSS3|79611	507.0792
ACTA1|58	387.1806	lowly_expressed	lowly_expressed
ACTA2|59	16885.5132	ACTA2|59	20469.1977
lowly_expressed	lowly_expressed	ACTBL2|345651	7.3414
ACTB|60	129474.6644	ACTB|60	60653.9067
ACTG1|71	80523.1702	ACTG1|71	52018.8778
ACTG2|72	366.3924	ACTG2|72	3853.1725
ACTL6A|86	1103.9411	ACTL6A|86	850.0262
ACTL8|81569	30.3162	lowly_expressed	lowly_expressed
ACTN1|87	12727.1546	ACTN1|87	9680.6502
ACTN2|88	5.6301	lowly_expressed	lowly_expressed
ACTN4|81	8908.8783	ACTN4|81	11886.5863
ACTR10|55860	1197.4881	ACTR10|55860	940.2202
ACTR1A|10121	3316.1542	ACTR1A|10121	2092.2916
ACTR1B|10120	1075.7904	ACTR1B|10120	1411.1169
ACTR2|10097	8934.6037	ACTR2|10097	4504.9816
ACTR3B|57180	134.6903	ACTR3B|57180	198.2171
ACTR3C|653857	66.2625	ACTR3C|653857	41.4263
ACTR3|10096	6189.6925	ACTR3|10096	2717.3571
ACTR5|79913	192.7241	ACTR5|79913	239.6434
ACTR6|64431	842.356	ACTR6|64431	525.957
ACTR8|93973	520.5717	ACTR8|93973	562.6639
ACVR1B|91	951.9272	ACVR1B|91	1224.9607
ACVR1C|130399	8.2287	ACVR1C|130399	703.7231
ACVR1|90	1458.207	ACVR1|90	1263.2407
ACVR2A|92	493.7202	ACVR2A|92	708.967
ACVR2B|93	285.838	ACVR2B|93	679.6015
ACVRL1|94	849.2854	ACVRL1|94	876.7698
ACY1|95	704.9892	ACY1|95	533.2984
lowly_expressed	lowly_expressed	ACY3|91703	9.4389
ACYP1|97	51.5375	ACYP1|97	44.0482
ACYP2|98	106.5396	ACYP2|98	119.0351
ADAL|161823	153.7462	ADAL|161823	190.8757
ADAM10|102	2982.2434	ADAM10|102	2063.4504
ADAM11|4185	6.0632	ADAM11|4185	27.7923
ADAM12|8038	4472.0658	ADAM12|8038	1246.9848
ADAM15|8751	7395.4569	ADAM15|8751	2643.5553
ADAM17|6868	1030.7492	ADAM17|6868	995.2805
ADAM19|8728	1473.7982	ADAM19|8728	137.913
lowly_expressed	lowly_expressed	ADAM20|8748	5.7682
lowly_expressed	lowly_expressed	ADAM21P1|145241	6.2926
lowly_expressed	lowly_expressed	ADAM21|8747	9.4389
ADAM22|53616	177.133	ADAM22|53616	113.7913
ADAM23|8745	75.3573	ADAM23|8745	25.1704
ADAM28|10863	93.547	ADAM28|10863	90.194
lowly_expressed	lowly_expressed	ADAM32|203102	29.3655
ADAM33|80332	93.2308	ADAM33|80332	572.2653
ADAM6|8755	22595.2923	ADAM6|8755	33723.3561
ADAM8|101	194.0234	ADAM8|101	84.9502
ADAM9|8754	2103.508	ADAM9|8754	1692.7111
ADAMDEC1|27299	90.0823	ADAMDEC1|27299	6.817
ADAMTS10|81794	203.9844	ADAMTS10|81794	172.5223
ADAMTS12|81792	1070.1602	ADAMTS12|81792	201.3634
ADAMTS13|11093	35.0801	ADAMTS13|11093	105.9255
ADAMTS14|140766	181.0307	ADAMTS14|140766	19.9266
ADAMTS15|170689	64.9632	ADAMTS15|170689	590.9806
ADAMTS16|170690	263.3175	ADAMTS16|170690	37.2313
ADAMTS17|170691	52.4036	ADAMTS17|170691	40.9019
ADAMTS18|170692	10.3941	ADAMTS18|170692	75.5113
lowly_expressed	lowly_expressed	ADAMTS19|171019	10.4877
ADAMTS1|9510	1430.0563	ADAMTS1|9510	4142.108
ADAMTS2|9509	966.2191	ADAMTS2|9509	550.0787
ADAMTS3|9508	152.0139	ADAMTS3|9508	102.7792
ADAMTS4|9507	1117.7999	ADAMTS4|9507	207.656
ADAMTS5|11096	683.8458	ADAMTS5|11096	2599.3707
ADAMTS6|11174	139.4543	ADAMTS6|11174	19.9266
ADAMTS7|11173	386.7475	ADAMTS7|11173	116.4132
ADAMTS8|11095	35.5132	ADAMTS8|11095	134.7666
ADAMTS9|56999	729.3201	ADAMTS9|56999	825.3802
ADAMTSL1|92949	244.6947	ADAMTSL1|92949	380.7027
ADAMTSL2|9719	290.1689	ADAMTSL2|9719	51.3896
ADAMTSL3|57188	665.223	ADAMTSL3|57188	328.7887
ADAMTSL4|54507	117.7999	ADAMTSL4|54507	564.7614
ADAMTSL5|339366	27.2845	ADAMTSL5|339366	61.8773
ADAP1|11033	49.3374	ADAP1|11033	115.0813
ADAP2|55803	203.1182	ADAP2|55803	155.2176
ADARB1|104	776.9597	ADARB1|104	987.4148
ADAR|103	11724.123	ADAR|103	7756.1615
ADAT1|23536	482.893	ADAT1|23536	449.9213
ADAT2|134637	122.1308	ADAT2|134637	200.3146
ADAT3|113179	28.5838	ADAT3|113179	29.3655
ADA|100	161.1087	ADA|100	42.9995
ADCK1|57143	324.8159	ADCK1|57143	175.1442
ADCK2|90956	519.7055	ADCK2|90956	602.517
ADCK4|79934	343.4387	ADCK4|79934	486.6282
ADCK5|203054	183.6293	ADCK5|203054	105.4012
ADCY1|107	235.1667	ADCY1|107	1510.2255
ADCY2|108	320.4851	ADCY2|108	68.1699
ADCY3|109	919.2161	ADCY3|109	1510.021
ADCY4|196883	209.1815	ADCY4|196883	506.5548
ADCY5|111	61.4985	ADCY5|111	393.8123
ADCY6|112	1233.8675	ADCY6|112	2899.8427
ADCY7|113	697.2715	ADCY7|113	485.0551
ADCY9|115	764.4002	ADCY9|115	949.6592
ADCYAP1R1|117	19.489	ADCYAP1R1|117	72.365
lowly_expressed	lowly_expressed	ADCYAP1|116	5.2438
ADC|113451	129.0602	ADC|113451	137.3886
ADD1|118	3917.2802	ADD1|118	6282.1185
ADD2|119	67.5617	ADD2|119	91.7672
