gene_id	TCGA-BH-A208-01A-11R-A157-07	gene_id	TCGA-BH-A208-11A-51R-A157-07
lowly_expressed	lowly_expressed	?|100133144	5.9342
lowly_expressed	lowly_expressed	?|100134869	6.8413
?|10357	153.0319	?|10357	92.5812
?|10431	765.6607	?|10431	650.5945
?|155060	47.064	?|155060	307.2518
?|390284	6.1009	?|390284	6.3878
?|57714	442.314	?|57714	683.8109
lowly_expressed	lowly_expressed	?|645851	14.6919
?|653553	455.3873	?|653553	57.8093
lowly_expressed	lowly_expressed	?|728603	6.3878
?|729884	117.2241	?|729884	15.3307
?|8225	203.9438	?|8225	355.7989
lowly_expressed	lowly_expressed	?|90288	14.3725
A1BG|1	85.9614	A1BG|1	70.6807
A2LD1|87769	64.7216	A2LD1|87769	87.7201
A2ML1|144568	2151.4326	A2ML1|144568	9.5817
A2M|2	45900.8345	A2M|2	21036.7672
A4GALT|53947	288.4846	A4GALT|53947	153.6259
AAAS|8086	532.0841	AAAS|8086	618.6556
AACS|65985	1403.203	AACS|65985	1254.2389
AADAC|13	71.0317	AADAC|13	7.6653
AADAT|51166	80.183	AADAT|51166	127.436
AAGAB|79719	917.3113	AAGAB|79719	921.1166
AAK1|22848	1203.1812	AAK1|22848	889.1778
AAMP|14	1730.4717	AAMP|14	2049.8358
AARS2|57505	405.2511	AARS2|57505	434.0331
AARSD1|80755	453.6442	AARSD1|80755	564.3596
AARS|16	2416.821	AARS|16	2537.2227
AASDHPPT|60496	1201.4381	AASDHPPT|60496	884.0675
AASDH|132949	255.3655	AASDH|132949	534.3371
AASS|10157	339.9063	AASS|10157	747.3692
AATF|26574	842.7933	AATF|26574	1134.1488
AATK|9625	18.3026	AATK|9625	54.3184
ABAT|18	264.9526	ABAT|18	686.6854
ABCA10|10349	43.142	ABCA10|10349	362.1866
ABCA11P|79963	134.3458	ABCA11P|79963	148.8766
ABCA12|26154	59.2657	ABCA12|26154	29.7031
lowly_expressed	lowly_expressed	ABCA13|154664	151.3902
ABCA17P|650655	13.0733	ABCA17P|650655	10.5398
ABCA1|19	1428.892	ABCA1|19	1269.2278
ABCA2|20	637.1064	ABCA2|20	1161.9356
ABCA3|21	485.4559	ABCA3|21	1456.7312
ABCA4|24	19.1742	ABCA4|24	138.6146
ABCA5|23461	165.5954	ABCA5|23461	1171.8366
ABCA6|23460	380.4336	ABCA6|23460	586.7168
ABCA7|10347	138.5772	ABCA7|10347	237.9445
ABCA8|10351	338.1632	ABCA8|10351	972.2188
ABCA9|10350	257.9802	ABCA9|10350	749.605
ABCB10|23456	243.1637	ABCB10|23456	388.0571
ABCB1|5243	161.2376	ABCB1|5243	509.7441
ABCB4|5244	91.949	ABCB4|5244	10.8592
ABCB5|340273	26.5824	ABCB5|340273	289.366
ABCB6|10058	393.1844	ABCB6|10058	438.38
ABCB7|22	402.6582	ABCB7|22	659.5374
ABCB8|11194	534.6988	ABCB8|11194	229.9598
ABCB9|23457	79.0849	ABCB9|23457	117.0495
ABCC10|89845	674.5833	ABCC10|89845	388.0571
ABCC11|85320	210.9162	ABCC11|85320	108.2727
ABCC1|4363	1199.2592	ABCC1|4363	1236.0337
ABCC2|1244	6.9724	ABCC2|1244	18.5245
ABCC3|8714	413.9885	ABCC3|8714	443.3113
ABCC4|10257	416.6031	ABCC4|10257	88.1512
ABCC5|10057	565.2032	ABCC5|10057	984.0362
ABCC6P2|730013	6.1009	ABCC6P2|730013	20.4409
ABCC6|368	11.766	ABCC6|368	61.642
lowly_expressed	lowly_expressed	ABCC8|6833	127.7554
ABCC9|10060	1088.136	ABCC9|10060	373.3652
ABCD1|215	304.1726	ABCD1|215	146.9187
ABCD2|225	11.766	ABCD2|225	111.4666
ABCD3|5825	1121.255	ABCD3|5825	1876.0884
ABCD4|5826	517.7035	ABCD4|5826	606.8383
ABCE1|6059	1344.373	ABCE1|6059	2363.4754
ABCF1|23	1890.8378	ABCF1|23	1428.9444
ABCF2|10061	1257.2176	ABCF2|10061	1090.0732
ABCF3|55324	832.3347	ABCF3|55324	786.654
ABCG1|9619	830.5916	ABCG1|9619	444.5889
ABCG2|9429	162.5449	ABCG2|9429	220.6975
ABCG4|64137	7.844	lowly_expressed	lowly_expressed
ABHD10|55347	387.8418	ABHD10|55347	682.5334
ABHD11|83451	751.2801	ABHD11|83451	672.3129
ABHD12|26090	2858.2634	ABHD12|26090	680.617
ABHD13|84945	576.9692	ABHD13|84945	665.6058
ABHD14A|25864	144.6781	ABHD14A|25864	177.58
ABHD14B|84836	1096.4157	ABHD14B|84836	2575.5494
ABHD15|116236	236.1913	ABHD15|116236	374.3234
lowly_expressed	lowly_expressed	ABHD1|84696	28.4256
ABHD2|11057	3840.0697	ABHD2|11057	3913.4681
ABHD3|171586	319.8606	ABHD3|171586	203.1311
ABHD4|63874	2195.8819	ABHD4|63874	681.8946
ABHD5|51099	792.2432	ABHD5|51099	973.8157
ABHD6|57406	151.6505	ABHD6|57406	126.4779
ABHD8|79575	165.1596	ABHD8|79575	158.7361
ABI1|10006	1607.1467	ABI1|10006	1859.1608
ABI2|10152	1435.0147	ABI2|10152	2424.1592
ABI3BP|25890	1117.333	ABI3BP|25890	1167.3652
ABI3|51225	230.0904	ABI3|51225	70.5849
ABL1|25	2716.2	ABL1|25	3176.958
ABL2|27	1563.1332	ABL2|27	1190.3612
ABLIM1|3983	6250.7898	ABLIM1|3983	5970.3304
ABLIM2|84448	17.4311	ABLIM2|84448	44.395
ABLIM3|22885	159.9303	ABLIM3|22885	841.5889
lowly_expressed	lowly_expressed	ABO|28	23.3154
ABR|29	1554.8535	ABR|29	1819.2373
ABT1|29777	748.6654	ABT1|29777	583.5229
ABTB1|80325	240.9849	ABTB1|80325	521.5615
ABTB2|25841	139.4487	ABTB2|25841	170.2341
ACAA1|30	1167.8832	ACAA1|30	1006.3934
ACAA2|10449	1697.7884	ACAA2|10449	1713.839
ACACA|31	1244.1442	ACACA|31	1977.0152
ACACB|32	250.572	ACACB|32	2883.7593
ACAD10|80724	252.7508	ACAD10|80724	661.1343
ACAD11|84129	240.9849	ACAD11|84129	518.6615
ACAD8|27034	700.2941	ACAD8|27034	694.9895
ACAD9|28976	696.8036	ACAD9|28976	801.8026
ACADL|33	22.2246	ACADL|33	59.4063
ACADM|34	1789.7374	ACADM|34	1238.9082
ACADSB|36	502.887	ACADSB|36	2761.1141
ACADS|35	138.1414	ACADS|35	452.5736
ACADVL|37	2551.912	ACADVL|37	5483.8729
ACAN|176	333.8054	lowly_expressed	lowly_expressed
ACAP1|9744	32.6833	ACAP1|9744	79.8471
ACAP2|23527	1157.4246	ACAP2|23527	1544.5631
ACAP3|116983	380.8737	ACAP3|116983	385.617
ACAT1|38	761.7388	ACAT1|38	1261.9042
ACAT2|39	599.8606	ACAT2|39	375.0772
ACBD3|64746	1522.6059	ACBD3|64746	1645.8093
ACBD4|79777	69.7244	ACBD4|79777	335.6774
ACBD5|91452	383.0483	ACBD5|91452	861.7103
ACBD6|84320	369.1034	ACBD6|84320	453.2124
ACBD7|414149	10.4587	ACBD7|414149	68.0298
ACCN2|41	164.288	ACCN2|41	507.5084
lowly_expressed	lowly_expressed	ACCN3|9311	5.1102
ACCS|84680	64.9308	ACCS|84680	405.3041
ACD|65057	263.2095	ACD|65057	303.0997
ACE2|59272	1091.6222	ACE2|59272	17.247
ACER2|340485	44.0135	ACER2|340485	222.6138
ACER3|55331	556.0519	ACER3|55331	332.1641
ACE|1636	1074.1911	ACE|1636	317.7916
lowly_expressed	lowly_expressed	ACHE|43	23.6348
ACIN1|22985	2134.0015	ACIN1|22985	3585.1366
ACLY|47	3497.113	ACLY|47	2843.5164
ACN9|57001	132.9121	ACN9|57001	129.6718
ACO1|48	1300.7953	ACO1|48	1397.325
ACO2|50	3280.5011	ACO2|50	2118.4468
ACOT11|26027	13.0733	ACOT11|26027	27.9401
ACOT13|55856	1301.6974	ACOT13|55856	441.098
ACOT1|641371	347.3145	ACOT1|641371	411.6919
ACOT2|10965	167.7743	ACOT2|10965	286.8109
ACOT4|122970	98.4857	ACOT4|122970	81.7635
ACOT7|11332	783.0918	ACOT7|11332	192.5913
ACOT8|10005	286.4844	ACOT8|10005	197.4332
ACOT9|23597	883.7564	ACOT9|23597	388.3765
ACOX1|51	1450.4412	ACOX1|51	1333.7666
ACOX2|8309	97.1783	ACOX2|8309	196.424
ACOX3|8310	357.7732	ACOX3|8310	889.4971
ACP1|52	1531.3215	ACP1|52	1527.9549
ACP2|53	1149.5806	ACP2|53	476.8471
ACP5|54	675.0191	ACP5|54	514.535
ACP6|51205	168.21	ACP6|51205	389.3347
ACPL2|92370	644.0789	ACPL2|92370	516.7707
ACPP|55	39.6557	ACPP|55	19.4827
ACRBP|84519	15.688	ACRBP|84519	15.65
ACRC|93953	13.5091	ACRC|93953	15.3307
lowly_expressed	lowly_expressed	ACR|49	9.901
ACSBG1|23205	13.9449	ACSBG1|23205	13.4143
ACSF2|80221	690.707	ACSF2|80221	648.0394
ACSF3|197322	161.2376	ACSF3|197322	361.8672
ACSL1|2180	2171.4784	ACSL1|2180	4789.2315
ACSL3|2181	2466.9354	ACSL3|2181	3775.4922
ACSL4|2182	1391.0012	ACSL4|2182	1175.6693
ACSL5|51703	624.0331	ACSL5|51703	863.9461
lowly_expressed	lowly_expressed	ACSL6|23305	9.2623
ACSM1|116285	6.5367	ACSM1|116285	65.1553
ACSM3|6296	50.1885	ACSM3|6296	149.0203
ACSM5|54988	24.8393	ACSM5|54988	80.1665
ACSS1|84532	581.7627	ACSS1|84532	963.5953
ACSS2|55902	758.2525	ACSS2|55902	1616.4255
ACSS3|79611	212.2236	ACSS3|79611	312.362
ACTA2|59	50510.4696	ACTA2|59	30150.8424
ACTBL2|345651	8.2798	ACTBL2|345651	10.2204
ACTB|60	178153.6115	ACTB|60	63081.1574
ACTG1|71	88644.9504	ACTG1|71	53465.6454
ACTG2|72	1286.8504	ACTG2|72	6372.76
ACTL6A|86	2051.6396	ACTL6A|86	834.8817
ACTL8|81569	41.8346	lowly_expressed	lowly_expressed
ACTN1|87	12880.706	ACTN1|87	8194.8717
lowly_expressed	lowly_expressed	ACTN2|88	11.8174
ACTN4|81	20031.7812	ACTN4|81	10551.9785
ACTR10|55860	1312.1255	ACTR10|55860	1092.9477
ACTR1A|10121	3850.9642	ACTR1A|10121	1460.8833
ACTR1B|10120	839.7429	ACTR1B|10120	1477.1721
ACTR2|10097	9030.6134	ACTR2|10097	3968.0835
ACTR3B|57180	112.4305	ACTR3B|57180	447.7828
ACTR3C|653857	57.5226	ACTR3C|653857	57.1706
ACTR3|10096	6932.7813	ACTR3|10096	2631.7618
ACTR5|79913	223.9895	ACTR5|79913	197.3821
ACTR6|64431	510.731	ACTR6|64431	710.6396
ACTR8|93973	358.6447	ACTR8|93973	457.045
ACVR1B|91	1112.9753	ACVR1B|91	1544.2437
ACVR1C|130399	13.0733	ACVR1C|130399	630.473
ACVR1|90	2431.6374	ACVR1|90	1343.0289
ACVR2A|92	841.9218	ACVR2A|92	674.868
ACVR2B|93	217.0171	ACVR2B|93	407.2204
ACVRL1|94	1060.682	ACVRL1|94	509.7441
ACY1|95	346.0072	ACY1|95	661.1343
ACY3|91703	22142.2813	ACY3|91703	22.6766
ACYP1|97	44.0135	ACYP1|97	71.543
ACYP2|98	99.793	ACYP2|98	182.6903
ADAL|161823	141.6276	ADAL|161823	222.9332
ADAM10|102	1767.9486	ADAM10|102	2275.6435
ADAM11|4185	6.1009	ADAM11|4185	32.897
ADAM12|8038	15955.1149	ADAM12|8038	1350.0555
ADAM15|8751	3612.1582	ADAM15|8751	1472.4036
ADAM17|6868	809.6743	ADAM17|6868	954.9718
ADAM19|8728	1347.4235	ADAM19|8728	114.3411
ADAM21|8747	5.6651	lowly_expressed	lowly_expressed
ADAM22|53616	215.7098	ADAM22|53616	56.2124
ADAM23|8745	135.091	ADAM23|8745	10.2204
ADAM28|10863	77.5684	ADAM28|10863	87.1931
ADAM29|11086	8.2798	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM32|203102	52.0603
ADAM33|80332	269.3104	ADAM33|80332	699.4929
ADAM6|8755	102851.8357	ADAM6|8755	95855.1733
ADAM8|101	57.0868	ADAM8|101	49.1858
ADAM9|8754	2331.8444	ADAM9|8754	1547.757
ADAMDEC1|27299	34.8622	lowly_expressed	lowly_expressed
ADAMTS10|81794	212.6593	ADAMTS10|81794	99.3298
ADAMTS12|81792	2507.4627	ADAMTS12|81792	205.0475
ADAMTS13|11093	12.6375	ADAMTS13|11093	109.8697
ADAMTS14|140766	219.6318	ADAMTS14|140766	7.9847
ADAMTS15|170689	11.3302	ADAMTS15|170689	205.3668
ADAMTS16|170690	876.3482	ADAMTS16|170690	149.7932
ADAMTS17|170691	147.2927	ADAMTS17|170691	29.0644
ADAMTS18|170692	39.6557	ADAMTS18|170692	115.2993
lowly_expressed	lowly_expressed	ADAMTS19|171019	5.4296
ADAMTS1|9510	1812.8336	ADAMTS1|9510	4312.7038
ADAMTS2|9509	2650.3976	ADAMTS2|9509	279.7844
ADAMTS3|9508	115.481	ADAMTS3|9508	58.7675
ADAMTS4|9507	862.4033	ADAMTS4|9507	506.2309
ADAMTS5|11096	1184.007	ADAMTS5|11096	2413.3
ADAMTS6|11174	166.9027	ADAMTS6|11174	9.2623
ADAMTS7|11173	504.1944	ADAMTS7|11173	56.5318
ADAMTS8|11095	9.5871	ADAMTS8|11095	336.3162
ADAMTS9|56999	675.0191	ADAMTS9|56999	516.7707
ADAMTSL1|92949	587.4278	ADAMTSL1|92949	127.7554
ADAMTSL2|9719	215.7098	ADAMTSL2|9719	12.7755
ADAMTSL3|57188	665.432	ADAMTSL3|57188	177.2607
ADAMTSL4|54507	168.21	ADAMTSL4|54507	419.3572
