gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
?|100133144	53.9971	?|100133144	11.3696
?|100134869	40.2536	?|100134869	9.2683
?|10357	67.6206	?|10357	96.1976
?|10431	1059.7207	?|10431	482.1764
?|155060	465.0844	?|155060	182.6141
lowly_expressed	lowly_expressed	?|390284	8.1301
?|57714	312.9123	?|57714	717.3233
?|645851	7.8828	?|645851	6.2539
lowly_expressed	lowly_expressed	?|652919	60.6191
?|653553	34.273	?|653553	243.9024
?|8225	351.6408	?|8225	492.1826
?|90288	21.592	?|90288	29.3934
A1BG|1	148.8784	A1BG|1	52.4015
A2LD1|87769	29.0121	A2LD1|87769	107.6048
A2ML1|144568	3104.4469	A2ML1|144568	252.0325
A2M|2	9925.518	A2M|2	33467.6235
A4GALT|53947	49.6958	A4GALT|53947	742.339
AAAS|8086	331.077	AAAS|8086	547.217
AACS|65985	1291.0633	AACS|65985	1094.434
lowly_expressed	lowly_expressed	AADACL2|344752	5.0031
lowly_expressed	lowly_expressed	AADAC|13	303.3146
AADAT|51166	114.4718	AADAT|51166	88.1801
AAGAB|79719	919.5442	AAGAB|79719	577.8612
AAK1|22848	1342.1301	AAK1|22848	1219.5122
AAMP|14	1679.3762	AAMP|14	1776.1101
AARS2|57505	768.6608	AARS2|57505	355.2158
AARSD1|80755	208.7225	AARSD1|80755	532.833
AARS|16	2812.0984	AARS|16	3010.6316
AASDHPPT|60496	708.4226	AASDHPPT|60496	570.9068
AASDH|132949	549.7387	AASDH|132949	310.8193
AASS|10157	38.043	AASS|10157	673.546
AATF|26574	795.8187	AATF|26574	925.5785
AATK|9625	28.8099	AATK|9625	108.818
ABAT|18	128.5237	ABAT|18	242.6517
ABCA10|10349	5.8264	ABCA10|10349	437.7736
ABCA11P|79963	372.7221	ABCA11P|79963	118.1488
lowly_expressed	lowly_expressed	ABCA12|26154	8.1301
ABCA13|154664	56.2077	ABCA13|154664	21.2633
ABCA17P|650655	12.3383	lowly_expressed	lowly_expressed
ABCA1|19	1161.4806	ABCA1|19	3018.6429
ABCA2|20	2082.4265	ABCA2|20	1930.5816
ABCA3|21	1618.3703	ABCA3|21	1361.4759
ABCA4|24	429.4405	ABCA4|24	45.6535
ABCA5|23461	225.1735	ABCA5|23461	631.6448
ABCA6|23460	5.8264	ABCA6|23460	1592.8705
ABCA7|10347	109.6735	ABCA7|10347	231.3946
lowly_expressed	lowly_expressed	ABCA8|10351	7626.6417
ABCA9|10350	6.8546	ABCA9|10350	2347.7173
ABCB10|23456	541.1704	ABCB10|23456	417.7611
