gene_id	TCGA-E2-A15A-01A-11R-A12D-07	gene_id	TCGA-E2-A15A-06A-11R-A12D-07
?|100133144	11.9235	?|100133144	5.7321
?|100134869	8.5515	?|100134869	10.089
?|10357	110.8406	?|10357	82.0385
?|10431	1027.5934	?|10431	802.9208
?|155060	209.5497	?|155060	241.8803
?|390284	11.8372	?|390284	13.6913
?|57714	1689.1946	?|57714	700.9964
?|645851	8.6379	?|645851	10.0403
lowly_expressed	lowly_expressed	?|652919	28.1433
?|653553	922.9785	?|653553	690.6519
lowly_expressed	lowly_expressed	?|729884	23.1231
?|8225	512.1971	?|8225	665.7032
?|90288	10.8774	?|90288	25.5572
A1BG|1	114.8108	A1BG|1	72.6432
A2LD1|87769	91.626	A2LD1|87769	99.5999
A2ML1|144568	7.6782	A2ML1|144568	5.1723
A2M|2	11533.216	A2M|2	10256.2836
A4GALT|53947	1033.9918	A4GALT|53947	1075.2263
AAAS|8086	732.6242	AAAS|8086	732.9429
AACS|65985	1979.6849	AACS|65985	1187.7995
AADAT|51166	89.5785	AADAT|51166	177.9874
AAGAB|79719	2880.5887	AAGAB|79719	2986.8411
AAK1|22848	899.6241	AAK1|22848	928.5769
AAMP|14	2671.039	AAMP|14	2672.5489
AARS2|57505	418.45	AARS2|57505	393.3551
AARSD1|80755	370.1512	AARSD1|80755	397.9615
AARS|16	5507.1583	AARS|16	5264.471
AASDHPPT|60496	831.4804	AASDHPPT|60496	822.6972
AASDH|132949	357.9941	AASDH|132949	451.2056
AASS|10157	74.862	AASS|10157	89.7543
AATF|26574	1471.007	AATF|26574	1471.3623
AATK|9625	15.9962	AATK|9625	22.2104
ABAT|18	1556.4265	ABAT|18	331.3303
lowly_expressed	lowly_expressed	ABCA10|10349	8.8233
ABCA11P|79963	144.1734	ABCA11P|79963	107.5165
ABCA12|26154	478.6051	ABCA12|26154	202.3275
ABCA13|154664	99.816	ABCA13|154664	429.6037
ABCA17P|650655	13.1169	ABCA17P|650655	10.3446
ABCA1|19	892.573	ABCA1|19	648.9693
ABCA2|20	1742.6218	ABCA2|20	1793.2608
ABCA3|21	2123.6503	ABCA3|21	1546.5125
ABCA4|24	28.7931	lowly_expressed	lowly_expressed
ABCA5|23461	222.9865	ABCA5|23461	453.0311
ABCA6|23460	117.7317	ABCA6|23460	74.5417
ABCA7|10347	159.3218	ABCA7|10347	280.216
ABCA8|10351	11.8372	ABCA8|10351	24.3402
ABCA9|10350	82.8601	ABCA9|10350	74.2375
ABCB10|23456	779.333	ABCB10|23456	728.0748
ABCB1|5243	56.9463	ABCB1|5243	90.0586
ABCB4|5244	17.2759	ABCB4|5244	34.3805
ABCB6|10058	1134.3869	ABCB6|10058	702.8219
ABCB7|22	398.6243	ABCB7|22	551.0002
ABCB8|11194	818.0437	ABCB8|11194	667.833
ABCB9|23457	257.4262	ABCB9|23457	249.5109
ABCC10|89845	545.1492	ABCC10|89845	485.5861
ABCC11|85320	332.4002	ABCC11|85320	21.6019
ABCC12|94160	5.4387	lowly_expressed	lowly_expressed
ABCC13|150000	126.0497	ABCC13|150000	6.9978
ABCC1|4363	1534.9916	ABCC1|4363	1312.847
ABCC2|1244	7.3582	ABCC2|1244	6.085
ABCC3|8714	270.3351	ABCC3|8714	323.724
ABCC4|10257	107.8141	ABCC4|10257	139.9559
ABCC5|10057	2930.8166	ABCC5|10057	2278.2384
ABCC6|368	5.4387	lowly_expressed	lowly_expressed
ABCC8|6833	177.8773	ABCC8|6833	142.6942
ABCC9|10060	207.6302	ABCC9|10060	207.1956
ABCD1|215	501.9595	ABCD1|215	339.5451
ABCD2|225	16.636	ABCD2|225	46.8548
ABCD3|5825	2033.432	ABCD3|5825	1394.6908
ABCD4|5826	274.4941	ABCD4|5826	339.2409
