gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
?|100133144	6.9534	?|100133144	6.4896
?|10357	124.3826	?|10357	89.7062
?|10431	894.7368	?|10431	951.0358
?|155060	278.3401	?|155060	329.5669
lowly_expressed	lowly_expressed	?|390284	13.5593
?|57714	772.2672	?|57714	796.9868
?|645851	10.6275	?|645851	9.7928
?|652919	25.8097	lowly_expressed	lowly_expressed
?|653553	279.3522	?|653553	483.2392
?|729884	72.3684	lowly_expressed	lowly_expressed
?|8225	495.9514	?|8225	635.4049
?|90288	24.2915	?|90288	34.275
A1BG|1	106.7966	A1BG|1	135.5066
A2LD1|87769	72.8897	A2LD1|87769	124.4896
A2ML1|144568	5.0607	A2ML1|144568	17.3258
A2M|2	23707.4241	A2M|2	4925.3409
A4GALT|53947	79.9595	A4GALT|53947	154.049
AAAS|8086	840.587	AAAS|8086	1530.3202
AACS|65985	4733.2996	AACS|65985	1346.516
AADAC|13	8.6032	lowly_expressed	lowly_expressed
AADAT|51166	82.996	lowly_expressed	lowly_expressed
AAGAB|79719	1817.3077	AAGAB|79719	2356.3089
AAK1|22848	984.8178	AAK1|22848	746.1394
AAMP|14	2038.9676	AAMP|14	1532.9567
AARS2|57505	508.5729	AARS2|57505	347.9849
AARSD1|80755	489.8785	AARSD1|80755	461.7702
AARS|16	2902.834	AARS|16	2207.1563
AASDHPPT|60496	928.1377	AASDHPPT|60496	897.1751
AASDH|132949	476.2146	AASDH|132949	566.855
AASS|10157	292.5101	AASS|10157	87.0056
AATF|26574	1028.3401	AATF|26574	1051.2241
AATK|9625	98.1781	AATK|9625	24.4821
ABAT|18	2678.6437	ABAT|18	7104.3315
ABCA10|10349	72.8745	ABCA10|10349	11.6761
ABCA11P|79963	129.2915	ABCA11P|79963	109.1525
ABCA12|26154	936.2348	ABCA12|26154	136.7232
ABCA17P|650655	8.0972	ABCA17P|650655	17.3258
ABCA1|19	1289.9696	ABCA1|19	1272.6478
ABCA2|20	2023.7854	ABCA2|20	1058.3804
ABCA3|21	4918.5223	ABCA3|21	11603.3898
ABCA4|24	44.0283	ABCA4|24	58.0038
ABCA5|23461	509.1093	ABCA5|23461	260.6403
ABCA6|23460	114.3725	ABCA6|23460	35.4049
ABCA7|10347	229.7571	ABCA7|10347	263.6535
ABCA8|10351	295.0405	ABCA8|10351	20.339
ABCA9|10350	188.7652	ABCA9|10350	29.0019
ABCB10|23456	666.498	ABCB10|23456	786.8173
ABCB1|5243	250	ABCB1|5243	48.5876
ABCB4|5244	12.1457	ABCB4|5244	35.0282
ABCB5|340273	16.1943	lowly_expressed	lowly_expressed
ABCB6|10058	605.6528	ABCB6|10058	164.6102
ABCB7|22	532.3887	ABCB7|22	717.5141
ABCB8|11194	834.0081	ABCB8|11194	1050.4708
ABCB9|23457	164.5901	ABCB9|23457	264.9303
ABCC10|89845	346.6599	ABCC10|89845	265.5367
ABCC11|85320	4794.0283	ABCC11|85320	43.3145
ABCC12|94160	32.3887	lowly_expressed	lowly_expressed
ABCC1|4363	1629.0486	ABCC1|4363	820.7156
ABCC2|1244	259.1093	ABCC2|1244	12.4294
ABCC3|8714	627.5304	ABCC3|8714	125.8004
ABCC4|10257	400.8097	ABCC4|10257	65.5367
ABCC5|10057	2211.5385	ABCC5|10057	2588.3239
ABCC6P1|653190	9.1093	ABCC6P1|653190	6.7797
ABCC6P2|730013	21.2551	ABCC6P2|730013	15.4426
ABCC6|368	128.0364	ABCC6|368	112.6177
ABCC8|6833	111.336	ABCC8|6833	72.3164
