gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
?|100133144	15.4051	lowly_expressed	lowly_expressed
?|100134869	8.6157	?|100134869	6.5309
?|10357	104.3632	?|10357	97.5649
?|10431	547.5324	?|10431	586.0279
?|155060	410.1195	?|155060	111.2442
lowly_expressed	lowly_expressed	?|390284	5.3227
?|57714	1191.8545	?|57714	568.4631
?|645851	25.4338	?|645851	9.0486
?|652919	13.8543	lowly_expressed	lowly_expressed
?|653553	170.9714	?|653553	105.3892
?|8225	410.826	?|8225	371.5236
?|90288	136.7065	?|90288	11.7099
A1BG|1	121.4462	A1BG|1	23.9521
A2LD1|87769	88.8839	A2LD1|87769	130.7997
lowly_expressed	lowly_expressed	A2ML1|144568	7.984
A2M|2	10337.0097	A2M|2	28776.3939
A4GALT|53947	77.0078	A4GALT|53947	204.3912
AAAS|8086	708.613	AAAS|8086	554.6241
AACS|65985	890.1818	AACS|65985	1345.5755
lowly_expressed	lowly_expressed	AADACL2|344752	10.1131
lowly_expressed	lowly_expressed	AADAC|13	96.8729
AADAT|51166	20.8416	AADAT|51166	105.3892
AAGAB|79719	1724.1973	AAGAB|79719	489.6873
AAK1|22848	1761.2882	AAK1|22848	1322.688
AAMP|14	1865.496	AAMP|14	1480.2395
AARS2|57505	463.0394	AARS2|57505	283.167
AARSD1|80755	374.4415	AARSD1|80755	383.7658
AARS|16	1146.6389	AARS|16	2217.9641
AASDHPPT|60496	1099.3038	AASDHPPT|60496	988.9554
AASDH|132949	486.4208	AASDH|132949	425.2828
AASS|10157	748.8831	AASS|10157	1421.69
AATF|26574	979.9064	AATF|26574	781.3706
AATK|9625	16.2493	AATK|9625	15.4358
ABAT|18	4379.1998	ABAT|18	359.2814
ABCA10|10349	46.9818	ABCA10|10349	673.682
ABCA11P|79963	111.6366	ABCA11P|79963	114.4963
ABCA12|26154	582.5039	ABCA12|26154	9.0486
lowly_expressed	lowly_expressed	ABCA13|154664	7.984
ABCA17P|650655	10.2442	ABCA17P|650655	5.855
ABCA1|19	1426.0323	ABCA1|19	6354.0439
ABCA2|20	1668.3843	ABCA2|20	962.342
ABCA3|21	2144.5609	ABCA3|21	1289.155
ABCA4|24	358.8987	ABCA4|24	46.3074
ABCA5|23461	324.2805	ABCA5|23461	1467.6354
ABCA6|23460	156.4883	ABCA6|23460	2112.0426
ABCA7|10347	459.2208	lowly_expressed	lowly_expressed
ABCA8|10351	160.7273	ABCA8|10351	5150.7651
ABCA9|10350	137.413	ABCA9|10350	4145.3094
ABCB10|23456	501.6104	ABCB10|23456	696.7399
lowly_expressed	lowly_expressed	ABCB11|8647	68.6627
ABCB1|5243	119.7506	ABCB1|5243	217.1657
ABCB4|5244	58.2857	ABCB4|5244	47.9042
ABCB5|340273	5.2987	ABCB5|340273	152.2289
ABCB6|10058	253.5181	ABCB6|10058	583.6381
ABCB7|22	681.413	ABCB7|22	1012.9075
ABCB8|11194	776.0831	ABCB8|11194	201.1976
ABCB9|23457	348.22	ABCB9|23457	79.4358
ABCC10|89845	365.9636	ABCC10|89845	239.521
ABCC11|85320	501.2571	ABCC11|85320	77.179
ABCC1|4363	1029.361	ABCC1|4363	613.1737
ABCC2|1244	7.7714	ABCC2|1244	11.7099
ABCC3|8714	247.2727	ABCC3|8714	139.4544
ABCC4|10257	134.587	ABCC4|10257	84.6307
ABCC5|10057	6976.623	ABCC5|10057	516.833
