gene_id	TCGA-E2-A15K-06A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
?|100133144	5.3991	lowly_expressed	lowly_expressed
?|10357	78.0802	?|10357	79.7882
?|10431	874.0317	?|10431	843.0429
?|155060	368.4742	?|155060	146.8464
lowly_expressed	lowly_expressed	?|390284	8.1849
?|57714	372.1792	?|57714	100.1444
?|645851	8.7572	lowly_expressed	lowly_expressed
?|653553	291.6807	?|653553	857.0053
?|8225	432.4688	?|8225	823.3028
?|90288	228.6965	?|90288	19.2585
A1BG|1	243.6948	A1BG|1	229.7737
A2LD1|87769	13.5669	A2LD1|87769	69.8074
lowly_expressed	lowly_expressed	A2ML1|144568	11.0737
A2M|2	4962.2735	A2M|2	41819.7304
A4GALT|53947	37.0495	A4GALT|53947	1610.0144
AAAS|8086	960.256	AAAS|8086	826.6731
AACS|65985	826.8777	AACS|65985	856.0424
lowly_expressed	lowly_expressed	AADACL2|344752	8.1849
lowly_expressed	lowly_expressed	AADAT|51166	38.5171
AAGAB|79719	2204.7828	AAGAB|79719	860.3755
AAK1|22848	994.2742	AAK1|22848	815.5994
AAMP|14	2721.1182	AAMP|14	2804.5258
AARS2|57505	481.2833	AARS2|57505	419.8363
AARSD1|80755	551.0273	AARSD1|80755	611.9403
AARS|16	1479.286	AARS|16	2741.454
AASDHPPT|60496	466.1502	AASDHPPT|60496	462.2051
AASDH|132949	340.1819	AASDH|132949	228.2138
AASS|10157	111.1485	AASS|10157	261.9162
AATF|26574	1033.6814	AATF|26574	1194.0299
AATK|9625	25.261	AATK|9625	128.5508
ABAT|18	8904.3449	ABAT|18	232.5469
lowly_expressed	lowly_expressed	ABCA10|10349	265.2865
ABCA11P|79963	94.7962	ABCA11P|79963	98.4882
ABCA12|26154	703.2671	ABCA12|26154	13.481
ABCA17P|650655	7.0731	ABCA17P|650655	8.6663
ABCA1|19	143.8195	ABCA1|19	1275.8787
ABCA2|20	1464.4662	ABCA2|20	1675.975
ABCA3|21	6006.3995	ABCA3|21	1079.923
ABCA4|24	481.3068	ABCA4|24	38.9986
ABCA5|23461	193.3311	ABCA5|23461	400.5778
lowly_expressed	lowly_expressed	ABCA6|23460	669.7159
ABCA7|10347	857.8646	ABCA7|10347	443.9095
ABCA8|10351	6.3995	ABCA8|10351	1969.6678
lowly_expressed	lowly_expressed	ABCA9|10350	1004.3332
ABCB10|23456	908.3867	ABCB10|23456	214.7328
ABCB1|5243	30.6501	ABCB1|5243	190.6596
ABCB4|5244	77.804	ABCB4|5244	33.221
lowly_expressed	lowly_expressed	ABCB5|340273	62.1088
ABCB6|10058	512.6676	ABCB6|10058	546.3987
ABCB7|22	374.8737	ABCB7|22	427.5397
ABCB8|11194	1231.391	ABCB8|11194	619.6437
ABCB9|23457	642.8158	ABCB9|23457	178.6423
ABCC10|89845	324.3516	ABCC10|89845	477.6119
ABCC11|85320	1304.4796	ABCC11|85320	10.5922
ABCC12|94160	13.8094	lowly_expressed	lowly_expressed
ABCC1|4363	1263.0515	ABCC1|4363	882.5229
lowly_expressed	lowly_expressed	ABCC2|1244	9.1478
ABCC3|8714	236.1064	ABCC3|8714	861.3385
ABCC4|10257	56.5847	ABCC4|10257	120.8474
ABCC5|10057	2989.8956	ABCC5|10057	630.7174
lowly_expressed	lowly_expressed	ABCC6P1|653190	7.222
ABCC6P2|730013	20.5456	ABCC6P2|730013	29.8507
ABCC6|368	149.8821	ABCC6|368	235.9172
ABCC8|6833	171.775	ABCC8|6833	10.1107
ABCC9|10060	55.5743	ABCC9|10060	507.4627
ABCD1|215	435.1634	ABCD1|215	552.7203
lowly_expressed	lowly_expressed	ABCD2|225	57.2942
ABCD3|5825	3804.3112	ABCD3|5825	696.6779
ABCD4|5826	396.4298	ABCD4|5826	1025.999
ABCE1|6059	1042.4385	ABCE1|6059	811.2662
ABCF1|23	1620.0741	ABCF1|23	1621.5696
ABCF2|10061	1026.2715	ABCF2|10061	1163.2162
ABCF3|55324	1179.8585	ABCF3|55324	1196.9186
ABCG1|9619	1321.6571	ABCG1|9619	951.3722
ABCG2|9429	37.3863	ABCG2|9429	148.7723
lowly_expressed	lowly_expressed	ABCG4|64137	10.5922
ABHD10|55347	1566.8575	ABHD10|55347	614.3476
ABHD11|83451	704.2775	ABHD11|83451	520.9437
ABHD12|26090	2378.5786	ABHD12|26090	1385.6524
ABHD13|84945	365.4429	ABHD13|84945	379.3934
ABHD14A|25864	390.7039	ABHD14A|25864	673.5676
ABHD14B|84836	2630.1785	ABHD14B|84836	3357.246
ABHD15|116236	581.3405	ABHD15|116236	461.2422
ABHD1|84696	41.0913	ABHD1|84696	29.8507
ABHD2|11057	4798.9222	ABHD2|11057	1559.9422
ABHD3|171586	4133.7151	ABHD3|171586	144.9206
ABHD4|63874	1238.1273	ABHD4|63874	1242.1762
ABHD5|51099	701.9198	ABHD5|51099	779.0082
ABHD6|57406	135.0623	ABHD6|57406	401.5407
ABHD8|79575	274.5032	ABHD8|79575	565.7198
ABI1|10006	1224.9714	ABI1|10006	1060.0818
ABI2|10152	1098.6864	ABI2|10152	989.8893
ABI3BP|25890	75.7831	ABI3BP|25890	1687.0486
ABI3|51225	137.7568	ABI3|51225	526.7212
ABL1|25	1585.7191	ABL1|25	2967.2605
ABL2|27	632.873	ABL2|27	563.7939
ABLIM1|3983	1300.7747	ABLIM1|3983	6615.792
lowly_expressed	lowly_expressed	ABLIM2|84448	230.1396
ABLIM3|22885	1692.1522	ABLIM3|22885	2616.2735
ABO|28	87.2348	ABO|28	14.4439
lowly_expressed	lowly_expressed	ABP1|26	15.8883
ABR|29	1626.8104	ABR|29	2606.1627
ABT1|29777	542.6069	ABT1|29777	724.6028
ABTB1|80325	328.3934	ABTB1|80325	1657.6793
lowly_expressed	lowly_expressed	ABTB2|25841	100.6259
ACAA1|30	1769.9562	ACAA1|30	1684.6413
ACAA2|10449	255.9784	ACAA2|10449	2324.025
ACACA|31	2706.2984	ACACA|31	884.9302
ACACB|32	37.7231	ACACB|32	3473.7602
ACAD10|80724	475.581	ACAD10|80724	510.8329
ACAD11|84129	196.3287	ACAD11|84129	361.5792
ACAD8|27034	219.9394	ACAD8|27034	457.8719
ACAD9|28976	794.9579	ACAD9|28976	993.7362
lowly_expressed	lowly_expressed	ACADL|33	76.5527
ACADM|34	1413.2705	ACADM|34	461.2422
ACADSB|36	1965.645	ACADSB|36	404.4295
ACADS|35	852.8124	ACADS|35	1390.467
ACADVL|37	5827.5076	ACADVL|37	9759.1671
ACAN|176	16.8407	ACAN|176	13.481
ACAP1|9744	12.4621	ACAP1|9744	176.6972
ACAP2|23527	1000.3368	ACAP2|23527	629.7545
ACAP3|116983	864.9916	ACAP3|116983	743.9191
ACAT1|38	636.9148	ACAT1|38	1609.0515
ACAT2|39	495.9751	ACAT2|39	235.9846
ACBD3|64746	2993.9374	ACBD3|64746	733.7506
ACBD4|79777	417.649	ACBD4|79777	505.0554
ACBD5|91452	1042.1017	ACBD5|91452	391.4299
ACBD6|84320	476.5914	ACBD6|84320	490.13
lowly_expressed	lowly_expressed	ACBD7|414149	33.221
lowly_expressed	lowly_expressed	ACCN1|40	8.6663
ACCN2|41	328.0566	ACCN2|41	105.922
ACCN3|9311	136.4096	ACCN3|9311	12.9995
ACCS|84680	77.4672	ACCS|84680	350.5055
ACD|65057	236.7801	ACD|65057	553.2017
lowly_expressed	lowly_expressed	ACE2|59272	17.8142
ACER2|340485	284.2708	ACER2|340485	50.5537
ACER3|55331	175.8168	ACER3|55331	230.6211
ACE|1636	810.037	ACE|1636	1238.3245
lowly_expressed	lowly_expressed	ACHE|43	27.9249
ACIN1|22985	4999.6632	ACIN1|22985	3098.7
ACLY|47	4652.0714	ACLY|47	2106.8849
ACMSD|130013	25.261	lowly_expressed	lowly_expressed
ACN9|57001	13.1357	ACN9|57001	121.8103
ACO1|48	324.6884	ACO1|48	2268.1753
ACO2|50	3830.4884	ACO2|50	2376.3842
ACOT11|26027	147.1876	ACOT11|26027	57.1979
ACOT13|55856	828.7875	ACOT13|55856	558.079
ACOT1|641371	418.3227	ACOT1|641371	720.7511
ACOT2|10965	291.6807	ACOT2|10965	319.2104
ACOT4|122970	467.4975	ACOT4|122970	96.2927
lowly_expressed	lowly_expressed	ACOT6|641372	5.2961
ACOT7|11332	322.6676	ACOT7|11332	502.1666
ACOT8|10005	360.1718	ACOT8|10005	375.4983
ACOT9|23597	67.6996	ACOT9|23597	571.4974
ACOX1|51	1560.6501	ACOX1|51	1540.9244
ACOX2|8309	456.3826	ACOX2|8309	311.507
ACOX3|8310	1260.357	ACOX3|8310	549.35
ACP1|52	1641.6302	ACP1|52	983.1488
ACP2|53	2332.772	ACP2|53	1406.8368
ACP5|54	2644.9983	ACP5|54	1746.7501
ACP6|51205	197.3729	ACP6|51205	225.325
ACPL2|92370	183.5635	ACPL2|92370	227.7323
ACPP|55	42.1017	ACPP|55	21.6659
ACRBP|84519	57.2583	ACRBP|84519	21.6659
ACRC|93953	24.9242	ACRC|93953	43.8132
lowly_expressed	lowly_expressed	ACR|49	11.0737
lowly_expressed	lowly_expressed	ACSBG1|23205	18.7771
ACSF2|80221	1407.2348	ACSF2|80221	1207.0294
ACSF3|197322	243.5163	ACSF3|197322	565.2383
ACSL1|2180	70.0573	ACSL1|2180	3851.2277
ACSL3|2181	3694.1731	ACSL3|2181	1556.572
ACSL4|2182	183.2267	ACSL4|2182	860.3755
ACSL5|51703	46.4803	ACSL5|51703	943.1873
lowly_expressed	lowly_expressed	ACSL6|23305	6.259
ACSM1|116285	297.7433	ACSM1|116285	46.702
ACSM3|6296	14.9141	ACSM3|6296	61.5792
ACSM5|54988	5.7258	ACSM5|54988	175.7342
ACSS1|84532	3291.3439	ACSS1|84532	915.7439
ACSS2|55902	793.1964	ACSS2|55902	1597.9779
ACSS3|79611	222.2971	ACSS3|79611	166.105
lowly_expressed	lowly_expressed	ACTA1|58	33.7025
ACTA2|59	784.19	ACTA2|59	35353.4377
ACTB|60	61830.5827	ACTB|60	121987.4819
lowly_expressed	lowly_expressed	ACTC1|70	5.7776
ACTG1|71	47475.9178	ACTG1|71	83192.5855
ACTG2|72	15.1566	ACTG2|72	7721.714
ACTL6A|86	712.0243	ACTL6A|86	501.6851
ACTL8|81569	76.4567	lowly_expressed	lowly_expressed
ACTN1|87	2511.6201	ACTN1|87	11677.4194
lowly_expressed	lowly_expressed	ACTN2|88	5.2961
ACTN4|81	7598.3361	ACTN4|81	15974.4054
ACTR10|55860	637.9252	ACTR10|55860	1125.662
ACTR1A|10121	2372.8528	ACTR1A|10121	4030.8137
ACTR1B|10120	1130.0101	ACTR1B|10120	1968.7049
ACTR2|10097	5661.839	ACTR2|10097	2812.2292
ACTR3B|57180	141.4618	ACTR3B|57180	153.1054
ACTR3C|653857	27.6187	ACTR3C|653857	21.1844
ACTR3|10096	2449.9832	ACTR3|10096	2137.2171
ACTR5|79913	179.8585	ACTR5|79913	235.4357
ACTR6|64431	475.581	ACTR6|64431	414.5402
ACTR8|93973	433.1425	ACTR8|93973	363.5051
ACVR1B|91	1054.5638	ACVR1B|91	899.8556
ACVR1C|130399	33.0077	ACVR1C|130399	185.3635
ACVR1|90	850.1179	ACVR1|90	1038.5171
ACVR2A|92	97.676	ACVR2A|92	499.2778
ACVR2B|93	549.68	ACVR2B|93	275.8787
ACVRL1|94	265.746	ACVRL1|94	2842.5614
ACY1|95	1022.5665	ACY1|95	649.4945
ACY3|91703	22.5665	ACY3|91703	9.6293
ACYP1|97	88.2452	ACYP1|97	107.8479
ACYP2|98	116.2007	ACYP2|98	186.3264
lowly_expressed	lowly_expressed	ADAD2|161931	8.9697
ADAL|161823	240.8218	ADAL|161823	138.6615
ADAM10|102	1900.3031	ADAM10|102	746.2687
lowly_expressed	lowly_expressed	ADAM11|4185	10.5922
ADAM12|8038	101.7178	ADAM12|8038	356.7646
ADAM15|8751	4340.2223	ADAM15|8751	5273.1536
ADAM17|6868	437.8579	ADAM17|6868	373.6158
ADAM19|8728	22.9033	ADAM19|8728	154.5498
ADAM21|8747	8.4203	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM22|53616	12.9995
lowly_expressed	lowly_expressed	ADAM23|8745	33.221
ADAM28|10863	83.193	ADAM28|10863	70.2937
lowly_expressed	lowly_expressed	ADAM32|203102	26.962
ADAM33|80332	61.4651	ADAM33|80332	1001.0833
ADAM6|8755	33155.1566	ADAM6|8755	30000.1541
ADAM8|101	792.1859	ADAM8|101	170.4381
ADAM9|8754	450.32	ADAM9|8754	1027.4434
ADAMDEC1|27299	10.778	ADAMDEC1|27299	32.7395
ADAMTS10|81794	24.5874	ADAMTS10|81794	324.025
ADAMTS12|81792	18.5248	ADAMTS12|81792	66.442
ADAMTS13|11093	239.1378	ADAMTS13|11093	81.3674
lowly_expressed	lowly_expressed	ADAMTS14|140766	10.1107
ADAMTS15|170689	281.9131	ADAMTS15|170689	142.5132
lowly_expressed	lowly_expressed	ADAMTS16|170690	137.6986
lowly_expressed	lowly_expressed	ADAMTS17|170691	19.74
lowly_expressed	lowly_expressed	ADAMTS18|170692	264.805
ADAMTS1|9510	183.2267	ADAMTS1|9510	3736.1579
ADAMTS2|9509	34.0182	ADAMTS2|9509	810.7848
ADAMTS3|9508	13.1357	ADAMTS3|9508	82.8117
ADAMTS4|9507	215.5608	ADAMTS4|9507	321.6177
ADAMTS5|11096	69.3836	ADAMTS5|11096	1297.5445
lowly_expressed	lowly_expressed	ADAMTS6|11174	17.8142
ADAMTS7|11173	34.0182	ADAMTS7|11173	126.1435
lowly_expressed	lowly_expressed	ADAMTS8|11095	53.9239
ADAMTS9|56999	49.8484	ADAMTS9|56999	753.0091
ADAMTSL1|92949	5.0522	ADAMTSL1|92949	225.325
ADAMTSL2|9719	92.287	ADAMTSL2|9719	195.9557
