gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
?|100133144	13.1333	lowly_expressed	lowly_expressed
?|100134869	12.4443	?|100134869	6.2536
?|10357	116.9843	?|10357	89.5413
?|10431	887.5825	?|10431	629.0378
?|155060	74.2574	?|155060	102.5405
?|390284	8.2508	?|390284	10.1161
?|57714	1055.8993	?|57714	379.3539
?|645851	10.9323	lowly_expressed	lowly_expressed
?|652919	12.1844	?|652919	73.7602
?|653553	94.4719	?|653553	257.9607
?|729884	42.2855	lowly_expressed	lowly_expressed
?|8225	158.2096	?|8225	299.3448
?|90288	17.1205	?|90288	14.2545
A1BG|1	31.9967	A1BG|1	57.8641
A2LD1|87769	55.5342	A2LD1|87769	53.6429
A2ML1|144568	977.104	lowly_expressed	lowly_expressed
A2M|2	28112.1473	A2M|2	47027.8009
A4GALT|53947	161.3036	A4GALT|53947	538.4527
AAAS|8086	596.9472	AAAS|8086	463.9614
AACS|65985	602.5165	AACS|65985	719.6229
AADAC|13	26.1964	AADAC|13	155.88
AADAT|51166	29.2904	AADAT|51166	30.8081
AAGAB|79719	1857.0545	AAGAB|79719	971.1461
AAK1|22848	1719.6782	AAK1|22848	1129.3252
AAMP|14	1394.5957	AAMP|14	1472.3531
AARS2|57505	330.4229	AARS2|57505	297.9653
AARSD1|80755	276.8152	AARSD1|80755	348.5458
AARS|16	2307.962	AARS|16	2161.168
AASDHPPT|60496	766.7079	AASDHPPT|60496	772.0428
AASDH|132949	277.6403	AASDH|132949	379.3539
AASS|10157	290.2228	AASS|10157	555.926
AATF|26574	991.9554	AATF|26574	799.1723
AATK|9625	17.533	AATK|9625	77.2503
ABAT|18	686.0561	ABAT|18	615.703
ABCA10|10349	99.0099	ABCA10|10349	300.2644
ABCA11P|79963	128.2467	ABCA11P|79963	71.3139
ABCA12|26154	19.1832	ABCA12|26154	28.9688
ABCA1|19	2359.7195	ABCA1|19	2105.0695
ABCA2|20	569.5132	ABCA2|20	1108.1734
ABCA3|21	1219.6782	ABCA3|21	803.3107
ABCA4|24	19.1832	ABCA4|24	37.2457
ABCA5|23461	324.0512	ABCA5|23461	696.172
ABCA6|23460	673.8861	ABCA6|23460	782.6187
ABCA7|10347	132.8383	ABCA7|10347	194.5051
ABCA8|10351	1483.0858	ABCA8|10351	3313.4843
ABCA9|10350	532.1782	ABCA9|10350	1265.8926
ABCB10|23456	708.1271	ABCB10|23456	430.3943
lowly_expressed	lowly_expressed	ABCB11|8647	5.9777
ABCB1|5243	241.1304	ABCB1|5243	383.9522
ABCB4|5244	59.6122	ABCB4|5244	18.3929
ABCB5|340273	7.8383	ABCB5|340273	165.5363
ABCB6|10058	214.1605	ABCB6|10058	341.391
ABCB7|22	605.198	ABCB7|22	487.4123
ABCB8|11194	348.8036	ABCB8|11194	294.7465
ABCB9|23457	88.9026	ABCB9|23457	67.9021
ABCC10|89845	355.8168	ABCC10|89845	327.394
ABCC11|85320	600.0413	ABCC11|85320	153.121
ABCC13|150000	16.9142	lowly_expressed	lowly_expressed
ABCC1|4363	1011.3449	ABCC1|4363	1216.6916
ABCC2|1244	11.9637	ABCC2|1244	16.5536
ABCC3|8714	186.6749	ABCC3|8714	771.1231
ABCC4|10257	294.3482	ABCC4|10257	163.697
ABCC5|10057	1021.4521	ABCC5|10057	522.8187
lowly_expressed	lowly_expressed	ABCC6P1|653190	8.2768
ABCC6P2|730013	5.1568	ABCC6P2|730013	13.7947
ABCC6|368	24.7525	ABCC6|368	110.3575
ABCC8|6833	79.4142	ABCC8|6833	198.6435
ABCC9|10060	1140.6766	ABCC9|10060	993.6774
ABCD1|215	232.467	ABCD1|215	257.9607
ABCD2|225	151.4026	ABCD2|225	201.8623
ABCD3|5825	4217.203	ABCD3|5825	1531.6703
ABCD4|5826	368.1931	ABCD4|5826	690.1943
ABCE1|6059	1757.8383	ABCE1|6059	1343.1429
ABCF1|23	1663.5726	ABCF1|23	1181.2852
ABCF2|10061	1025.165	ABCF2|10061	982.6417
ABCF3|55324	759.0759	ABCF3|55324	727.8998
ABCG1|9619	1420.5858	ABCG1|9619	769.2838
ABCG2|9429	257.8383	ABCG2|9429	283.7108
ABHD10|55347	3715.7591	ABHD10|55347	568.801
ABHD11|83451	288.9851	ABHD11|83451	323.2555
ABHD12B|145447	112.6238	lowly_expressed	lowly_expressed
ABHD12|26090	1387.995	ABHD12|26090	814.3465
ABHD13|84945	606.8482	ABHD13|84945	720.5426
ABHD14A|25864	116.3366	ABHD14A|25864	283.8395
ABHD14B|84836	1018.7706	ABHD14B|84836	1961.145
ABHD15|116236	358.9109	ABHD15|116236	461.6623
ABHD1|84696	5.9818	ABHD1|84696	22.0715
ABHD2|11057	5158.4158	ABHD2|11057	3092.3095
ABHD3|171586	628.7129	ABHD3|171586	249.224
ABHD4|63874	715.1403	ABHD4|63874	1087.0215
ABHD5|51099	1097.3597	ABHD5|51099	1137.602
ABHD6|57406	180.0743	ABHD6|57406	378.8941
ABHD8|79575	89.7277	ABHD8|79575	165.0764
ABI1|10006	2355.4043	ABI1|10006	1636.8824
ABI2|10152	1409.6535	ABI2|10152	1725.7156
ABI3BP|25890	2327.5578	ABI3BP|25890	3184.7339
ABI3|51225	257.2195	ABI3|51225	169.2149
ABL1|25	1569.3069	ABL1|25	3012.3003
ABL2|27	1828.5891	ABL2|27	1358.7769
ABLIM1|3983	3519.802	ABLIM1|3983	8354.0637
ABLIM2|84448	83.7459	ABLIM2|84448	107.5986
ABLIM3|22885	617.1617	ABLIM3|22885	2037.4756
ABO|28	15.4703	ABO|28	28.9688
ABP1|26	33.2096	ABP1|26	5.5179
lowly_expressed	lowly_expressed	ABRA|137735	11.4956
ABR|29	1531.9719	ABR|29	2401.6554
ABT1|29777	410.4785	ABT1|29777	485.1132
ABTB1|80325	240.3053	ABTB1|80325	786.7571
ABTB2|25841	46.4109	ABTB2|25841	91.9646
ACAA1|30	507.8383	ACAA1|30	784.9178
ACAA2|10449	1401.4026	lowly_expressed	lowly_expressed
ACACA|31	1156.5594	ACACA|31	1716.5191
ACACB|32	2478.5479	ACACB|32	4588.5734
ACAD10|80724	298.6799	ACAD10|80724	422.1175
ACAD11|84129	298.4674	ACAD11|84129	374.7281
ACAD8|27034	394.3894	ACAD8|27034	367.8584
ACAD9|28976	512.4031	ACAD9|28976	653.8683
ACADL|33	52.3927	ACADL|33	105.7593
ACADM|34	1001.6502	ACADM|34	1128.4056
ACADSB|36	1307.3432	ACADSB|36	2730.4288
ACADS|35	231.0231	ACADS|35	628.1182
ACADVL|37	2841.1696	ACADVL|37	4347.0744
ACAN|176	36.0974	ACAN|176	157.2595
ACAP1|9744	270.8333	ACAP1|9744	61.1565
ACAP2|23527	2149.7525	ACAP2|23527	1549.6034
ACAP3|116983	290.8416	ACAP3|116983	285.1086
ACAT1|38	894.1832	ACAT1|38	1467.7549
ACAT2|39	590.0248	ACAT2|39	219.9517
ACBD3|64746	3344.2657	ACBD3|64746	1411.1967
ACBD4|79777	56.5182	ACBD4|79777	226.2329
ACBD5|91452	1306.1056	ACBD5|91452	748.5918
ACBD6|84320	699.0512	ACBD6|84320	298.8849
ACBD7|414149	173.4736	ACBD7|414149	32.6474
ACCN1|40	7.4257	lowly_expressed	lowly_expressed
ACCN2|41	55.0743	ACCN2|41	75.8708
ACCN3|9311	6.3944	lowly_expressed	lowly_expressed
ACCS|84680	115.099	ACCS|84680	186.2283
ACD|65057	181.5182	ACD|65057	352.2244
lowly_expressed	lowly_expressed	ACE2|59272	11.9554
ACER2|340485	124.7937	ACER2|340485	203.7016
ACER3|55331	511.1386	ACER3|55331	454.3051
ACE|1636	547.236	ACE|1636	1013.9096
ACHE|43	10.7261	ACHE|43	11.9554
ACIN1|22985	2730.8168	ACIN1|22985	2187.8377
ACLY|47	3126.4439	ACLY|47	3190.2518
ACMSD|130013	20.6271	lowly_expressed	lowly_expressed
ACN9|57001	105.6106	ACN9|57001	119.0941
ACO1|48	1701.9389	ACO1|48	2264.1683
ACO2|50	1841.9018	ACO2|50	2189.9621
ACOT11|26027	21.2459	ACOT11|26027	19.331
ACOT13|55856	556.2479	ACOT13|55856	441.1266
ACOT1|641371	330.8581	ACOT1|641371	542.1313
ACOT2|10965	207.0957	ACOT2|10965	333.3717
ACOT4|122970	176.7739	ACOT4|122970	102.0807
ACOT7|11332	373.7624	ACOT7|11332	198.1837
ACOT8|10005	327.1617	ACOT8|10005	182.3244
ACOT9|23597	549.2987	ACOT9|23597	489.7115
ACOX1|51	1877.8878	ACOX1|51	1959.5816
ACOX2|8309	423.4736	ACOX2|8309	275.8938
ACOX3|8310	483.4983	ACOX3|8310	609.2654
ACOXL|55289	14.0264	lowly_expressed	lowly_expressed
ACP1|52	1035.8911	ACP1|52	891.1369
ACP2|53	1193.6881	ACP2|53	882.8601
ACP5|54	1984.9422	ACP5|54	655.7076
ACP6|51205	143.5644	ACP6|51205	143.4648
ACPL2|92370	545.1733	ACPL2|92370	480.515
ACPP|55	23.3086	ACPP|55	38.1653
ACRBP|84519	29.9092	ACRBP|84519	9.6563
ACRC|93953	34.2409	ACRC|93953	15.634
lowly_expressed	lowly_expressed	ACR|49	10.5759
lowly_expressed	lowly_expressed	ACSBG1|23205	15.1742
lowly_expressed	lowly_expressed	ACSBG2|81616	7.3572
ACSF2|80221	393.7706	ACSF2|80221	713.6452
ACSF3|197322	181.5182	ACSF3|197322	304.4028
ACSL1|2180	5898.3086	ACSL1|2180	8071.7324
ACSL3|2181	3126.4439	ACSL3|2181	2352.9141
ACSL4|2182	1886.5512	ACSL4|2182	1769.3988
ACSL5|51703	823.0198	ACSL5|51703	808.8286
ACSL6|23305	27.2277	ACSL6|23305	5.0581
ACSM1|116285	15.0578	ACSM1|116285	25.7501
ACSM3|6296	28.7211	ACSM3|6296	109.7138
ACSM5|54988	126.8564	ACSM5|54988	160.0184
ACSS1|84532	654.0842	ACSS1|84532	747.2123
ACSS2|55902	1071.5759	ACSS2|55902	1783.1935
ACSS3|79611	384.2822	ACSS3|79611	511.783
lowly_expressed	lowly_expressed	ACTA1|58	57.018
