gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
?|100133144	6.2212	lowly_expressed	lowly_expressed
?|100134869	7.3031	lowly_expressed	lowly_expressed
?|10357	66.2609	?|10357	74.1145
?|10431	1034.2084	?|10431	647.7617
?|155060	96.2609	?|155060	163.3672
?|390284	9.5465	?|390284	7.8473
?|57714	818.6158	?|57714	264.6692
?|645851	10.3421	lowly_expressed	lowly_expressed
?|652919	67.6531	?|652919	76.0692
?|653553	55.6881	?|653553	229.7129
?|8225	233.0947	?|8225	1077.2249
?|90288	109.7852	?|90288	28.5358
A1BG|1	69.3158	A1BG|1	27.109
A2LD1|87769	91.2092	A2LD1|87769	132.8554
A2M|2	10629.1169	A2M|2	27631.6176
A4GALT|53947	167.0644	A4GALT|53947	565.7214
AAAS|8086	478.1225	AAAS|8086	631.3537
AACS|65985	1622.1161	AACS|65985	4730.5154
lowly_expressed	lowly_expressed	AADACL2|344752	8.5607
AADAC|13	31.8218	AADAC|13	179.0619
AADAT|51166	31.8218	AADAT|51166	63.4921
AAGAB|79719	2141.607	AAGAB|79719	405.9212
AAK1|22848	1114.5585	AAK1|22848	938.8265
AAMP|14	1864.7574	AAMP|14	3068.3075
AARS2|57505	335.6722	AARS2|57505	358.8086
AARSD1|80755	521.8775	AARSD1|80755	631.3537
AARS|16	1706.4439	AARS|16	2598.8942
AASDHPPT|60496	1468.576	AASDHPPT|60496	900.3032
AASDH|132949	533.8107	AASDH|132949	284.6442
AASS|10157	597.4543	AASS|10157	2699.4828
AATF|26574	630.8671	AATF|26574	1298.377
AATK|9625	33.4129	AATK|9625	31.3893
ABAT|18	3732.6969	ABAT|18	505.7963
ABCA10|10349	53.3015	ABCA10|10349	305.5466
ABCA11P|79963	119.634	ABCA11P|79963	127.0697
ABCA12|26154	6099.4431	lowly_expressed	lowly_expressed
ABCA17P|650655	5.5688	lowly_expressed	lowly_expressed
ABCA1|19	1373.8266	ABCA1|19	6582.0225
ABCA2|20	649.9602	ABCA2|20	1607.99
ABCA3|21	1233.8902	ABCA3|21	1137.15
lowly_expressed	lowly_expressed	ABCA4|24	13.5545
ABCA5|23461	402.5457	ABCA5|23461	761.6907
ABCA6|23460	378.6794	ABCA6|23460	2246.4776
ABCA7|10347	209.2283	ABCA7|10347	399.5006
