gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
?|100133144	8.3719	?|100133144	7.4987
?|100134869	7.8685	?|100134869	6.7795
?|10357	112.7081	?|10357	102.3903
?|10431	808.3638	?|10431	709.1486
?|155060	140.4791	?|155060	154.9445
?|388795	5.2781	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|390284	10.0476
?|57714	552.5782	?|57714	888.9476
?|645851	17.8644	?|645851	9.5188
lowly_expressed	lowly_expressed	?|652919	21.7715
?|653553	555.4202	?|653553	147.541
?|8225	498.173	?|8225	573.2417
?|90288	14.6163	?|90288	28.0275
A1BG|1	176.0901	A1BG|1	60.2961
A2LD1|87769	102.6269	A2LD1|87769	73.5061
lowly_expressed	lowly_expressed	A2ML1|144568	7.4035
A2M|2	15290.2436	A2M|2	38504.9339
A4GALT|53947	377.1823	A4GALT|53947	371.2322
AAAS|8086	850.5887	AAAS|8086	523.0037
AACS|65985	949.6549	AACS|65985	1718.6674
lowly_expressed	lowly_expressed	AADAC|13	70.862
AADAT|51166	71.4576	AADAT|51166	71.3908
AAGAB|79719	1614.2915	AAGAB|79719	686.4093
AAK1|22848	682.501	AAK1|22848	932.3109
AAMP|14	2664.2306	AAMP|14	2149.6563
AARS2|57505	456.7519	AARS2|57505	381.761
AARSD1|80755	1393.4227	AARSD1|80755	478.5828
AARS|16	7205.0345	AARS|16	2953.9926
AASDHPPT|60496	513.6013	AASDHPPT|60496	708.6198
AASDH|132949	297.1985	AASDH|132949	316.7636
AASS|10157	388.1445	AASS|10157	843.9979
AATF|26574	2276.8981	AATF|26574	782.6547
AATK|9625	25.9846	AATK|9625	46.5362
ABAT|18	477.4665	ABAT|18	518.7731
ABCA10|10349	9.3382	lowly_expressed	lowly_expressed
ABCA11P|79963	102.6228	ABCA11P|79963	74.5479
ABCA12|26154	60.0893	ABCA12|26154	54.9974
lowly_expressed	lowly_expressed	ABCA13|154664	41.7768
ABCA17P|650655	5.2781	lowly_expressed	lowly_expressed
ABCA1|19	784.8153	ABCA1|19	3526.1185
ABCA2|20	1229.8011	ABCA2|20	2495.505
ABCA3|21	1573.6906	ABCA3|21	1270.2274
ABCA4|24	11.3683	ABCA4|24	39.1327
ABCA5|23461	439.7077	ABCA5|23461	963.5114
ABCA6|23460	59.2773	ABCA6|23460	846.642
ABCA7|10347	290.2964	ABCA7|10347	464.3046
ABCA8|10351	10.5562	ABCA8|10351	2547.3295
ABCA9|10350	12.5863	ABCA9|10350	958.2232
ABCB10|23456	328.0552	ABCB10|23456	395.5579
lowly_expressed	lowly_expressed	ABCB11|8647	20.624
ABCB1|5243	14.2103	ABCB1|5243	241.6711
ABCB4|5244	41.0069	ABCB4|5244	16.3934
lowly_expressed	lowly_expressed	ABCB5|340273	69.2755
ABCB6|10058	279.3829	ABCB6|10058	735.6108
ABCB7|22	380.0244	ABCB7|22	502.9085
ABCB8|11194	786.0333	ABCB8|11194	471.7081
ABCB9|23457	114.324	ABCB9|23457	100.8408
ABCC10|89845	699.5534	ABCC10|89845	457.4299
ABCC11|85320	6.9022	ABCC11|85320	805.394
lowly_expressed	lowly_expressed	ABCC12|94160	5.817
ABCC1|4363	1298.0106	ABCC1|4363	1306.716
lowly_expressed	lowly_expressed	ABCC2|1244	16.3934
ABCC3|8714	840.4385	ABCC3|8714	601.798
ABCC4|10257	73.8936	ABCC4|10257	126.917
ABCC5|10057	1438.8957	ABCC5|10057	616.0762
ABCC6P2|730013	21.1125	ABCC6P2|730013	38.6039
ABCC6|368	57.6533	ABCC6|368	778.9529
ABCC8|6833	51.1571	ABCC8|6833	30.1428
ABCC9|10060	295.1685	ABCC9|10060	2074.0349
ABCD1|215	309.3788	ABCD1|215	759.3866
ABCD2|225	6.0901	ABCD2|225	792.7023
ABCD3|5825	975.2335	ABCD3|5825	1314.6483
ABCD4|5826	811.2058	ABCD4|5826	597.0386
ABCE1|6059	1365.002	ABCE1|6059	1492.3321
ABCF1|23	2257.4097	ABCF1|23	1526.7054
ABCF2|10061	1569.6305	ABCF2|10061	1063.9873
ABCF3|55324	1507.9172	ABCF3|55324	1057.6415
ABCG1|9619	1153.0654	ABCG1|9619	637.7578
ABCG2|9429	64.5554	ABCG2|9429	241.6711
ABHD10|55347	500.609	ABHD10|55347	505.0238
ABHD11|83451	915.9562	ABHD11|83451	450.5553
ABHD12B|145447	18.2704	ABHD12B|145447	10.5764
ABHD12|26090	1531.8717	ABHD12|26090	841.8826
ABHD13|84945	475.4365	ABHD13|84945	553.1465
ABHD14A|25864	260.2517	ABHD14A|25864	310.4178
ABHD14B|84836	2439.3017	ABHD14B|84836	2944.4738
ABHD15|116236	695.8993	ABHD15|116236	860.3913
ABHD1|84696	11.7743	ABHD1|84696	42.8345
ABHD2|11057	47284.6123	ABHD2|11057	3217.8741
ABHD3|171586	195.6963	ABHD3|171586	258.5933
ABHD4|63874	1637.84	ABHD4|63874	1138.551
ABHD5|51099	877.3853	ABHD5|51099	1624.0085
ABHD6|57406	167.2757	ABHD6|57406	372.8186
ABHD8|79575	280.5522	ABHD8|79575	168.165
ABI1|10006	1497.767	ABI1|10006	1289.2173
ABI2|10152	1531.0597	ABI2|10152	1360.6557
ABI3BP|25890	73.8936	ABI3BP|25890	1562.6653
ABI3|51225	184.3281	ABI3|51225	202.0095
ABL1|25	2349.9797	ABL1|25	3116.3406
ABL2|27	1454.324	ABL2|27	1271.285
ABLIM1|3983	1020.7065	ABLIM1|3983	7343.2047
ABLIM2|84448	143.7272	ABLIM2|84448	88.3131
ABLIM3|22885	278.5221	ABLIM3|22885	2966.6843
lowly_expressed	lowly_expressed	ABO|28	20.0952
ABR|29	1356.0698	ABR|29	2267.0545
ABT1|29777	447.0158	ABT1|29777	434.6906
ABTB1|80325	889.5656	ABTB1|80325	755.156
ABTB2|25841	59.6833	ABTB2|25841	92.0148
ACAA1|30	920.4222	ACAA1|30	1420.9413
ACAA2|10449	870.8892	ACAA2|10449	2623.4796
ACACA|31	3181.892	ACACA|31	3798.5193
ACACB|32	108.4044	ACACB|32	18000.5288
ACAD10|80724	670.3207	ACAD10|80724	595.4521
ACAD11|84129	244.0114	ACAD11|84129	953.4638
