gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
?|100133144	9.3461	?|100133144	8.6889
?|100134869	6.1822	?|100134869	8.8192
?|10357	255.999	?|10357	74.1857
?|10431	955.9626	?|10431	684.4463
?|155060	186.8252	?|155060	191.7752
?|390284	8.2494	lowly_expressed	lowly_expressed
?|57714	521.1695	?|57714	623.7785
lowly_expressed	lowly_expressed	?|645851	10.5863
?|653553	255.2469	?|653553	224.3485
?|729884	12.1315	?|729884	131.9218
?|8225	646.3666	?|8225	538.6808
?|90288	37.8503	?|90288	32.5733
A1BG|1	51.8937	A1BG|1	115.6596
A2LD1|87769	56.6105	A2LD1|87769	77.0073
lowly_expressed	lowly_expressed	A2ML1|144568	24.0228
A2M|2	11425.908	A2M|2	47452.6914
A4GALT|53947	393.546	A4GALT|53947	470.684
AAAS|8086	683.7317	AAAS|8086	713.7622
AACS|65985	348.9021	AACS|65985	912.4593
AADAT|51166	178.0905	AADAT|51166	80.2117
AAGAB|79719	2017.712	AAGAB|79719	1139.2508
AAK1|22848	823.9719	AAK1|22848	973.127
AAMP|14	3152.7357	AAMP|14	2195.8469
AARS2|57505	550.2754	AARS2|57505	593.5912
AARSD1|80755	342.1085	AARSD1|80755	521.5798
AARS|16	1763.4356	AARS|16	2796.0098
AASDHPPT|60496	634.2351	AASDHPPT|60496	764.2508
AASDH|132949	223.2197	AASDH|132949	403.9088
AASS|10157	113.5509	AASS|10157	579.8046
AATF|26574	1096.6881	AATF|26574	981.6775
AATK|9625	34.4535	AATK|9625	73.2899
ABAT|18	99.4783	ABAT|18	727.1987
ABCA10|10349	8.2494	ABCA10|10349	110.7858
ABCA11P|79963	250.8213	ABCA11P|79963	199.9267
ABCA12|26154	437.7047	ABCA12|26154	85.9121
lowly_expressed	lowly_expressed	ABCA13|154664	65.5537
lowly_expressed	lowly_expressed	ABCA17P|650655	10.9935
ABCA1|19	474.5796	ABCA1|19	595.6596
ABCA2|20	1470.3385	ABCA2|20	1550.8958
ABCA3|21	437.7047	ABCA3|21	1061.0749
lowly_expressed	lowly_expressed	ABCA4|24	32.9805
ABCA5|23461	464.8793	ABCA5|23461	826.1034
ABCA6|23460	97.052	ABCA6|23460	309.4463
ABCA7|10347	351.3284	ABCA7|10347	327.7687
ABCA8|10351	89.7731	ABCA8|10351	684.8534
ABCA9|10350	53.8639	ABCA9|10350	263.8436
ABCB10|23456	392.0903	ABCB10|23456	367.2638
ABCB11|8647	9.2199	lowly_expressed	lowly_expressed
ABCB1|5243	66.9659	ABCB1|5243	652.2801
ABCB4|5244	12.1315	ABCB4|5244	13.4365
lowly_expressed	lowly_expressed	ABCB5|340273	52.9316
ABCB6|10058	1044.4595	ABCB6|10058	516.4984
ABCB7|22	365.8862	ABCB7|22	486.1564
ABCB8|11194	484.775	ABCB8|11194	467.0195
ABCB9|23457	102.1958	ABCB9|23457	163.2044
ABCC10|89845	535.242	ABCC10|89845	495.9283
ABCC11|85320	1133.5679	ABCC11|85320	171.0098
ABCC12|94160	26.6893	lowly_expressed	lowly_expressed
ABCC13|150000	872.4979	lowly_expressed	lowly_expressed
ABCC1|4363	901.6135	ABCC1|4363	1311.4821
lowly_expressed	lowly_expressed	ABCC2|1244	12.6221
ABCC3|8714	587.6501	ABCC3|8714	954.3974
ABCC4|10257	1183.5497	ABCC4|10257	150.2443
ABCC5|10057	481.3781	ABCC5|10057	781.759
lowly_expressed	lowly_expressed	ABCC6P1|653190	7.329
ABCC6P2|730013	7.7642	ABCC6P2|730013	9.772
ABCC6|368	8.7347	ABCC6|368	68.8111
ABCC8|6833	799.2236	ABCC8|6833	219.8697
ABCC9|10060	96.5668	ABCC9|10060	299.2671
ABCD1|215	376.0767	ABCD1|215	255.2932
ABCD2|225	32.9977	ABCD2|225	50.0814
ABCD3|5825	1243.7219	ABCD3|5825	1622.557
ABCD4|5826	374.6209	ABCD4|5826	820.4397
ABCE1|6059	1243.7219	ABCE1|6059	1653.9088
ABCF1|23	1678.0298	ABCF1|23	1541.1238
ABCF2|10061	673.0559	ABCF2|10061	1156.759
ABCF3|55324	905.9808	lowly_expressed	lowly_expressed
ABCG1|9619	1378.139	ABCG1|9619	520.3583
ABCG2|9429	39.3061	ABCG2|9429	198.6971
ABHD10|55347	410.0449	ABHD10|55347	567.5896
ABHD11|83451	614.3394	ABHD11|83451	594.0554
ABHD12B|145447	304.7434	lowly_expressed	lowly_expressed
ABHD12|26090	1508.1888	ABHD12|26090	790.7166
ABHD13|84945	394.5166	ABHD13|84945	506.9218
ABHD14A|25864	202.3535	ABHD14A|25864	260.8021
ABHD14B|84836	624.5299	ABHD14B|84836	1763.0293
ABHD15|116236	168.3853	ABHD15|116236	296.8241
ABHD1|84696	12.1315	ABHD1|84696	13.4365
ABHD2|11057	27017.8333	ABHD2|11057	4131.9218
ABHD3|171586	701.6863	ABHD3|171586	231.2704
