gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
lowly_expressed	lowly_expressed	?|100134869	6.7759
?|10357	74.7838	?|10357	75.8705
?|10431	1386.0496	?|10431	553.8714
?|155060	65.5959	?|155060	239.2462
?|390284	6.7393	?|390284	7.7837
?|57714	283.4999	?|57714	452.6833
?|645851	16.6236	?|645851	9.0127
?|652919	21.1165	?|652919	40
?|653553	190.0483	?|653553	76.1983
?|729884	172.9754	lowly_expressed	lowly_expressed
?|8225	612.3779	?|8225	596.0672
?|90288	18.87	?|90288	13.1094
A1BG|1	40.7368	A1BG|1	95.9484
A2LD1|87769	116.7112	A2LD1|87769	107.374
A2M|2	8424.9759	A2M|2	19780.7948
A4GALT|53947	131.641	A4GALT|53947	161.4093
AAAS|8086	546.3327	AAAS|8086	686.1942
AACS|65985	8954.7344	AACS|65985	1930.7661
AADAC|13	13.9279	lowly_expressed	lowly_expressed
AADAT|51166	473.9975	AADAT|51166	104.4654
AAGAB|79719	1739.6383	AAGAB|79719	909.873
AAK1|22848	1071.9982	AAK1|22848	758.2958
AAMP|14	3320.2291	AAMP|14	2537.075
AARS2|57505	491.0659	AARS2|57505	656.2802
AARSD1|80755	394.9231	AARSD1|80755	687.4232
AARS|16	7596.0912	AARS|16	2576.8128
AASDHPPT|60496	1107.4649	AASDHPPT|60496	985.2519
AASDH|132949	251.6006	AASDH|132949	487.9148
AASS|10157	62.9001	AASS|10157	433.0193
AATF|26574	539.5934	AATF|26574	913.1503
AATK|9625	29.2036	AATK|9625	74.5596
ABAT|18	1190.6099	ABAT|18	496.5178
lowly_expressed	lowly_expressed	ABCA10|10349	146.2515
ABCA11P|79963	38.9621	ABCA11P|79963	129.578
ABCA12|26154	519.3755	ABCA12|26154	10.6514
lowly_expressed	lowly_expressed	ABCA13|154664	147.8902
lowly_expressed	lowly_expressed	ABCA17P|650655	13.519
ABCA1|19	462.7654	ABCA1|19	710.7579
ABCA2|20	491.969	ABCA2|20	1920.5244
ABCA3|21	1763.4505	ABCA3|21	2453.9123
lowly_expressed	lowly_expressed	ABCA4|24	34.4121
ABCA5|23461	584.9714	ABCA5|23461	1248.2589
ABCA6|23460	32.3486	ABCA6|23460	210.9791
ABCA7|10347	274.0649	ABCA7|10347	243.7526
ABCA8|10351	17.9715	ABCA8|10351	253.5846
ABCA9|10350	25.6093	ABCA9|10350	146.6612
ABCB10|23456	373.3573	ABCB10|23456	466.2024
