gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
lowly_expressed	lowly_expressed	?|100133144	18.4332
?|100134869	12.1474	?|100134869	10.7954
?|10357	126.3207	?|10357	94.3747
?|10431	1411.5377	?|10431	583.6128
?|155060	178.2751	?|155060	187.8294
?|390284	6.9458	lowly_expressed	lowly_expressed
?|553137	7.7175	?|553137	11.0206
?|57714	227.6674	?|57714	374.2214
?|645851	14.6633	?|645851	10.0623
lowly_expressed	lowly_expressed	?|652919	79.1615
?|653553	728.5356	?|653553	74.2693
?|8225	432.1821	?|8225	547.1969
?|90288	7.7175	?|90288	42.1658
A1BG|1	229.7743	A1BG|1	121.2889
A2LD1|87769	197.7002	A2LD1|87769	78.9363
A2ML1|144568	3200.4631	A2ML1|144568	12.9372
A2M|2	28638.0861	A2M|2	19826.9765
A4GALT|53947	1038.7806	A4GALT|53947	154.7676
AAAS|8086	737.0249	AAAS|8086	709.631
AACS|65985	788.7324	AACS|65985	1245.8074
AADAT|51166	13.1198	AADAT|51166	48.874
AAGAB|79719	578.8154	AAGAB|79719	1275.9943
AAK1|22848	680.6869	AAK1|22848	961.6675
AAMP|14	6258.1516	AAMP|14	2600.8625
AARS2|57505	430.6386	AARS2|57505	588.3948
AARSD1|80755	1030.2913	AARSD1|80755	564.9257
AARS|16	3303.8781	AARS|16	2632.4868
AASDHPPT|60496	643.6427	AASDHPPT|60496	864.3987
AASDH|132949	100.328	AASDH|132949	488.2607
AASS|10157	104.9585	AASS|10157	520.3642
AATF|26574	1170.7505	AATF|26574	1087.2065
AATK|9625	17.7581	AATK|9625	89.6023
ABAT|18	96.4692	ABAT|18	919.0225
ABCA10|10349	12.3481	ABCA10|10349	77.1442
ABCA11P|79963	28.5703	ABCA11P|79963	147.3503
ABCA12|26154	5.4023	ABCA12|26154	146.1428
ABCA13|154664	115.7631	ABCA13|154664	28.7494
ABCA17P|650655	33.9572	ABCA17P|650655	10.0623
ABCA1|19	364.2678	ABCA1|19	999.5113
ABCA2|20	721.5898	ABCA2|20	1325.3474
ABCA3|21	2566.0814	ABCA3|21	1101.5812
lowly_expressed	lowly_expressed	ABCA4|24	62.7695
ABCA5|23461	240.0154	ABCA5|23461	1158.1217
ABCA6|23460	61.7403	ABCA6|23460	91.0398
ABCA7|10347	630.5229	ABCA7|10347	381.4087
ABCA8|10351	30.0984	ABCA8|10351	274.5568
ABCA9|10350	20.0656	ABCA9|10350	118.8309
ABCB10|23456	469.2263	ABCB10|23456	413.0331
ABCB1|5243	65.5991	ABCB1|5243	512.6977
ABCB4|5244	13.8916	ABCB4|5244	8.6248
lowly_expressed	lowly_expressed	ABCB5|340273	12.9372
