gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
?|100133144	10.7307	lowly_expressed	lowly_expressed
?|100134869	8.7888	lowly_expressed	lowly_expressed
?|10357	136.1011	?|10357	121.4576
?|10431	1211.7117	?|10431	940.9314
?|155060	99.5996	?|155060	96.7243
?|390284	13.013	lowly_expressed	lowly_expressed
?|57714	78.0781	?|57714	578.4931
?|645851	7.007	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|652919	5.9406
?|653553	51.5516	?|653553	239.7726
?|729884	57.0571	lowly_expressed	lowly_expressed
?|8225	110.1101	?|8225	332.0499
?|90288	7.007	?|90288	31.8709
A1BG|1	67.5676	A1BG|1	7.7824
A2LD1|87769	40.3754	A2LD1|87769	113.1564
A2ML1|144568	89.5896	lowly_expressed	lowly_expressed
A2M|2	15580.5105	A2M|2	28799.8473
A4GALT|53947	23.5235	A4GALT|53947	250.8903
AAAS|8086	604.6046	AAAS|8086	515.122
AACS|65985	1555.0551	AACS|65985	2042.3289
lowly_expressed	lowly_expressed	AADAC|13	163.4308
lowly_expressed	lowly_expressed	AADAT|51166	111.1774
AAGAB|79719	824.8248	AAGAB|79719	628.1523
AAK1|22848	378.3784	AAK1|22848	1511.6421
AAMP|14	1183.6837	AAMP|14	1895.9454
AARS2|57505	508.008	AARS2|57505	293.1266
AARSD1|80755	359.8599	AARSD1|80755	579.2343
AARS|16	2132.6326	AARS|16	3261.9451
AASDHPPT|60496	731.7317	AASDHPPT|60496	852.3601
AASDH|132949	281.7818	AASDH|132949	357.9912
AASS|10157	996.997	AASS|10157	982.0671
AATF|26574	560.0601	AATF|26574	914.2489
AATK|9625	29.029	AATK|9625	27.7944
ABAT|18	238.7387	ABAT|18	275.3494
ABCA10|10349	110.6106	ABCA10|10349	365.7737
ABCA11P|79963	139.1241	ABCA11P|79963	119.2748
ABCA12|26154	10.5105	lowly_expressed	lowly_expressed
ABCA13|154664	849.8498	ABCA13|154664	18.9002
ABCA17P|650655	64.0641	lowly_expressed	lowly_expressed
ABCA1|19	532.5325	ABCA1|19	4460.9267
ABCA2|20	750.2503	ABCA2|20	1577.978
ABCA3|21	531.5315	ABCA3|21	1073.9737
lowly_expressed	lowly_expressed	ABCA4|24	21.1237
ABCA5|23461	1362.8629	ABCA5|23461	1170.6981
ABCA6|23460	468.4685	ABCA6|23460	1295.2168
ABCA7|10347	69.5696	ABCA7|10347	440.6331
ABCA8|10351	7.5075	ABCA8|10351	5559.6115
ABCA9|10350	180.6807	ABCA9|10350	1831.4625
ABCB10|23456	982.983	ABCB10|23456	526.2397
lowly_expressed	lowly_expressed	ABCB11|8647	33.7238
ABCB1|5243	35.035	ABCB1|5243	111.9186
ABCB4|5244	5.5055	ABCB4|5244	33.7238
lowly_expressed	lowly_expressed	ABCB5|340273	50.771
ABCB6|10058	460.8759	ABCB6|10058	711.213
ABCB7|22	354.8549	ABCB7|22	661.135
ABCB8|11194	199.1992	ABCB8|11194	422.1036
ABCB9|23457	73.7638	ABCB9|23457	42.4698
ABCC10|89845	231.2312	ABCC10|89845	251.2609
ABCC11|85320	7.007	ABCC11|85320	11.1177
ABCC1|4363	832.8328	ABCC1|4363	742.6651
lowly_expressed	lowly_expressed	ABCC2|1244	12.9707
ABCC3|8714	27.5275	ABCC3|8714	17.0472
ABCC4|10257	118.1181	ABCC4|10257	72.6359
ABCC5|10057	771.2713	ABCC5|10057	333.9028
lowly_expressed	lowly_expressed	ABCC6P1|653190	26.312
ABCC6P2|730013	16.016	ABCC6P2|730013	53.3652
ABCC6|368	6.5065	ABCC6|368	1336.3524
lowly_expressed	lowly_expressed	ABCC8|6833	7.0412
ABCC9|10060	63.0631	ABCC9|10060	3485.4117
ABCD1|215	83.0831	ABCD1|215	486.2159
ABCD2|225	39.5395	ABCD2|225	1952.6458
ABCD3|5825	601.1011	ABCD3|5825	1369.7056
ABCD4|5826	163.1632	ABCD4|5826	576.6401
ABCE1|6059	2455.4555	ABCE1|6059	1347.0996
ABCF1|23	1273.7738	ABCF1|23	1542.4012
ABCF2|10061	1490.991	ABCF2|10061	1032.4675
ABCF3|55324	565.0651	ABCF3|55324	863.4779
ABCG1|9619	315.3153	ABCG1|9619	204.937
ABCG2|9429	702.2022	ABCG2|9429	49.2886
lowly_expressed	lowly_expressed	ABCG8|64241	11.1177
ABHD10|55347	1821.8218	ABHD10|55347	642.6054
ABHD11|83451	401.4014	ABHD11|83451	159.3543
lowly_expressed	lowly_expressed	ABHD12B|145447	24.0884
ABHD12|26090	1012.5125	ABHD12|26090	658.1702
ABHD13|84945	684.6847	ABHD13|84945	538.8398
ABHD14A|25864	529.029	ABHD14A|25864	469.9469
ABHD14B|84836	1810.8108	ABHD14B|84836	3748.5315
ABHD15|116236	58.5586	ABHD15|116236	1960.0577
ABHD1|84696	26.026	ABHD1|84696	77.083
ABHD2|11057	1350.8509	ABHD2|11057	2081.241
ABHD3|171586	155.6557	ABHD3|171586	466.5745
ABHD4|63874	656.1562	ABHD4|63874	1401.9471
ABHD5|51099	2975.976	ABHD5|51099	3233.039
ABHD6|57406	82.5826	ABHD6|57406	570.3401
ABHD8|79575	112.1121	ABHD8|79575	130.4482
ABI1|10006	2667.7928	ABI1|10006	1219.568
ABI2|10152	1634.1341	ABI2|10152	747.1122
ABI3BP|25890	215.7157	ABI3BP|25890	2561.1568
ABI3|51225	69.0691	ABI3|51225	77.8242
ABL1|25	1667.6677	ABL1|25	2943.2365
ABL2|27	1545.045	ABL2|27	963.1669
ABLIM1|3983	1582.5826	ABLIM1|3983	5581.1058
ABLIM2|84448	5.5055	ABLIM2|84448	58.1828
ABLIM3|22885	15.5155	ABLIM3|22885	3997.5689
lowly_expressed	lowly_expressed	ABO|28	40.0239
lowly_expressed	lowly_expressed	ABRA|137735	15.1942
ABR|29	236.2362	ABR|29	1456.7946
ABT1|29777	796.2963	ABT1|29777	387.6386
ABTB1|80325	118.1181	ABTB1|80325	434.7037
ABTB2|25841	245.2452	ABTB2|25841	113.401
ACAA1|30	1323.8238	ACAA1|30	1607.9959
ACAA2|10449	3510.5105	ACAA2|10449	6763.2922
ACACA|31	1131.1311	ACACA|31	8448.0005
ACACB|32	70.0701	ACACB|32	32269.242
ACAD10|80724	340.8408	ACAD10|80724	681.5175
ACAD11|84129	497.4975	ACAD11|84129	1492.7383
ACAD8|27034	276.2763	ACAD8|27034	658.5408
ACAD9|28976	923.4234	ACAD9|28976	1605.4017
lowly_expressed	lowly_expressed	ACADL|33	829.754
ACADM|34	578.0781	ACADM|34	3249.345
ACADSB|36	382.3824	ACADSB|36	2015.2758
ACADS|35	130.1301	ACADS|35	1887.4218
ACADVL|37	1211.2112	ACADVL|37	9335.5223
ACAN|176	42.5425	lowly_expressed	lowly_expressed
ACAP1|9744	8.5085	ACAP1|9744	26.6826
ACAP2|23527	698.6987	ACAP2|23527	1811.4505
ACAP3|116983	534.0541	ACAP3|116983	420.9918
ACAT1|38	674.6747	ACAT1|38	5532.5583
ACAT2|39	651.992	ACAT2|39	401.9323
ACBD3|64746	2283.2833	ACBD3|64746	1490.1478
ACBD4|79777	31.031	ACBD4|79777	262.7493
ACBD5|91452	561.0611	ACBD5|91452	1313.7463
ACBD6|84320	888.8889	ACBD6|84320	381.7091
ACBD7|414149	39.5395	ACBD7|414149	5.9295
ACCN2|41	628.1281	ACCN2|41	147.8659
lowly_expressed	lowly_expressed	ACCN3|9311	7.7824
ACCS|84680	334.8348	ACCS|84680	220.5019
ACD|65057	277.2773	ACD|65057	196.0428
ACE2|59272	344.8448	ACE2|59272	17.4178
ACER2|340485	10.01	ACER2|340485	442.8567
ACER3|55331	1529.029	ACER3|55331	1822.9389
ACE|1636	227.7277	ACE|1636	1105.8446
lowly_expressed	lowly_expressed	ACHE|43	31.1297
ACIN1|22985	1708.2082	ACIN1|22985	2669.7401
ACLY|47	1532.5325	ACLY|47	9580.5276
ACN9|57001	274.7748	ACN9|57001	156.3896
ACO1|48	1164.1642	ACO1|48	14172.5251
ACO2|50	3384.9199	ACO2|50	6403.737
ACOT11|26027	12.5125	ACOT11|26027	10.5137
ACOT13|55856	1468.2883	ACOT13|55856	873.1688
ACOT1|641371	210.7107	ACOT1|641371	3402.3992
ACOT2|10965	109.6096	ACOT2|10965	1934.8575
ACOT4|122970	51.0511	ACOT4|122970	316.1144
lowly_expressed	lowly_expressed	ACOT6|641372	23.7178
ACOT7|11332	178.6787	ACOT7|11332	208.6429
ACOT8|10005	595.976	ACOT8|10005	196.9063
ACOT9|23597	448.9489	ACOT9|23597	648.9055
ACOX1|51	810.8108	ACOX1|51	6823.1649
ACOX2|8309	25.5255	ACOX2|8309	839.0188
ACOX3|8310	389.3894	ACOX3|8310	307.9614
ACP1|52	3522.5225	ACP1|52	1159.9509
ACP2|53	509.5095	ACP2|53	664.8409
ACP5|54	27.027	ACP5|54	53.3652
ACP6|51205	291.2913	ACP6|51205	261.2669
ACPL2|92370	425.9259	ACPL2|92370	189.0016
ACPP|55	112.1121	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACRBP|84519	13.7119
ACRC|93953	21.021	ACRC|93953	37.8003
ACR|49	9.5095	ACR|49	9.2648
ACSBG1|23205	9.009	ACSBG1|23205	17.0472
ACSF2|80221	50.5506	ACSF2|80221	1286.6932
ACSF3|197322	227.7277	ACSF3|197322	305.7379
ACSL1|2180	2707.2072	ACSL1|2180	83843.3288
ACSL3|2181	4364.3644	ACSL3|2181	1908.5455
ACSL4|2182	662.1622	ACSL4|2182	3456.8761
ACSL5|51703	497.4975	ACSL5|51703	719.6884
ACSM1|116285	20.02	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	8.153
lowly_expressed	lowly_expressed	ACSM2B|348158	6.3001
ACSM3|6296	166.6717	ACSM3|6296	5.2995
ACSM5|54988	5.5055	ACSM5|54988	1303.7404
ACSS1|84532	1054.0541	ACSS1|84532	309.8144
ACSS2|55902	2052.0521	ACSS2|55902	7312.5086
ACSS3|79611	285.2853	ACSS3|79611	2515.9447
ACTA2|59	4019.8098	ACTA2|59	5662.4135
ACTBL2|345651	6.5065	lowly_expressed	lowly_expressed
ACTB|60	195169.6697	ACTB|60	58153.9362
lowly_expressed	lowly_expressed	ACTC1|70	13.7119
ACTG1|71	54507.5075	lowly_expressed	lowly_expressed
ACTG2|72	503.5035	ACTG2|72	815.301
ACTL6A|86	1397.3974	ACTL6A|86	586.6461
ACTL8|81569	23.5235	lowly_expressed	lowly_expressed
ACTN1|87	3188.1882	ACTN1|87	5035.9659
ACTN2|88	18.5185	lowly_expressed	lowly_expressed
ACTN4|81	8801.2813	ACTN4|81	7361.5341
ACTR10|55860	642.1421	ACTR10|55860	1291.8815
ACTR1A|10121	1070.5706	ACTR1A|10121	2985.1133
ACTR1B|10120	1212.2122	ACTR1B|10120	1238.8869
ACTR2|10097	5991.4915	ACTR2|10097	5829.0314
ACTR3B|57180	2013.5135	ACTR3B|57180	111.548
ACTR3C|653857	65.5656	ACTR3C|653857	11.1177
ACTR3|10096	6486.4865	ACTR3|10096	2472.2149
ACTR5|79913	195.6957	ACTR5|79913	143.7894
ACTR6|64431	922.4224	ACTR6|64431	589.2403
ACTR8|93973	407.4074	ACTR8|93973	475.8393
ACVR1B|91	1780.2803	ACVR1B|91	937.9667
lowly_expressed	lowly_expressed	ACVR1C|130399	6231.4936
ACVR1|90	1573.5736	ACVR1|90	1406.7648
ACVR2A|92	850.3504	ACVR2A|92	579.6049
ACVR2B|93	438.4384	ACVR2B|93	264.2316
ACVRL1|94	229.7297	ACVRL1|94	1175.8864
ACY1|95	664.1642	ACY1|95	1080.9779
ACY3|91703	77.0771	lowly_expressed	lowly_expressed
ACYP1|97	40.04	ACYP1|97	37.8003
ACYP2|98	837.8378	ACYP2|98	249.7786
ADAL|161823	245.2452	ADAL|161823	291.6554
ADAM10|102	1135.6356	ADAM10|102	949.0845
lowly_expressed	lowly_expressed	ADAM11|4185	8.5236
ADAM12|8038	454.955	ADAM12|8038	2364.3728
ADAM15|8751	6507.037	ADAM15|8751	2539.2919
ADAM17|6868	553.0531	ADAM17|6868	474.7275
ADAM19|8728	76.5766	ADAM19|8728	92.6478
ADAM22|53616	17.017	ADAM22|53616	181.5898
lowly_expressed	lowly_expressed	ADAM23|8745	18.159
ADAM28|10863	71.0711	ADAM28|10863	20.7531
ADAM32|203102	375.8759	ADAM32|203102	29.6473
lowly_expressed	lowly_expressed	ADAM33|80332	467.9902
ADAM6|8755	1046.0711	ADAM6|8755	80.1663
ADAM8|101	12.012	ADAM8|101	26.312
ADAM9|8754	545.5455	ADAM9|8754	1570.5662
ADAMDEC1|27299	6.006	lowly_expressed	lowly_expressed
ADAMTS10|81794	28.028	ADAMTS10|81794	141.1953
ADAMTS12|81792	10.01	ADAMTS12|81792	813.0774
ADAMTS13|11093	14.5145	ADAMTS13|11093	38.5415
ADAMTS14|140766	8.5085	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAMTS15|170689	237.9196
ADAMTS16|170690	5.005	ADAMTS16|170690	121.554
ADAMTS17|170691	7.007	ADAMTS17|170691	17.7884
ADAMTS18|170692	6.5065	ADAMTS18|170692	339.0911
ADAMTS19|171019	102.1021	lowly_expressed	lowly_expressed
ADAMTS1|9510	1986.987	ADAMTS1|9510	9696.5227
ADAMTS2|9509	23.5235	ADAMTS2|9509	702.2706
ADAMTS3|9508	157.1572	ADAMTS3|9508	148.9777
ADAMTS4|9507	1399.3994	ADAMTS4|9507	824.1952
ADAMTS5|11096	69.0691	ADAMTS5|11096	3064.4199
ADAMTS6|11174	14.5145	ADAMTS6|11174	30.0179
ADAMTS7|11173	22.5225	ADAMTS7|11173	129.707
ADAMTS8|11095	8.5085	ADAMTS8|11095	9.6354
ADAMTS9|56999	1384.8849	ADAMTS9|56999	963.5375
ADAMTSL1|92949	32.032	ADAMTSL1|92949	417.2859
ADAMTSL2|9719	42.5425	ADAMTSL2|9719	65.5947
ADAMTSL3|57188	21.021	ADAMTSL3|57188	771.9418
ADAMTSL4|54507	28.028	ADAMTSL4|54507	902.7605
lowly_expressed	lowly_expressed	ADAMTSL5|339366	24.459
lowly_expressed	lowly_expressed	ADAP1|11033	58.7165
ADAP2|55803	86.0861	ADAP2|55803	104.1362
ADARB1|104	703.2032	ADARB1|104	734.8827
ADAR|103	5809.3093	ADAR|103	5048.566
ADAT1|23536	191.1912	ADAT1|23536	250.1492
ADAT2|134637	313.8138	ADAT2|134637	104.8774
ADAT3|113179	10.01	ADAT3|113179	5.5589
ADA|100	86.0861	ADA|100	197.8958
ADCK1|57143	111.6116	ADCK1|57143	163.4308
ADCK2|90956	592.6026	ADCK2|90956	476.2099
ADCK4|79934	303.8038	ADCK4|79934	309.0732
ADCK5|203054	35.5355	ADCK5|203054	42.618
ADCY10|55811	6.006	lowly_expressed	lowly_expressed
ADCY1|107	48.048	ADCY1|107	168.6191
ADCY2|108	5.005	ADCY2|108	90.4243
ADCY3|109	231.962	ADCY3|109	1374.2194
ADCY4|196883	29.029	ADCY4|196883	655.5761
lowly_expressed	lowly_expressed	ADCY5|111	652.2408
ADCY6|112	1124.1241	ADCY6|112	7875.8074
ADCY7|113	779.2793	ADCY7|113	589.9814
ADCY9|115	264.2643	ADCY9|115	602.2109
lowly_expressed	lowly_expressed	ADCYAP1R1|117	159.3543
lowly_expressed	lowly_expressed	ADCYAP1|116	6.6706
ADC|113451	67.5676	ADC|113451	52.624
ADD1|118	1917.9179	ADD1|118	8471.3477
lowly_expressed	lowly_expressed	ADD2|119	18.159
ADD3|120	873.3734	ADD3|120	3831.9146
lowly_expressed	lowly_expressed	ADH1A|124	735.4608
ADH1B|125	19.5195	ADH1B|125	103601.4068
lowly_expressed	lowly_expressed	ADH1C|126	1033.9499
lowly_expressed	lowly_expressed	ADH4|127	44.1004
