gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
?|100133144	6.8786	?|100133144	16.6243
?|100134869	6.1977	?|100134869	16.9392
?|10357	78.6134	?|10357	89.3146
?|10431	926.1983	?|10431	616.9154
?|155060	128.7894	?|155060	294.3491
?|390284	5.6746	?|390284	11.2868
?|57714	926.1983	?|57714	848.8899
?|645851	5.6746	?|645851	15.1481
?|652919	9.9824	lowly_expressed	lowly_expressed
?|653553	73.5235	?|653553	49.0087
lowly_expressed	lowly_expressed	?|728788	5.3464
?|8225	444.8417	?|8225	410.4849
?|90288	10.6091	?|90288	10.6928
A1BG|1	99.3751	A1BG|1	89.8998
A2LD1|87769	124.1042	A2LD1|87769	79.2604
lowly_expressed	lowly_expressed	A2ML1|144568	6.8315
A2M|2	18397.815	A2M|2	17617.5421
A4GALT|53947	152.2281	A4GALT|53947	155.9367
AAAS|8086	637.7791	AAAS|8086	632.3606
AACS|65985	996.021	AACS|65985	1342.541
AADAT|51166	18.751	AADAT|51166	48.1176
AAGAB|79719	1220.7857	AAGAB|79719	872.3546
AAK1|22848	946.6764	AAK1|22848	935.6204
AAMP|14	1261.0015	AAMP|14	1721.5415
AARS2|57505	504.0379	AARS2|57505	562.5366
AARSD1|80755	439.4138	AARSD1|80755	528.6998
AARS|16	2149.9447	AARS|16	2018.8609
AASDHPPT|60496	993.307	AASDHPPT|60496	1103.6608
AASDH|132949	375.5125	AASDH|132949	586.0251
AASS|10157	390.0692	AASS|10157	796.3169
AATF|26574	1181.8034	AATF|26574	1068.9834
AATK|9625	19.7378	AATK|9625	33.8605
ABAT|18	1498.1024	ABAT|18	636.2219
ABCA10|10349	11.3493	ABCA10|10349	204.4286
ABCA11P|79963	69.0158	ABCA11P|79963	204.0128
ABCA12|26154	6.4148	ABCA12|26154	57.0283
lowly_expressed	lowly_expressed	ABCA13|154664	44.8504
ABCA17P|650655	5.4279	ABCA17P|650655	8.6136
ABCA1|19	1770.946	ABCA1|19	618.0768
ABCA2|20	764.1013	ABCA2|20	1286.4038
ABCA3|21	1667.6011	ABCA3|21	1401.6485
