gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
lowly_expressed	lowly_expressed	?|100133144	11.0135
?|100134869	7.5249	lowly_expressed	lowly_expressed
?|10357	105.0974	?|10357	67.3594
?|10431	761.9952	?|10431	612.2734
?|155060	162.9454	?|155060	268.7122
?|390284	9.0261	?|390284	7.4384
?|57714	304.038	?|57714	454.2073
?|645851	15.2019	?|645851	9.7629
lowly_expressed	lowly_expressed	?|652919	14.2213
?|653553	672.6841	?|653553	113.4356
?|729884	39.905	lowly_expressed	lowly_expressed
?|8225	291.6865	?|8225	539.749
?|90288	61.7577	?|90288	9.7629
A1BG|1	87.4109	A1BG|1	43.9005
A2BP1|54715	6.1758	lowly_expressed	lowly_expressed
A2LD1|87769	59.4394	A2LD1|87769	71.2366
A2ML1|144568	25.1781	A2ML1|144568	10.2278
A2M|2	7299.7435	A2M|2	26429.5072
A4GALT|53947	254.1568	A4GALT|53947	398.4193
AAAS|8086	607.601	AAAS|8086	555.0907
AACS|65985	3112.114	AACS|65985	1356.5783
lowly_expressed	lowly_expressed	AADAC|13	8.8331
AADAT|51166	225.6532	AADAT|51166	81.3575
AAGAB|79719	1727.3159	AAGAB|79719	770.3394
AAK1|22848	861.2827	AAK1|22848	923.2915
AAMP|14	2162.9454	AAMP|14	1988.3775
AARS2|57505	452.7268	AARS2|57505	490.4603
AARSD1|80755	290.7363	AARSD1|80755	525.802
AARS|16	6747.2684	AARS|16	2533.7053
AASDHPPT|60496	1397.1496	AASDHPPT|60496	757.7871
AASDH|132949	253.6817	AASDH|132949	354.7187
AASS|10157	145.8432	AASS|10157	571.8271
AATF|26574	1174.3468	AATF|26574	990.2371
AATK|9625	37.0546	AATK|9625	43.2357
ABAT|18	750.1188	ABAT|18	350.0697
lowly_expressed	lowly_expressed	ABCA10|10349	376.1041
ABCA11P|79963	99.7292	ABCA11P|79963	120.1906
ABCA12|26154	1742.0428	ABCA12|26154	69.735
lowly_expressed	lowly_expressed	ABCA13|154664	10.6927
lowly_expressed	lowly_expressed	ABCA17P|650655	7.4384
ABCA1|19	1006.1758	ABCA1|19	1082.2594
ABCA2|20	2128.266	ABCA2|20	1359.3677
ABCA3|21	1021.3777	ABCA3|21	849.8373
ABCA4|24	103.0879	ABCA4|24	53.4635
ABCA5|23461	63.658	ABCA5|23461	953.51
ABCA6|23460	93.5867	ABCA6|23460	785.2162
ABCA7|10347	352.9691	ABCA7|10347	245.9321
ABCA8|10351	15.677	ABCA8|10351	1657.3687
ABCA9|10350	28.0285	ABCA9|10350	771.2692
ABCB10|23456	496.4371	ABCB10|23456	410.9716
ABCB1|5243	10.9264	ABCB1|5243	284.5188
ABCB4|5244	29.4537	ABCB4|5244	18.596
lowly_expressed	lowly_expressed	ABCB5|340273	142.2594
ABCB6|10058	961.848	ABCB6|10058	483.5332
ABCB7|22	275.5344	ABCB7|22	477.9172
ABCB8|11194	652.2565	ABCB8|11194	363.0869
ABCB9|23457	179.0736	ABCB9|23457	118.7215
ABCC10|89845	452.2565	ABCC10|89845	421.6643
ABCC11|85320	3707.3634	ABCC11|85320	240.8182
ABCC12|94160	209.5012	lowly_expressed	lowly_expressed
ABCC13|150000	438.4798	ABCC13|150000	5.5788
ABCC1|4363	1641.3302	ABCC1|4363	1039.5165
ABCC2|1244	13.3017	ABCC2|1244	10.6927
ABCC3|8714	133.0166	ABCC3|8714	672.7104
ABCC4|10257	151.0689	ABCC4|10257	157.1362
ABCC5|10057	720.19	ABCC5|10057	817.7592
