gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
?|100133144	16.7637	?|100133144	11.6943
lowly_expressed	lowly_expressed	?|100134869	7.884
?|10357	151.6459	?|10357	69.0248
?|10431	898.4268	?|10431	644.2018
?|155060	145.9489	?|155060	417.5452
?|390284	5.0014	?|390284	5.2711
?|57714	496.9537	?|57714	824.1717
?|645851	7.7294	?|645851	16.5663
?|652919	27.8712	?|652919	65.7455
?|653553	84.1138	?|653553	161.5211
lowly_expressed	lowly_expressed	?|729884	100.1506
?|8225	417.8412	?|8225	503.012
?|90288	9.0934	?|90288	14.6837
A1BG|1	25.4115	A1BG|1	62.4774
A2LD1|87769	65.286	A2LD1|87769	82.4172
A2ML1|144568	180.0491	A2ML1|144568	14.6837
A2M|2	11666.2908	A2M|2	19931.2764
A4GALT|53947	139.1289	A4GALT|53947	307.2289
AAAS|8086	333.2727	AAAS|8086	609.1867
AACS|65985	433.3	AACS|65985	8994.3524
lowly_expressed	lowly_expressed	AADAC|13	419.0512
AADAT|51166	265.527	AADAT|51166	378.7651
AAGAB|79719	977.0847	AAGAB|79719	973.6446
AAK1|22848	775.2114	AAK1|22848	1329.0663
AAMP|14	1859.5981	AAMP|14	2163.0271
AARS2|57505	585.587	AARS2|57505	570.6928
AARSD1|80755	394.6531	AARSD1|80755	467.244
AARS|16	2810.3119	AARS|16	2600.1506
AASDHPPT|60496	826.5891	AASDHPPT|60496	722.0934
AASDH|132949	470.1282	AASDH|132949	452.5602
AASS|10157	144.1302	AASS|10157	576.0542
AATF|26574	1569.519	AATF|26574	788.7801
AATK|9625	55.4697	AATK|9625	38.7801
ABAT|18	160.953	ABAT|18	689.3825
ABCA10|10349	18.6414	ABCA10|10349	516.9428
ABCA11P|79963	248.4268	ABCA11P|79963	90.93
ABCA12|26154	141.4022	ABCA12|26154	4403.6145
ABCA13|154664	6.3654	ABCA13|154664	9.7892
ABCA17P|650655	28.1895	ABCA17P|650655	8.6596
ABCA1|19	1107.111	ABCA1|19	1259.7063
ABCA2|20	356.9155	ABCA2|20	1316.6416
ABCA3|21	551.9687	ABCA3|21	4523.3434
ABCA4|24	9.0934	ABCA4|24	25.9789
ABCA5|23461	201.8732	ABCA5|23461	1192.7711
ABCA6|23460	181.4131	ABCA6|23460	836.2199
ABCA7|10347	72.7471	ABCA7|10347	340.3614
ABCA8|10351	248.2495	ABCA8|10351	2093.3735
ABCA9|10350	128.6715	ABCA9|10350	1270.3313
ABCB10|23456	488.315	ABCB10|23456	425.0753
ABCB1|5243	237.7921	ABCB1|5243	424.6988
ABCB4|5244	15.0041	ABCB4|5244	13.9307
lowly_expressed	lowly_expressed	ABCB5|340273	64.3825
ABCB6|10058	289.7245	ABCB6|10058	1525.7342
ABCB7|22	502.8644	ABCB7|22	506.0241
ABCB8|11194	352.3688	ABCB8|11194	485.6928
ABCB9|23457	47.1174	ABCB9|23457	172.8916
ABCC10|89845	620.6238	ABCC10|89845	455.5723
ABCC11|85320	62.2897	ABCC11|85320	22457.8313
lowly_expressed	lowly_expressed	ABCC12|94160	304.9699
ABCC1|4363	1167.1365	ABCC1|4363	2441.2651
ABCC2|1244	101.3913	ABCC2|1244	1086.9729
ABCC3|8714	195.0532	ABCC3|8714	625.753
ABCC4|10257	107.302	ABCC4|10257	637.4247
ABCC5|10057	294.1711	ABCC5|10057	674.6988
lowly_expressed	lowly_expressed	ABCC6P1|653190	19.5783
ABCC6P2|730013	7.7294	ABCC6P2|730013	33.8855
ABCC6|368	15.9134	ABCC6|368	446.9127
ABCC8|6833	529.6899	ABCC8|6833	50.4518
ABCC9|10060	319.178	ABCC9|10060	984.1867
ABCD1|215	321.4513	ABCD1|215	496.2349
ABCD2|225	15.0041	ABCD2|225	240.5873
ABCD3|5825	1601.8005	ABCD3|5825	1570.7831
ABCD4|5826	358.7342	ABCD4|5826	768.0723
ABCE1|6059	2839.4107	ABCE1|6059	1393.0723
ABCF1|23	1778.6669	ABCF1|23	1647.2139
ABCF2|10061	1202.146	ABCF2|10061	1080.1958
ABCF3|55324	928.8897	ABCF3|55324	1082.8313
ABCG1|9619	1604.5285	ABCG1|9619	442.3946
ABCG2|9429	233.7001	ABCG2|9429	117.0934
ABHD10|55347	625.1705	ABHD10|55347	673.5693
ABHD11|83451	3018.0958	ABHD11|83451	940.512
ABHD12|26090	1233.5182	ABHD12|26090	1086.5964
ABHD13|84945	398.2904	ABHD13|84945	513.5542
ABHD14A|25864	89.1152	ABHD14A|25864	176.9578
ABHD14B|84836	499.2271	ABHD14B|84836	2597.5151
ABHD15|116236	240.5201	ABHD15|116236	468.75
ABHD1|84696	6.3654	ABHD1|84696	30.1205
ABHD2|11057	2644.8122	ABHD2|11057	2080.9488
ABHD3|171586	566.0635	ABHD3|171586	1080.1958
ABHD4|63874	602.437	ABHD4|63874	1387.0482
ABHD5|51099	1043.4664	ABHD5|51099	1250
ABHD6|57406	110.03	ABHD6|57406	401.7319
ABHD8|79575	138.2195	ABHD8|79575	163.0271
ABI1|10006	2128.6123	ABI1|10006	1510.9149
ABI2|10152	3786.4872	ABI2|10152	1378.012
ABI3BP|25890	544.2393	ABI3BP|25890	1234.5633
ABI3|51225	137.3102	ABI3|51225	127.6355
ABL1|25	3463.6719	ABL1|25	2892.6958
ABL2|27	1415.386	ABL2|27	914.9096
ABLIM1|3983	2562.0624	ABLIM1|3983	6070.4066
ABLIM2|84448	104.1193	ABLIM2|84448	68.1476
ABLIM3|22885	225.516	ABLIM3|22885	2088.4789
lowly_expressed	lowly_expressed	ABO|28	17.6958
ABR|29	1679.549	ABR|29	1932.9819
ABT1|29777	488.7697	ABT1|29777	428.8404
ABTB1|80325	334.6367	ABTB1|80325	595.256
ABTB2|25841	227.3347	ABTB2|25841	189.759
ACAA1|30	716.1044	ACAA1|30	2398.7199
ACAA2|10449	1040.7384	ACAA2|10449	1283.1325
ACACA|31	6082.1133	ACACA|31	10681.4759
ACACB|32	369.6463	ACACB|32	5069.2771
ACAD10|80724	322.8153	ACAD10|80724	603.5392
ACAD11|84129	170.3692	ACAD11|84129	500.2937
ACAD8|27034	318.2686	ACAD8|27034	848.2681
ACAD9|28976	520.5965	ACAD9|28976	814.0173
lowly_expressed	lowly_expressed	ACADL|33	457.8313
ACADM|34	601.073	ACADM|34	4984.5633
ACADSB|36	2499.7727	ACADSB|36	2241.3404
ACADS|35	116.8501	ACADS|35	589.2319
ACADVL|37	1770.4829	ACADVL|37	6736.378
ACAN|176	44.1029	lowly_expressed	lowly_expressed
ACAP1|9744	76.3845	ACAP1|9744	65.8886
ACAP2|23527	1314.9041	ACAP2|23527	1407.756
ACAP3|116983	305.1059	ACAP3|116983	683.302
ACAT1|38	604.2557	ACAT1|38	1346.762
ACAT2|39	909.6572	ACAT2|39	764.2395
ACBD3|64746	1963.7174	ACBD3|64746	1393.0723
ACBD4|79777	85.9325	ACBD4|79777	277.8614
ACBD5|91452	1075.2933	ACBD5|91452	870.8584
ACBD6|84320	616.0771	ACBD6|84320	308.7349
ACBD7|414149	194.1439	ACBD7|414149	14.6837
ACCN2|41	88.2059	ACCN2|41	84.3373
ACCN3|9311	7.2747	ACCN3|9311	15.8133
ACCS|84680	53.1963	ACCS|84680	347.1386
ACD|65057	298.7178	ACD|65057	320.4066
lowly_expressed	lowly_expressed	ACE2|59272	25.6024
ACER1|125981	9.5481	lowly_expressed	lowly_expressed
ACER2|340485	81.3858	ACER2|340485	346.009
ACER3|55331	424.6613	ACER3|55331	366.7169
ACE|1636	400.1091	ACE|1636	782.003
ACHE|43	27.2802	ACHE|43	39.5331
ACIN1|22985	2512.0487	ACIN1|22985	3501.1295
ACLY|47	7434.7549	ACLY|47	5644.5783
ACN9|57001	130.4901	ACN9|57001	143.4488
ACO1|48	419.6599	ACO1|48	2401.7319
ACO2|50	1922.8426	ACO2|50	2841.5437
ACOT11|26027	10.4574	ACOT11|26027	52.5339
ACOT13|55856	716.1544	ACOT13|55856	516.5926
ACOT1|641371	224.152	ACOT1|641371	834.0437
ACOT2|10965	190.0518	ACOT2|10965	557.5226
ACOT4|122970	74.1111	ACOT4|122970	137.0482
ACOT7|11332	503.7738	ACOT7|11332	169.4277
ACOT8|10005	176.5345	ACOT8|10005	220.2447
ACOT9|23597	455.5788	ACOT9|23597	477.4096
ACOX1|51	1596.5672	ACOX1|51	2398.5279
ACOX2|8309	66.8364	ACOX2|8309	234.9398
ACOX3|8310	1841.4113	ACOX3|8310	1337.7259
ACP1|52	1414.022	ACP1|52	1270.3313
ACP2|53	599.2543	ACP2|53	856.9277
ACP5|54	342.8208	ACP5|54	1216.1145
ACP6|51205	199.1452	ACP6|51205	1046.3102
ACPL2|92370	669.7281	ACPL2|92370	345.256
ACPP|55	84.1138	ACPP|55	135.9187
ACRBP|84519	11.3667	ACRBP|84519	10.1657
ACRC|93953	6.3654	ACRC|93953	23.7199
ACRV1|56	6.82	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACR|49	5.6476
lowly_expressed	lowly_expressed	ACSBG1|23205	62.8765
ACSF2|80221	772.4834	ACSF2|80221	2259.7892
ACSF3|197322	273.711	ACSF3|197322	566.6416
ACSL1|2180	1502.2279	ACSL1|2180	21829.8193
ACSL3|2181	3380.9221	ACSL3|2181	32129.8946
ACSL4|2182	595.617	ACSL4|2182	1237.9518
ACSL5|51703	423.2973	ACSL5|51703	958.2078
ACSL6|23305	27.7348	ACSL6|23305	9.0361
ACSM1|116285	9.0934	ACSM1|116285	30029.744
ACSM3|6296	33.2909	ACSM3|6296	2845.9563
ACSM5|54988	15.9134	ACSM5|54988	282.756
ACSS1|84532	839.3198	ACSS1|84532	1673.9458
ACSS2|55902	412.8399	ACSS2|55902	2850.5271
ACSS3|79611	82.2952	ACSS3|79611	1524.0964
ACTA1|58	9.0934	lowly_expressed	lowly_expressed
ACTA2|59	5550.1182	ACTA2|59	14343.509
lowly_expressed	lowly_expressed	ACTBL2|345651	7.5301
ACTB|60	56130.7629	ACTB|60	59166.4157
ACTG1|71	66486.7691	ACTG1|71	37225.1506
