gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
?|100133144	8.9147	?|100133144	6.9665
?|100134869	6.2369	lowly_expressed	lowly_expressed
?|10357	67.4861	?|10357	93.1275
?|10431	824.0569	?|10431	668.2651
?|155060	169.1404	?|155060	210.2235
?|390284	5.2566	lowly_expressed	lowly_expressed
?|57714	631.4162	?|57714	963.2684
?|645851	25.974	?|645851	8.8232
lowly_expressed	lowly_expressed	?|652919	31.0578
?|653553	1465.9864	?|653553	197.9476
?|729884	91.5275	lowly_expressed	lowly_expressed
?|8225	527.8293	?|8225	598.83
?|90288	23.8095	?|90288	15.7284
A1BG|1	213.9858	A1BG|1	74.7943
A2LD1|87769	89.0816	A2LD1|87769	76.605
A2ML1|144568	5.5659	lowly_expressed	lowly_expressed
A2M|2	5332.6654	A2M|2	31529.2069
A4GALT|53947	145.3309	A4GALT|53947	654.4548
A4GNT|51146	5.8751	lowly_expressed	lowly_expressed
AAAS|8086	488.5591	AAAS|8086	579.2654
AACS|65985	1182.4366	AACS|65985	980.1477
AADAT|51166	196.0421	AADAT|51166	80.5601
AAGAB|79719	1401.979	AAGAB|79719	933.7297
AAK1|22848	911.2554	AAK1|22848	1185.3841
AAMP|14	2149.0414	AAMP|14	2294.0443
AARS2|57505	244.5887	AARS2|57505	427.3444
AARSD1|80755	271.1812	AARSD1|80755	483.3605
AARS|16	8514.8423	AARS|16	3171.7656
AASDHPPT|60496	729.128	AASDHPPT|60496	647.166
AASDH|132949	311.3791	AASDH|132949	308.43
AASS|10157	122.7582	AASS|10157	498.7053
AATF|26574	4536.4873	AATF|26574	951.7599
AATK|9625	17.0068	AATK|9625	49.1033
ABAT|18	473.0983	ABAT|18	359.835
lowly_expressed	lowly_expressed	ABCA10|10349	125.8272
ABCA11P|79963	158.3735	ABCA11P|79963	115.6421
ABCA12|26154	1135.7452	ABCA12|26154	7.6724
ABCA17P|650655	21.9542	ABCA17P|650655	5.3707
ABCA1|19	1254.1713	ABCA1|19	2498.8626
ABCA2|20	1445.5782	ABCA2|20	1798.408
ABCA3|21	2793.1354	ABCA3|21	1299.7027
ABCA4|24	74.8299	ABCA4|24	79.7928
ABCA5|23461	262.5232	ABCA5|23461	777.9802
ABCA6|23460	49.4743	ABCA6|23460	673.2521
ABCA7|10347	127.0872	ABCA7|10347	392.0591
ABCA8|10351	21.9542	ABCA8|10351	1383.3317
ABCA9|10350	6.8027	ABCA9|10350	913.0143
ABCB10|23456	825.2938	ABCB10|23456	385.9212
lowly_expressed	lowly_expressed	ABCB11|8647	10.3577
ABCB1|5243	12.3686	ABCB1|5243	214.0597
ABCB4|5244	21.0266	ABCB4|5244	15.7284
lowly_expressed	lowly_expressed	ABCB5|340273	97.0557
ABCB6|10058	1045.0247	ABCB6|10058	644.5421
ABCB7|22	435.6834	ABCB7|22	427.3521
ABCB8|11194	585.9617	ABCB8|11194	483.3605
ABCB9|23457	279.162	ABCB9|23457	116.2175
ABCC10|89845	316.3265	ABCC10|89845	436.5589
ABCC11|85320	64.0074	ABCC11|85320	42.1981
ABCC13|150000	17.9344	lowly_expressed	lowly_expressed
ABCC1|4363	1441.5584	ABCC1|4363	1353.0258
ABCC2|1244	213.3581	ABCC2|1244	21.0991
ABCC3|8714	812.9252	ABCC3|8714	760.7174
ABCC4|10257	195.4236	ABCC4|10257	302.6757
ABCC5|10057	2764.3785	ABCC5|10057	672.8685
lowly_expressed	lowly_expressed	ABCC6P1|653190	8.056
ABCC6P2|730013	21.3358	ABCC6P2|730013	16.4956
ABCC6|368	7.7304	ABCC6|368	247.8182
lowly_expressed	lowly_expressed	ABCC8|6833	34.9094
ABCC9|10060	122.7582	ABCC9|10060	1089.8629
ABCD1|215	1282.9314	ABCD1|215	452.671
ABCD2|225	6.4935	ABCD2|225	241.6803
ABCD3|5825	1749.5362	ABCD3|5825	1130.1429
ABCD4|5826	391.7749	ABCD4|5826	806.7517
ABCE1|6059	2447.7427	ABCE1|6059	1302.7717
ABCF1|23	1066.7904	ABCF1|23	1695.598
ABCF2|10061	1325.2938	ABCF2|10061	1372.5904
ABCF3|55324	1792.8262	ABCF3|55324	1016.2079
ABCG1|9619	1872.6036	ABCG1|9619	408.1711
ABCG2|9429	24.428	ABCG2|9429	135.8013
ABHD10|55347	448.9796	ABHD10|55347	512.132
ABHD11|83451	734.3847	ABHD11|83451	374.7962
ABHD12|26090	1773.0365	ABHD12|26090	850.8679
ABHD13|84945	447.1243	ABHD13|84945	415.4599
ABHD14A|25864	139.1466	ABHD14A|25864	305.9825
ABHD14B|84836	876.9326	ABHD14B|84836	2566.7977
ABHD15|116236	539.8887	ABHD15|116236	781.8164
ABHD1|84696	15.4607	ABHD1|84696	30.3059
ABHD2|11057	13181.1998	ABHD2|11057	2923.9474
ABHD3|171586	183.6735	ABHD3|171586	286.9473
ABHD4|63874	2433.8281	ABHD4|63874	1215.3064
ABHD5|51099	1020.7174	ABHD5|51099	1422.4609
ABHD6|57406	84.1064	ABHD6|57406	365.2057
ABHD8|79575	428.5714	ABHD8|79575	249.3526
ABI1|10006	1966.2647	ABI1|10006	1427.448
ABI2|10152	1098.3302	ABI2|10152	1361.4654
ABI3BP|25890	621.8306	ABI3BP|25890	2083.8208
ABI3|51225	263.4508	ABI3|51225	302.6757
ABL1|25	1579.4682	ABL1|25	3123.4296
ABL2|27	1150.8967	ABL2|27	858.9239
ABLIM1|3983	2298.7013	ABLIM1|3983	6976.5033
ABLIM2|84448	73.2839	ABLIM2|84448	196.7968
ABLIM3|22885	285.7143	ABLIM3|22885	2130.6224
lowly_expressed	lowly_expressed	ABO|28	45.2671
ABP1|26	17.9344	lowly_expressed	lowly_expressed
ABR|29	1940.3216	ABR|29	2454.0136
ABT1|29777	419.6042	ABT1|29777	487.5803
ABTB1|80325	522.8819	ABTB1|80325	569.6749
ABTB2|25841	280.1484	ABTB2|25841	152.2969
ACAA1|30	462.2758	ACAA1|30	1415.9394
ACAA2|10449	822.2016	ACAA2|10449	2388.4147
ACACA|31	1383.7353	ACACA|31	2078.4502
ACACB|32	251.7007	ACACB|32	8827.4672
ACAD10|80724	247.0625	ACAD10|80724	482.2096
ACAD11|84129	297.4273	ACAD11|84129	590.3443
ACAD8|27034	253.8652	ACAD8|27034	531.6966
ACAD9|28976	735.6494	ACAD9|28976	937.1785
lowly_expressed	lowly_expressed	ACADL|33	165.34
ACADM|34	559.9876	ACADM|34	964.0357
ACADSB|36	1516.6976	ACADSB|36	1692.1454
ACADS|35	131.4162	ACADS|35	1266.3278
ACADVL|37	2077.9066	ACADVL|37	9055.667
ACAN|176	29.3754	ACAN|176	13.4267
ACAP1|9744	41.744	ACAP1|9744	81.7109
ACAP2|23527	1062.7706	ACAP2|23527	1351.8749
ACAP3|116983	302.1336	ACAP3|116983	540.9456
