gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
?|10357	88.3304	?|10357	97.2054
?|10431	897.047	?|10431	847.3469
?|155060	74.9621	?|155060	285.0299
lowly_expressed	lowly_expressed	?|388795	5.3231
?|57714	1277.8547	?|57714	145.1765
?|645851	8.4957	?|645851	7.2588
lowly_expressed	lowly_expressed	?|652919	14.5177
?|653553	297.8496	?|653553	328.0989
?|729884	12.4937	lowly_expressed	lowly_expressed
?|8225	998.9955	?|8225	894.7712
lowly_expressed	lowly_expressed	?|90288	14.5177
A1BG|1	36.5166	A1BG|1	116.6251
A2LD1|87769	105.8116	A2LD1|87769	134.235
A2ML1|144568	3915.0229	lowly_expressed	lowly_expressed
A2M|2	8988.9156	lowly_expressed	lowly_expressed
A4GALT|53947	389.8031	A4GALT|53947	920.903
AAAS|8086	384.3059	AAAS|8086	848.3147
AACS|65985	1652.1657	AACS|65985	1043.3352
AADACL2|344752	6.9965	lowly_expressed	lowly_expressed
AADAC|13	16.4917	AADAC|13	403.1068
AADAT|51166	165.9162	AADAT|51166	69.2008
AAGAB|79719	1180.9036	AAGAB|79719	823.6347
AAK1|22848	796.5977	AAK1|22848	913.6442
AAMP|14	2134.9219	AAMP|14	2539.6211
AARS2|57505	690.6112	AARS2|57505	433.5938
AARSD1|80755	286.3554	AARSD1|80755	705.0739
AARS|16	2889.041	AARS|16	2935.953
AASDHPPT|60496	1035.9768	AASDHPPT|60496	511.5052
AASDH|132949	160.9187	AASDH|132949	240.5091
AASS|10157	210.3938	AASS|10157	325.1954
AATF|26574	1040.9743	AATF|26574	1188.5117
AATK|9625	40.4796	AATK|9625	50.8118
ABAT|18	275.8607	ABAT|18	278.7389
lowly_expressed	lowly_expressed	ABCA10|10349	349.8754
ABCA11P|79963	126.1713	ABCA11P|79963	92.3565
ABCA12|26154	115.4417	ABCA12|26154	7.7427
lowly_expressed	lowly_expressed	ABCA17P|650655	6.291
ABCA1|19	1364.7558	ABCA1|19	1240.7172
ABCA2|20	1256.8653	ABCA2|20	1477.8969
ABCA3|21	294.8511	ABCA3|21	1018.6552
ABCA4|24	36.9813	ABCA4|24	15.0016
ABCA5|23461	173.4124	ABCA5|23461	495.0519
ABCA6|23460	13.4932	ABCA6|23460	709.4292
ABCA7|10347	180.4089	ABCA7|10347	375.0393
lowly_expressed	lowly_expressed	ABCA8|10351	2135.5465
ABCA9|10350	9.995	ABCA9|10350	1186.576
ABCB10|23456	271.8627	ABCB10|23456	409.3978
ABCB11|8647	9.4952	ABCB11|8647	7.2588
ABCB1|5243	65.9667	ABCB1|5243	229.8628
ABCB4|5244	20.9894	ABCB4|5244	33.3906
lowly_expressed	lowly_expressed	ABCB5|340273	60.0063
ABCB6|10058	333.5715	ABCB6|10058	613.7627
ABCB7|22	617.6881	ABCB7|22	460.2095
ABCB8|11194	636.1787	ABCB8|11194	722.979
ABCB9|23457	153.6474	ABCB9|23457	157.7052
ABCC10|89845	752.1202	ABCC10|89845	474.7272
lowly_expressed	lowly_expressed	ABCC11|85320	134.5302
ABCC13|150000	7.4962	lowly_expressed	lowly_expressed
ABCC1|4363	1060.9642	ABCC1|4363	1218.0309
lowly_expressed	lowly_expressed	ABCC2|1244	32.4228
