gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
?|100133144	10.5875	removed	removed
?|100134869	7.3679	removed	removed
?|10357	98.6558	?|10357	88.3624
?|10431	1030.2704	?|10431	677.9817
?|155060	237.7547	?|155060	211.9266
?|388795	8.049	removed	removed
?|390284	8.6681	?|390284	7.3394
?|57714	721.3131	?|57714	1121.1009
removed	removed	?|645851	11.0092
?|652919	43.0745	?|652919	106.9128
?|653553	391.3046	?|653553	176.6055
?|729884	17.9554	removed	removed
?|8225	485.4159	?|8225	435.3211
?|90288	13.0022	?|90288	11.4679
A1BG|1	63.8223	A1BG|1	26
A2LD1|87769	80.2298	A2LD1|87769	98.7982
A2ML1|144568	44.579	removed	removed
A2M|2	15455.8513	A2M|2	34436.0275
A4GALT|53947	292.2402	A4GALT|53947	735.3211
AAAS|8086	897.1525	AAAS|8086	568.3486
AACS|65985	821.6159	AACS|65985	548.6239
removed	removed	AADACL2|344752	15.5963
removed	removed	AADAC|13	824.7706
AADAT|51166	79.2516	AADAT|51166	75.6881
AAGAB|79719	1466.154	AAGAB|79719	665.5963
AAK1|22848	941.7315	AAK1|22848	1244.0367
AAMP|14	3162.0137	AAMP|14	1738.5321
AARS2|57505	276.7118	AARS2|57505	293.0963
AARSD1|80755	421.024	AARSD1|80755	401.8349
AARS|16	3054.2811	AARS|16	3178.8991
AASDHPPT|60496	699.6427	AASDHPPT|60496	641.2844
AASDH|132949	181.4118	AASDH|132949	253.211
AASS|10157	267.474	AASS|10157	453.6697
AATF|26574	921.9186	AATF|26574	966.9725
AATK|9625	23.5278	AATK|9625	60.0917
ABAT|18	1045.7492	ABAT|18	183.945
removed	removed	ABCA10|10349	450
ABCA11P|79963	154.4539	ABCA11P|79963	56.8394
ABCA12|26154	765.273	removed	removed
ABCA17P|650655	8.049	removed	removed
ABCA1|19	1349.1341	ABCA1|19	5210.2523
ABCA2|20	1067.4196	ABCA2|20	1285.3211
ABCA3|21	1370.1853	ABCA3|21	1239.4495
ABCA4|24	73.06	ABCA4|24	17.8899
ABCA5|23461	63.1536	ABCA5|23461	690.8257
ABCA6|23460	247.6612	ABCA6|23460	1731.1927
ABCA7|10347	191.9374	ABCA7|10347	281.6514
ABCA8|10351	21.6704	ABCA8|10351	5267.4312
ABCA9|10350	152.9308	ABCA9|10350	3243.578
ABCB10|23456	306.4807	ABCB10|23456	492.2018
removed	removed	ABCB11|8647	13.7615
ABCB1|5243	27.8619	ABCB1|5243	120.6422
ABCB4|5244	63.1536	ABCB4|5244	23.3945
ABCB5|340273	27.2427	ABCB5|340273	24.7706
ABCB6|10058	647.8382	ABCB6|10058	512.9358
ABCB7|22	381.3982	ABCB7|22	435.3211
ABCB8|11194	640.8232	ABCB8|11194	453.211
ABCB9|23457	281.4545	ABCB9|23457	62.0596
ABCC10|89845	348.5831	ABCC10|89845	370.6422
ABCC11|85320	2179.4181	removed	removed
ABCC12|94160	649.4914	removed	removed
ABCC1|4363	995.5978	ABCC1|4363	1679.3578
ABCC2|1244	71.8217	ABCC2|1244	78.4404
ABCC3|8714	312.6722	ABCC3|8714	373.8532
ABCC4|10257	336.2	ABCC4|10257	200
ABCC5|10057	873.0056	ABCC5|10057	875.6881
removed	removed	ABCC6P1|653190	14.2202
ABCC6P2|730013	17.9554	ABCC6P2|730013	18.8073
ABCC6|368	74.9175	ABCC6|368	514.2202
ABCC8|6833	79.8707	removed	removed
ABCC9|10060	983.8339	ABCC9|10060	2994.9541
ABCD1|215	934.9208	ABCD1|215	719.7248
ABCD2|225	6.8107	ABCD2|225	506.8807
ABCD3|5825	1177.6288	ABCD3|5825	983.4862
ABCD4|5826	576.4313	ABCD4|5826	796.789
ABCE1|6059	1727.4365	ABCE1|6059	1272.9358
