gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
?|100133144	8.5901	?|100133144	9.1547
removed	removed	?|100134869	10.5233
?|10357	98.6449	?|10357	97.7191
?|10431	978.6845	?|10431	742.8444
?|155060	94.7016	?|155060	161.0018
?|390284	7.9172	?|390284	7.6029
?|57714	718.3313	?|57714	699.0161
?|652919	26.8484	?|652919	44.0564
?|653553	359.3179	?|653553	165.9213
?|729884	214.3727	removed	removed
?|8225	254.5676	?|8225	371.1986
?|90288	28.0146	?|90288	10.2862
A1BG|1	148.3496	A1BG|1	39.2844
A2LD1|87769	75.676	A2LD1|87769	81.2478
A2ML1|144568	34.7138	removed	removed
A2M|2	24006.0414	A2M|2	35003.4928
A4GALT|53947	454.324	A4GALT|53947	832.737
AAAS|8086	565.1644	AAAS|8086	470.0358
AACS|65985	746.3459	AACS|65985	556.7979
removed	removed	AADACL2|344752	5.814
removed	removed	AADAC|13	256.7084
AADAT|51166	90.4385	AADAT|51166	67.9785
AAGAB|79719	1690.0122	AAGAB|79719	799.6422
AAK1|22848	1082.5213	AAK1|22848	1064.8479
AAMP|14	1896.7722	AAMP|14	1829.6064
AARS2|57505	418.3922	AARS2|57505	292.0394
AARSD1|80755	433.6175	AARSD1|80755	405.6351
AARS|16	2373.6297	AARS|16	2750.4472
AASDHPPT|60496	673.8733	AASDHPPT|60496	694.0966
AASDH|132949	338.3069	AASDH|132949	368.9624
AASS|10157	334.3484	AASS|10157	482.5581
AATF|26574	1066.9915	AATF|26574	984.7943
AATK|9625	24.3605	AATK|9625	47.8533
ABAT|18	3795.3715	ABAT|18	381.0376
removed	removed	ABCA10|10349	307.2451
ABCA11P|79963	83.8764	ABCA11P|79963	97.4106
ABCA12|26154	314.5554	ABCA12|26154	18.3363
ABCA13|154664	9.1352	removed	removed
ABCA17P|650655	7.6127	removed	removed
ABCA1|19	1187.2564	ABCA1|19	3359.0877
ABCA2|20	884.592	ABCA2|20	1191.4132
ABCA3|21	668.6967	ABCA3|21	1067.9785
ABCA4|24	180.877	ABCA4|24	70.6619
ABCA5|23461	130.0244	ABCA5|23461	814.4007
ABCA6|23460	154.9939	ABCA6|23460	1537.1199
ABCA7|10347	127.2838	ABCA7|10347	326.0286
removed	removed	ABCA8|10351	3849.7317
ABCA9|10350	88.916	ABCA9|10350	2671.288
ABCB10|23456	348.6602	ABCB10|23456	475.8497
removed	removed	ABCB11|8647	6.2612
ABCB1|5243	23.447	ABCB1|5243	242.3971
ABCB4|5244	107.1864	ABCB4|5244	41.1449
removed	removed	ABCB5|340273	41.1449
ABCB6|10058	221.2363	ABCB6|10058	416.7174
ABCB7|22	495.7369	ABCB7|22	470.0358
ABCB8|11194	460.7186	ABCB8|11194	326.9231
ABCB9|23457	205.2984	ABCB9|23457	54.3023
ABCC10|89845	325.8222	ABCC10|89845	318.873
ABCC11|85320	53.2887	ABCC11|85320	48.7478
ABCC13|150000	16.4434	removed	removed
ABCC1|4363	1718.3313	ABCC1|4363	1389.0877
ABCC2|1244	6.0901	ABCC2|1244	14.7585
ABCC3|8714	765.5298	ABCC3|8714	292.0394
ABCC4|10257	363.2765	ABCC4|10257	163.6852
ABCC5|10057	1264.3118	ABCC5|10057	559.4812
removed	removed	ABCC6P1|653190	21.4669
ABCC6P2|730013	9.4397	ABCC6P2|730013	25.4919
ABCC6|368	26.4921	ABCC6|368	341.6816
ABCC8|6833	21.011	ABCC8|6833	7.1556
ABCC9|10060	780.7552	ABCC9|10060	2011.1807
ABCD1|215	310.2923	ABCD1|215	534.8837
ABCD2|225	9.4397	ABCD2|225	557.6923
ABCD3|5825	1898.9038	ABCD3|5825	1285.7782
ABCD4|5826	455.8465	ABCD4|5826	705.7245
ABCE1|6059	1806.3337	ABCE1|6059	1597.0483
ABCF1|23	1742.9963	ABCF1|23	1426.2075
ABCF2|10061	1311.5104	ABCF2|10061	1129.6959
ABCF3|55324	1075.5177	ABCF3|55324	756.2612
ABCG1|9619	1324.9086	ABCG1|9619	539.356
ABCG2|9429	65.7734	ABCG2|9429	125.6708
ABHD10|55347	536.8453	ABHD10|55347	521.4669
ABHD11|83451	640.0731	ABHD11|83451	275.0447
removed	removed	ABHD12B|145447	13.864
ABHD12|26090	1285.3228	ABHD12|26090	857.7818
ABHD13|84945	615.408	ABHD13|84945	582.737
ABHD14A|25864	157.1315	ABHD14A|25864	312.6118
ABHD14B|84836	917.7832	ABHD14B|84836	2375.2236
ABHD15|116236	388.8551	ABHD15|116236	942.3077
ABHD1|84696	8.2217	ABHD1|84696	41.1449
ABHD2|11057	5019.1839	ABHD2|11057	3431.5742
ABHD3|171586	269.4884	ABHD3|171586	326.0286
ABHD4|63874	1043.849	ABHD4|63874	1213.7746
ABHD5|51099	698.8429	ABHD5|51099	1607.7818
ABHD6|57406	180.877	ABHD6|57406	557.6923
ABHD8|79575	265.8343	ABHD8|79575	177.9964
ABI1|10006	1688.3526	ABI1|10006	1535.1565
ABI2|10152	1649.5128	ABI2|10152	1065.7424
ABI3BP|25890	77.6492	ABI3BP|25890	3401.1628
ABI3|51225	215.5907	ABI3|51225	170.3936
ABL1|25	2150.1218	ABL1|25	3709.3023
ABL2|27	1175.3959	ABL2|27	1818.873
ABLIM1|3983	2495.7369	ABLIM1|3983	9301.4311
ABLIM2|84448	42.0219	ABLIM2|84448	161.0018
ABLIM3|22885	1085.8709	ABLIM3|22885	2708.4079
removed	removed	ABO|28	9.3918
ABP1|26	23.447	ABP1|26	5.814
ABR|29	1495.1279	ABR|29	1901.1628
ABT1|29777	503.9586	ABT1|29777	432.0215
ABTB1|80325	337.6979	ABTB1|80325	656.0823
ABTB2|25841	177.8319	ABTB2|25841	121.1986
ACAA1|30	1249.6955	ACAA1|30	1186.0465
ACAA2|10449	795.067	ACAA2|10449	2876.5653
ACACA|31	1312.1194	ACACA|31	1710.644
ACACB|32	191.2302	ACACB|32	8161.0018
ACAD10|80724	480.8161	ACAD10|80724	392.6655
ACAD11|84129	274.6346	ACAD11|84129	656.4982
ACAD8|27034	283.8002	ACAD8|27034	360.9123
ACAD9|28976	801.7661	ACAD9|28976	928.8909
removed	removed	ACADL|33	283.542
ACADM|34	842.57	ACADM|34	1266.5474
ACADSB|36	1942.4482	ACADSB|36	1778.1753
ACADS|35	290.1949	ACADS|35	1123.8819
ACADVL|37	3161.6352	ACADVL|37	6271.4311
ACAN|176	204.0195	ACAN|176	13.864
ACAP1|9744	93.179	ACAP1|9744	46.5116
ACAP2|23527	1448.5384	ACAP2|23527	1703.9356
ACAP3|116983	582.5365	ACAP3|116983	462.9159
ACAT1|38	1080.0853	ACAT1|38	2406.9767
ACAT2|39	391.4647	ACAT2|39	217.9025
ACBD3|64746	1859.0134	ACBD3|64746	1608.6762
ACBD4|79777	199.4519	ACBD4|79777	281.3059
ACBD5|91452	730.2071	ACBD5|91452	988.8193
ACBD6|84320	449.4519	ACBD6|84320	353.7567
ACBD7|414149	21.3155	ACBD7|414149	17.8891
ACCN2|41	41.4129	ACCN2|41	58.5868
removed	removed	ACCN3|9311	5.814
ACCS|84680	131.2424	ACCS|84680	392.6655
ACD|65057	223.8124	ACD|65057	233.8998
removed	removed	ACE2|59272	29.0698
ACER2|340485	143.1181	ACER2|340485	330.0537
ACER3|55331	617.2351	ACER3|55331	814.4007
ACE|1636	621.4982	removed	removed
ACHE|43	11.8758	ACHE|43	18.3363
ACIN1|22985	3098.9647	ACIN1|22985	2593.4705
ACLY|47	4519.4884	ACLY|47	3090.7871
ACN9|57001	85.8709	ACN9|57001	98.39
ACO1|48	1081.9123	ACO1|48	5455.2773
ACO2|50	1424.19	ACO2|50	2641.1002
ACOT11|26027	75.5177	ACOT11|26027	26.4401
ACOT13|55856	660.5481	ACOT13|55856	665.6306
ACOT1|641371	358.4044	ACOT1|641371	1101.5206
ACOT2|10965	301.4616	ACOT2|10965	790.2504
ACOT4|122970	163.5201	ACOT4|122970	194.9911
removed	removed	ACOT6|641372	11.1807
ACOT7|11332	453.715	ACOT7|11332	223.1664
ACOT8|10005	288.511	ACOT8|10005	185.483
ACOT9|23597	725.335	ACOT9|23597	827.8175
ACOX1|51	1738.7333	ACOX1|51	2985.814
ACOX2|8309	457.3691	ACOX2|8309	250.4472
ACOX3|8310	667.4787	ACOX3|8310	481.6637
ACOXL|55289	8.2217	removed	removed
ACP1|52	1389.7686	ACP1|52	926.2075
ACP2|53	1538.3678	ACP2|53	843.0233
ACP5|54	507.6127	ACP5|54	838.1038
ACP6|51205	246.0414	ACP6|51205	146.2433
ACPL2|92370	357.7954	ACPL2|92370	246.4222
ACPP|55	24.9695	ACPP|55	18.3363
ACRBP|84519	24.056	ACRBP|84519	34.4365
ACRC|93953	6.3946	ACRC|93953	18.7835
removed	removed	ACR|49	7.6029
ACSBG1|23205	5.4811	ACSBG1|23205	6.2612
ACSF2|80221	1006.6991	ACSF2|80221	906.0823
ACSF3|197322	237.5152	ACSF3|197322	265.653
ACSL1|2180	1202.8015	ACSL1|2180	12016.9946
ACSL3|2181	3133.0694	ACSL3|2181	2167.263
ACSL4|2182	1613.2765	ACSL4|2182	2896.6905
ACSL5|51703	214.0682	ACSL5|51703	1114.9374
ACSL6|23305	13.3983	ACSL6|23305	5.814
ACSM1|116285	32.5822	ACSM1|116285	15.2057
ACSM3|6296	39.9117	ACSM3|6296	16.0689
ACSM5|54988	12.7893	ACSM5|54988	563.5063
ACSS1|84532	601.0962	ACSS1|84532	414.5796
ACSS2|55902	575.5177	ACSS2|55902	3043.8283
ACSS3|79611	118.4531	ACSS3|79611	827.3703
removed	removed	ACTA1|58	30.4114
ACTA2|59	24063.5566	ACTA2|59	12829.7004
ACTBL2|345651	5.1766	removed	removed
ACTB|60	162354.1413	ACTB|60	80366.2791
ACTC1|70	7.9172	ACTC1|70	5.814
ACTG1|71	94877.2838	ACTG1|71	44958.8551
ACTG2|72	354.7503	ACTG2|72	4332.737
ACTL6A|86	1076.1267	ACTL6A|86	673.0769
ACTN1|87	13549.6346	ACTN1|87	8366.2791
removed	removed	ACTN2|88	5.3667
ACTN4|81	14020.2345	ACTN4|81	10882.822
ACTR10|55860	1334.6529	ACTR10|55860	1260.7335
ACTR1A|10121	3316.9915	ACTR1A|10121	3065.7424
ACTR1B|10120	1210.1096	ACTR1B|10120	1154.7406
ACTR2|10097	9890.3776	ACTR2|10097	6513.864
ACTR3B|57180	80.3898	ACTR3B|57180	113.1485
ACTR3C|653857	26.4921	ACTR3C|653857	29.517
ACTR3|10096	5943.0572	ACTR3|10096	3560.8229
ACTR5|79913	161.3886	ACTR5|79913	142.6655
ACTR6|64431	556.0292	ACTR6|64431	517.4419
ACTR8|93973	608.0999	ACTR8|93973	432.4687
ACVR1B|91	936.3581	ACVR1B|91	957.0662
ACVR1C|130399	15.2253	ACVR1C|130399	1559.4812
ACVR1|90	1882.4604	ACVR1|90	1184.2576
ACVR2A|92	571.5591	ACVR2A|92	479.8748
ACVR2B|93	159.5615	ACVR2B|93	148.4794
ACVRL1|94	818.514	ACVRL1|94	1455.7245
ACY1|95	516.1328	ACY1|95	454.3828
ACY3|91703	6.0901	removed	removed
ACYP1|97	43.24	ACYP1|97	41.1449
ACYP2|98	73.9951	ACYP2|98	240.161
ADAD2|161931	5.7856	ADAD2|161931	6.6682
ADAL|161823	147.9903	ADAL|161823	194.9911
ADAM10|102	3047.503	ADAM10|102	1633.7209
ADAM11|4185	5.7856	ADAM11|4185	6.2612
ADAM12|8038	4313.0329	ADAM12|8038	877.4597
ADAM15|8751	3254.0469	ADAM15|8751	3168.2424
ADAM17|6868	1004.8721	ADAM17|6868	877.4597
ADAM19|8728	871.1937	ADAM19|8728	101.9678
ADAM22|53616	44.458	ADAM22|53616	190.966
ADAM23|8745	48.1121	ADAM23|8745	43.381
ADAM28|10863	253.6541	ADAM28|10863	116.2791
ADAM32|203102	10.3532	ADAM32|203102	39.356
ADAM33|80332	40.1949	ADAM33|80332	589.2934
ADAM6|8755	1760.7856	ADAM6|8755	4352.1512
ADAM8|101	1186.6626	ADAM8|101	48.3005
ADAM9|8754	3989.3423	ADAM9|8754	3000
ADAMDEC1|27299	12.1803	removed	removed
ADAMTS10|81794	179.0499	ADAMTS10|81794	300.9839
ADAMTS12|81792	1116.6261	ADAMTS12|81792	304.1145
ADAMTS13|11093	27.7101	ADAMTS13|11093	37.1199
ADAMTS14|140766	459.8051	removed	removed
ADAMTS15|170689	97.7467	ADAMTS15|170689	674.8658
ADAMTS16|170690	361.1449	ADAMTS16|170690	322.0036
ADAMTS17|170691	71.2546	ADAMTS17|170691	29.9642
ADAMTS18|170692	86.7844	ADAMTS18|170692	298.3005
ADAMTS19|171019	17.9659	removed	removed
ADAMTS1|9510	482.9476	ADAMTS1|9510	11419.9463
ADAMTS2|9509	1198.2339	ADAMTS2|9509	1203.9356
