gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
?|100133144	11.1576	?|100133144	5.3762
?|100134869	6.0837	?|100134869	6.7597
?|10357	101.9458	?|10357	113.4628
?|10431	1137.2273	?|10431	695.3883
?|155060	133.7087	?|155060	137.1359
?|390284	11.9634	?|390284	14.9676
?|57714	1388.8107	?|57714	900.4854
removed	removed	?|645851	9.7087
?|652919	77.7621	?|652919	86.2824
?|653553	243.1386	?|653553	112.8641
?|8225	162.9134	?|8225	291.2621
?|90288	44.6868	?|90288	16.5858
A1BG|1	36.3125	A1BG|1	20.2265
A2LD1|87769	31.981	A2LD1|87769	89.8665
A2ML1|144568	56.6502	A2ML1|144568	6.068
A2M|2	7903.5749	A2M|2	43998.3172
A4GALT|53947	125.2639	A4GALT|53947	413.4304
AAAS|8086	287.8255	AAAS|8086	420.712
AACS|65985	1047.8536	AACS|65985	641.1812
removed	removed	AADACL2|344752	10.9223
removed	removed	AADACL3|126767	10.5178
removed	removed	AADAC|13	59.466
AADAT|51166	26.3899	AADAT|51166	78.0744
AAGAB|79719	2578.4659	AAGAB|79719	848.7055
AAK1|22848	1399.0148	AAK1|22848	1431.2298
AAMP|14	1793.4553	AAMP|14	1449.0291
AARS2|57505	289.5778	AARS2|57505	260.1092
AARSD1|80755	552.7797	AARSD1|80755	374.5955
AARS|16	1871.9212	AARS|16	2777.9126
AASDHPPT|60496	735.3976	AASDHPPT|60496	826.0518
AASDH|132949	286.7699	AASDH|132949	348.301
AASS|10157	386.3476	AASS|10157	678.3981
AATF|26574	1840.9571	AATF|26574	913.4304
AATK|9625	6.6854	AATK|9625	18.2039
ABAT|18	4348.3462	ABAT|18	276.699
ABCA10|10349	14.0746	ABCA10|10349	464.4013
ABCA11P|79963	226.0978	ABCA11P|79963	138.572
removed	removed	ABCA12|26154	8.4951
ABCA13|154664	24.9824	removed	removed
ABCA17P|650655	9.5004	removed	removed
ABCA1|19	856.0697	ABCA1|19	5526.246
ABCA2|20	1649.5426	ABCA2|20	1162.2168
ABCA3|21	1285.3624	ABCA3|21	868.932
removed	removed	ABCA4|24	23.8673
ABCA5|23461	125.6158	ABCA5|23461	1024.6764
ABCA6|23460	100.9852	ABCA6|23460	1772.6537
ABCA7|10347	380.7178	ABCA7|10347	193.7702
ABCA8|10351	90.4293	ABCA8|10351	6333.3333
ABCA9|10350	49.2611	ABCA9|10350	3855.178
ABCB10|23456	1061.9282	ABCB10|23456	483.8188
removed	removed	ABCB11|8647	14.9676
ABCB1|5243	84.7994	ABCB1|5243	365.2913
ABCB4|5244	27.4455	ABCB4|5244	33.9806
ABCB5|340273	8.7966	ABCB5|340273	101.5372
ABCB6|10058	481.1576	ABCB6|10058	485.8091
ABCB7|22	721.323	ABCB7|22	531.5534
ABCB8|11194	362.4208	ABCB8|11194	273.8673
ABCB9|23457	442.449	ABCB9|23457	48.8107
ABCC10|89845	329.3455	ABCC10|89845	247.1683
ABCC11|85320	209.0077	ABCC11|85320	32.767
ABCC12|94160	7.3892	removed	removed
ABCC1|4363	1943.7016	ABCC1|4363	1157.767
removed	removed	ABCC2|1244	37.2168
ABCC3|8714	1513.3709	ABCC3|8714	448.2201
ABCC4|10257	279.7326	ABCC4|10257	242.7184
ABCC5|10057	1310.3448	ABCC5|10057	770.6311
removed	removed	ABCC6P1|653190	17.3948
ABCC6P2|730013	13.3709	ABCC6P2|730013	36.4078
ABCC6|368	162.2097	ABCC6|368	492.7184
ABCC8|6833	34.1309	ABCC8|6833	16.9903
ABCC9|10060	137.2273	ABCC9|10060	3028.7217
ABCD1|215	329.6974	ABCD1|215	384.7087
removed	removed	ABCD2|225	665.8576
ABCD3|5825	2020.0563	ABCD3|5825	1384.3042
ABCD4|5826	215.6932	ABCD4|5826	628.2362
ABCE1|6059	2577.0584	ABCE1|6059	1494.7411
ABCF1|23	1866.6432	ABCF1|23	1250.4045
ABCF2|10061	1160.8023	ABCF2|10061	975.3236
ABCF3|55324	1032.7234	ABCF3|55324	684.466
ABCG1|9619	1256.1576	ABCG1|9619	583.3333
ABCG2|9429	54.1872	ABCG2|9429	302.9935
ABHD10|55347	1032.0197	ABHD10|55347	762.945
ABHD11|83451	355.0317	ABHD11|83451	170.712
removed	removed	ABHD12B|145447	13.754
ABHD12|26090	1179.4511	ABHD12|26090	749.1909
ABHD13|84945	737.1569	ABHD13|84945	516.5858
ABHD14A|25864	135.468	ABHD14A|25864	223.7662
ABHD14B|84836	1321.6045	ABHD14B|84836	2375.4045
ABHD15|116236	1301.1963	ABHD15|116236	840.2104
ABHD1|84696	12.3153	ABHD1|84696	40.4531
ABHD2|11057	31990.8515	ABHD2|11057	4199.8382
ABHD3|171586	1152.0056	ABHD3|171586	297.7346
ABHD4|63874	920.8304	ABHD4|63874	1352.7508
