gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
?|100133144	6.2799	?|100133144	7.8301
?|100134869	5.1665	lowly_expressed	lowly_expressed
?|10357	141.4698	?|10357	101.8006
?|10431	1793.1842	?|10431	679.9407
?|155060	167.2737	?|155060	104.318
?|390284	13.5276	?|390284	13.1178
?|57714	941.7274	?|57714	1095.9631
?|645851	8.3247	?|645851	8.7452
lowly_expressed	lowly_expressed	?|652919	33.7659
?|653553	283.2986	?|653553	121.8084
lowly_expressed	lowly_expressed	?|729884	19.0521
?|8225	215.9209	?|8225	325.447
?|90288	27.0552	?|90288	18.7398
A1BG|1	76.0614	A1BG|1	40.6871
A2LD1|87769	20.9235	A2LD1|87769	63.9494
A2ML1|144568	27.3153	A2ML1|144568	10.3069
A2M|2	14530.1483	A2M|2	31633.1662
A4GALT|53947	285.3798	A4GALT|53947	264.8552
AAAS|8086	675.078	AAAS|8086	486.2966
AACS|65985	1814.5161	AACS|65985	1221.2072
lowly_expressed	lowly_expressed	AADACL2|344752	20.6137
lowly_expressed	lowly_expressed	AADAC|13	164.5975
AADAT|51166	27.5754	AADAT|51166	69.3371
AAGAB|79719	2359.5213	AAGAB|79719	846.0998
AAK1|22848	1137.6171	AAK1|22848	1258.3743
AAMP|14	1422.7367	AAMP|14	1790.8956
AARS2|57505	210.9599	AARS2|57505	306.0607
AARSD1|80755	225.8065	AARSD1|80755	423.8307
AARS|16	4181.0614	AARS|16	2823.7683
AASDHPPT|60496	1196.41	AASDHPPT|60496	854.8013
AASDH|132949	530.1769	AASDH|132949	426.3294
AASS|10157	56.7118	AASS|10157	878.8944
AATF|26574	971.6441	AATF|26574	867.6505
AATK|9625	53.3299	AATK|9625	45.2877
ABAT|18	3777.3153	ABAT|18	605.294
lowly_expressed	lowly_expressed	ABCA10|10349	439.4472
ABCA11P|79963	84.8829	ABCA11P|79963	116.9829
ABCA12|26154	952.1332	ABCA12|26154	298.5867
lowly_expressed	lowly_expressed	ABCA13|154664	22.1754
ABCA17P|650655	8.0645	lowly_expressed	lowly_expressed
