gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
?|100133144	24.6974	lowly_expressed	lowly_expressed
?|100134869	10.2728	lowly_expressed	lowly_expressed
?|10357	83.125	?|10357	129.4521
?|10431	1004.9603	?|10431	906.7552
?|155060	103.9187	?|155060	129.3367
lowly_expressed	lowly_expressed	?|390284	6.9912
?|57714	1476.6865	?|57714	1071.0478
?|645851	15.377	?|645851	9.7876
?|652919	71.4286	?|652919	84.9043
?|653553	1393.3532	?|653553	144.3677
?|8225	347.9663	?|8225	529.2318
?|90288	264.6329	?|90288	25.5178
A1BG|1	116.1062	A1BG|1	19.0335
A2LD1|87769	29.6627	A2LD1|87769	104.4027
A2ML1|144568	10.4167	lowly_expressed	lowly_expressed
A2M|2	3230.6027	A2M|2	41209.473
A4GALT|53947	343.006	A4GALT|53947	500.9176
AAAS|8086	534.4742	AAAS|8086	582.3648
AACS|65985	1206.1012	AACS|65985	620.4667
lowly_expressed	lowly_expressed	AADAC|13	295.7266
AADAT|51166	80.3571	AADAT|51166	79.0003
AAGAB|79719	2536.9544	AAGAB|79719	699.8165
AAK1|22848	1088.2937	AAK1|22848	1175.9154
AAMP|14	2084.3254	AAMP|14	2122.5203
AARS2|57505	323.4053	AARS2|57505	237.3119
AARSD1|80755	365.0794	AARSD1|80755	486.5857
AARS|16	3609.871	AARS|16	3483.3523
AASDHPPT|60496	797.619	AASDHPPT|60496	719.7413
AASDH|132949	500.9921	AASDH|132949	291.5319
AASS|10157	66.4683	AASS|10157	664.8606
AATF|26574	1228.9187	AATF|26574	1025.2556
AATK|9625	30.0099	AATK|9625	40.5488
ABAT|18	2517.3611	ABAT|18	182.8192
lowly_expressed	lowly_expressed	ABCA10|10349	268.1115
ABCA11P|79963	109.3552	ABCA11P|79963	114.0994
ABCA12|26154	631.2004	lowly_expressed	lowly_expressed
ABCA17P|650655	20.5853	lowly_expressed	lowly_expressed
ABCA1|19	1172.3462	ABCA1|19	6671.3449
ABCA2|20	1537.9464	ABCA2|20	1811.4131
ABCA3|21	8677.0833	ABCA3|21	1126.9772
ABCA4|24	16.8651	ABCA4|24	20.9735
ABCA5|23461	156.25	ABCA5|23461	897.6667
ABCA6|23460	20.5853	ABCA6|23460	1417.81
ABCA7|10347	101.4385	ABCA7|10347	271.6071
ABCA8|10351	13.3929	ABCA8|10351	6041.0731
ABCA9|10350	11.1607	ABCA9|10350	1690.4658
ABCB10|23456	977.4306	ABCB10|23456	489.0326
lowly_expressed	lowly_expressed	ABCB11|8647	40.8984
lowly_expressed	lowly_expressed	ABCB1|5243	149.6111
ABCB4|5244	32.7381	ABCB4|5244	41.5975
lowly_expressed	lowly_expressed	ABCB5|340273	50.686
ABCB6|10058	120.8234	ABCB6|10058	738.7259
ABCB7|22	542.6587	ABCB7|22	592.502
ABCB8|11194	295.8829	ABCB8|11194	461.4175
ABCB9|23457	275.9673	ABCB9|23457	53.3776
ABCC10|89845	205.1091	ABCC10|89845	241.8946
ABCC11|85320	102.4306	ABCC11|85320	11.5354
ABCC13|150000	361.3591	lowly_expressed	lowly_expressed
ABCC1|4363	3962.0536	ABCC1|4363	1224.8536
ABCC2|1244	9.4246	ABCC2|1244	44.394
ABCC3|8714	142.1131	ABCC3|8714	63.2701
ABCC4|10257	79.6131	ABCC4|10257	131.0845
ABCC5|10057	1983.879	ABCC5|10057	487.6344
ABCC6P1|653190	10.4167	ABCC6P1|653190	39.5001
ABCC6P2|730013	31.746	ABCC6P2|730013	73.0578
ABCC6|368	150.7937	ABCC6|368	1041.3353
ABCC8|6833	75.8929	lowly_expressed	lowly_expressed
ABCC9|10060	143.1052	ABCC9|10060	4122.6951
ABCD1|215	310.2679	ABCD1|215	743.1618
lowly_expressed	lowly_expressed	ABCD2|225	1627.1957
ABCD3|5825	1605.6548	ABCD3|5825	1173.8181
ABCD4|5826	390.129	ABCD4|5826	722.5378
ABCE1|6059	1654.0179	ABCE1|6059	1215.066
ABCF1|23	1478.6706	ABCF1|23	1523.3767
ABCF2|10061	793.4028	ABCF2|10061	1049.0256
ABCF3|55324	1296.131	ABCF3|55324	880.8879
ABCG1|9619	1054.0675	ABCG1|9619	840.3391
ABCG2|9429	22.5694	ABCG2|9429	109.7614
ABHD10|55347	664.9306	ABHD10|55347	592.8515
ABHD11|83451	2412.2024	ABHD11|83451	148.912
ABHD12B|145447	20.0893	ABHD12B|145447	17.8275
ABHD12|26090	2280.506	ABHD12|26090	836.1444
ABHD13|84945	401.2897	ABHD13|84945	425.0634
ABHD14A|25864	201.9172	ABHD14A|25864	438.0599
ABHD14B|84836	1346.9742	ABHD14B|84836	3478.1089
ABHD15|116236	351.6865	ABHD15|116236	1776.8068
ABHD1|84696	35.7143	ABHD1|84696	59.7745
ABHD2|11057	2730.6548	ABHD2|11057	2763.6109
ABHD3|171586	729.4147	ABHD3|171586	328.9347
ABHD4|63874	1326.3889	ABHD4|63874	1554.1379
ABHD5|51099	1896.0813	ABHD5|51099	2444.8134
ABHD6|57406	161.2103	ABHD6|57406	671.1527
ABHD8|79575	200.1488	ABHD8|79575	132.1332
ABI1|10006	1514.881	ABI1|10006	1146.902
ABI2|10152	1235.119	ABI2|10152	623.9622
ABI3BP|25890	81.3492	ABI3BP|25890	3637.5076
ABI3|51225	49.3552	ABI3|51225	145.4164
ABL1|25	2126.9841	ABL1|25	2820.9386
ABL2|27	2303.8194	ABL2|27	778.8167
ABLIM1|3983	1099.2063	ABLIM1|3983	8845.932
ABLIM2|84448	23.8095	ABLIM2|84448	121.2969
ABLIM3|22885	323.6607	ABLIM3|22885	4767.2813
ABO|28	67.2123	ABO|28	19.5753
lowly_expressed	lowly_expressed	ABP1|26	6.2921
lowly_expressed	lowly_expressed	ABRA|137735	10.4868
ABR|29	2416.1706	ABR|29	1549.2441
ABT1|29777	562.5	ABT1|29777	401.9925
ABTB1|80325	141.121	ABTB1|80325	851.8745
ABTB2|25841	146.0813	ABTB2|25841	76.5534
ACAA1|30	1035.9623	ACAA1|30	1845.6698
ACAA2|10449	809.5238	ACAA2|10449	4668.7058
ACACA|31	1937.252	ACACA|31	2958.6647
ACACB|32	440.7242	ACACB|32	15333.7412
ACAD10|80724	1994.2956	ACAD10|80724	544.2629
ACAD11|84129	468.9013	ACAD11|84129	1207.0087
ACAD8|27034	616.0714	ACAD8|27034	577.1214
ACAD9|28976	1411.0441	ACAD9|28976	1388.0905
ACADL|33	15.625	ACADL|33	672.5509
ACADM|34	967.7579	ACADM|34	2788.7792
ACADSB|36	2273.3135	ACADSB|36	1548.1954
ACADS|35	340.5258	ACADS|35	1714.9349
ACADVL|37	4556.4335	ACADVL|37	8073.0473
ACAN|176	8.9286	ACAN|176	18.1771
ACAP1|9744	10.6647	ACAP1|9744	44.394
ACAP2|23527	1575.8929	ACAP2|23527	1768.7669
ACAP3|116983	431.0739	ACAP3|116983	414.5766
ACAT1|38	2591.0218	ACAT1|38	4612.7764
ACAT2|39	551.9395	ACAT2|39	270.4955
ACBD3|64746	4261.1607	ACBD3|64746	1191.9951
ACBD4|79777	171.627	ACBD4|79777	310.4081
ACBD5|91452	772.3214	ACBD5|91452	1156.6897
ACBD6|84320	644.0972	ACBD6|84320	337.3241
ACBD7|414149	48.8591	ACBD7|414149	6.6416
ACCN2|41	99.9504	ACCN2|41	68.1639
lowly_expressed	lowly_expressed	ACCN3|9311	14.3319
ACCS|84680	239.0873	ACCS|84680	542.1655
ACD|65057	259.6726	ACD|65057	190.859
ACE2|59272	7.1925	ACE2|59272	20.9735
ACER2|340485	133.1845	ACER2|340485	454.4263
ACER3|55331	161.4583	ACER3|55331	1349.9956
ACE|1636	508.4325	ACE|1636	1069.3
ACHE|43	6.6964	ACHE|43	7.6903
ACIN1|22985	3396.8254	ACIN1|22985	2357.4238
ACLY|47	6756.4484	ACLY|47	3101.2846
ACMSD|130013	6.9444	lowly_expressed	lowly_expressed
ACN9|57001	12.6488	ACN9|57001	135.6288
ACO1|48	1067.2123	ACO1|48	11857.0305
ACO2|50	2082.9315	ACO2|50	4480.0559
ACOT11|26027	13.0779	ACOT11|26027	6.376
ACOT13|55856	472.3239	ACOT13|55856	964.2297
ACOT1|641371	391.6171	ACOT1|641371	2191.7329
ACOT2|10965	295.3869	ACOT2|10965	1352.4425
ACOT4|122970	420.8829	ACOT4|122970	336.9746
lowly_expressed	lowly_expressed	ACOT6|641372	19.2257
ACOT7|11332	415.1786	ACOT7|11332	230.3592
ACOT8|10005	371.121	ACOT8|10005	200.5173
ACOT9|23597	223.4623	ACOT9|23597	803.985
ACOX1|51	1499.6553	ACOX1|51	4769.6443
ACOX2|8309	1410.2183	ACOX2|8309	608.2321
ACOX3|8310	653.5218	ACOX3|8310	465.9617
ACP1|52	1680.8036	ACP1|52	1058.1141
ACP2|53	638.1448	ACP2|53	1053.9194
ACP5|54	663.4425	ACP5|54	298.1736
ACP6|51205	493.7996	ACP6|51205	199.2484
ACPL2|92370	308.0357	ACPL2|92370	214.9786
ACPP|55	12.4008	ACPP|55	8.0398
ACRBP|84519	33.4821	ACRBP|84519	37.0532
ACRC|93953	7.4405	ACRC|93953	33.2081
lowly_expressed	lowly_expressed	ACR|49	7.3407
lowly_expressed	lowly_expressed	ACSBG1|23205	12.2346
ACSF2|80221	671.875	ACSF2|80221	1215.066
ACSF3|197322	357.6389	ACSF3|197322	273.7044
ACSL1|2180	642.1131	ACSL1|2180	39093.9439
ACSL3|2181	1886.1607	ACSL3|2181	1856.5062
ACSL4|2182	324.6528	ACSL4|2182	2869.8768
ACSL5|51703	643.3532	ACSL5|51703	1134.3179
ACSL6|23305	156.746	lowly_expressed	lowly_expressed
ACSM1|116285	36.4583	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	11.1859
lowly_expressed	lowly_expressed	ACSM2B|348158	5.2434
ACSM3|6296	7.3065	ACSM3|6296	6.3305
ACSM5|54988	7.1925	ACSM5|54988	2048.7634
