gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
?|100133144	14.6549	?|100133144	11.691
?|10357	76.4469	?|10357	114.6254
?|10431	871.1649	?|10431	763.7551
?|155060	152.3123	?|155060	186.82
?|390284	12.3496	?|390284	12.7448
?|553137	10.2914	removed	removed
?|57714	872.9658	?|57714	778.9866
?|645851	24.6993	removed	removed
removed	removed	?|652919	35.6357
?|653553	172.1232	?|653553	178.1163
?|8225	387.9848	?|8225	390.4259
?|90288	82.8456	?|90288	31.0849
A1BG|1	118.2891	A1BG|1	31.0196
A2LD1|87769	54.6858	A2LD1|87769	92.1977
A2M|2	12156.3877	A2M|2	36859.9223
A4GALT|53947	58.1463	A4GALT|53947	506.3724
removed	removed	A4GNT|51146	15.8533
AAAS|8086	777.5133	AAAS|8086	612.0609
AACS|65985	933.1704	AACS|65985	709.3565
removed	removed	AADACL3|126767	9.9472
removed	removed	AADAC|13	422.7541
AADAT|51166	18.2672	AADAT|51166	90.7678
AAGAB|79719	2020.9687	AAGAB|79719	826.8573
AAK1|22848	1270.9848	AAK1|22848	1194.5912
AAMP|14	1605.1971	AAMP|14	1767.7961
AARS2|57505	298.9001	AARS2|57505	262.3003
AARSD1|80755	438.1553	AARSD1|80755	469.6923
AARS|16	1847.559	AARS|16	2732.3593
AASDHPPT|60496	1126.1337	AASDHPPT|60496	765.931
AASDH|132949	516.1124	AASDH|132949	360.5844
AASS|10157	219.4636	AASS|10157	739.8197
AATF|26574	957.0978	AATF|26574	941.8713
AATK|9625	13.3788	AATK|9625	33.2608
ABAT|18	4075.6416	ABAT|18	398.5079
ABCA10|10349	22.1265	ABCA10|10349	534.9705
ABCA11P|79963	146.1632	ABCA11P|79963	112.838
ABCA12|26154	63.292	ABCA12|26154	35.1259
ABCA17P|650655	8.4904	removed	removed
ABCA1|19	351.965	ABCA1|19	4538.5514
ABCA2|20	961.9862	ABCA2|20	1377.0594
ABCA3|21	2917.6047	ABCA3|21	1081.4423
ABCA4|24	503.5055	ABCA4|24	58.7504
