gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
?|100133144	13.4891	removed	removed
?|10357	107.2538	?|10357	93.3628
?|10431	767.2931	?|10431	613.1621
?|155060	168.9547	?|155060	116.3724
?|390284	8.5331	?|390284	6.4205
?|553137	34.4736	removed	removed
?|57714	707.5617	?|57714	1035.7143
?|645851	27.3058	?|645851	18.8604
?|652919	28.7428	removed	removed
?|653553	876.175	?|653553	194.6228
?|8225	463.516	?|8225	292.9374
?|90288	51.5397	?|90288	20.0642
A1BG|1	99.9529	A1BG|1	12.4398
A2LD1|87769	91.3516	A2LD1|87769	85.7624
A2M|2	8412.4951	A2M|2	38299.6228
A4GALT|53947	302.4118	A4GALT|53947	337.0787
AAAS|8086	691.1782	AAAS|8086	518.4591
AACSL|729522	18.0901	removed	removed
AACS|65985	1230.8091	AACS|65985	535.313
removed	removed	AADACL2|344752	25.2809
removed	removed	AADACL3|126767	6.4205
removed	removed	AADAC|13	425.3612
AADAT|51166	35.1562	AADAT|51166	74.2376
AAGAB|79719	1343.1043	AAGAB|79719	709.8716
AAK1|22848	1037.2792	AAK1|22848	1492.7769
AAMP|14	2387.21	AAMP|14	1072.6324
AARS2|57505	344.3535	AARS2|57505	125.5979
AARSD1|80755	459.0788	AARSD1|80755	336.6774
AARS|16	3772.2969	AARS|16	2422.1509
AASDHPPT|60496	396.9581	AASDHPPT|60496	880.4173
AASDH|132949	334.1548	AASDH|132949	407.3034
AASS|10157	122.5348	AASS|10157	962.6806
AATF|26574	850.5758	AATF|26574	652.0867
AATK|9625	10.581	AATK|9625	16.4526
ABAT|18	236.1952	ABAT|18	194.6228
ABCA10|10349	10.2397	ABCA10|10349	556.4165
ABCA11P|79963	93.5497	ABCA11P|79963	115.939
ABCA12|26154	750.5683	removed	removed
ABCA17P|650655	5.1198	removed	removed
ABCA1|19	1349.2276	ABCA1|19	4845.4414
ABCA2|20	1113.0529	ABCA2|20	832.2632
ABCA3|21	1131.8256	ABCA3|21	838.2825
ABCA4|24	11.9463	ABCA4|24	8.0257
ABCA5|23461	452.935	ABCA5|23461	1400.6461
ABCA6|23460	110.5885	ABCA6|23460	1996.3884
ABCA7|10347	239.9498	ABCA7|10347	134.8315
ABCA8|10351	12.9703	ABCA8|10351	6774.4783
ABCA9|10350	83.2827	ABCA9|10350	4102.3274
ABCB10|23456	596.6318	ABCB10|23456	514.0449
removed	removed	ABCB11|8647	5.618
ABCB1|5243	37.8868	ABCB1|5243	252.0064
ABCB4|5244	24.2339	ABCB4|5244	48.5554
removed	removed	ABCB5|340273	88.6838
ABCB6|10058	477.186	ABCB6|10058	462.8491
ABCB7|22	380.5747	ABCB7|22	619.1814
ABCB8|11194	409.9284	ABCB8|11194	260.0321
ABCB9|23457	274.3141	ABCB9|23457	24.077
ABCC10|89845	522.5648	ABCC10|89845	199.4382
ABCC11|85320	833.851	removed	removed
ABCC12|94160	10.2397	removed	removed
ABCC1|4363	1530.149	ABCC1|4363	1215.0883
ABCC2|1244	11.605	ABCC2|1244	79.8555
ABCC3|8714	490.4805	ABCC3|8714	86.2761
ABCC4|10257	125.6067	ABCC4|10257	221.9101
ABCC5|10057	4556.9975	ABCC5|10057	674.5586
removed	removed	ABCC6P1|653190	12.4398
ABCC6P2|730013	18.7727	ABCC6P2|730013	67.4157
ABCC6|368	173.0505	ABCC6|368	646.0674
ABCC8|6833	107.1753	removed	removed
ABCC9|10060	219.4704	ABCC9|10060	3611.557
ABCD1|215	470.0012	ABCD1|215	284.1091
ABCD2|225	11.9463	ABCD2|225	1333.8684
ABCD3|5825	1614.4557	ABCD3|5825	1362.7608
ABCD4|5826	560.4516	ABCD4|5826	578.6517
ABCE1|6059	1456.7647	ABCE1|6059	1567.0144
