gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
?|100134869	5.7093	lowly_expressed	lowly_expressed
?|10357	184.2677	?|10357	95.9003
?|10431	1633.4946	?|10431	760.0503
?|155060	41.551	?|155060	144.0536
?|340602	7.9296	lowly_expressed	lowly_expressed
?|390284	5.0749	?|390284	8.3752
?|57714	2142.8911	?|57714	844.6399
lowly_expressed	lowly_expressed	?|645851	8.3752
?|652919	21.2101	lowly_expressed	lowly_expressed
?|653553	374.5936	?|653553	168.7605
?|729884	110.0626	lowly_expressed	lowly_expressed
?|8225	363.8094	?|8225	428.8107
?|90288	6.6609	?|90288	34.3384
A1BG|1	117.1834	A1BG|1	31.2605
A2LD1|87769	67.2778	A2LD1|87769	129.7529
A2ML1|144568	168.7416	A2ML1|144568	5.4439
A2M|2	2875.5689	A2M|2	43016.5913
A4GALT|53947	321.3068	A4GALT|53947	460.2178
AAAS|8086	570.613	AAAS|8086	523.8693
AACS|65985	2486.0836	AACS|65985	2050.67
AADAC|13	34.2558	AADAC|13	314.4891
AADAT|51166	1961.7794	AADAT|51166	82.0771
AAGAB|79719	700.9753	AAGAB|79719	695.5611
AAK1|22848	1846.6418	AAK1|22848	1634.4221
AAMP|14	2806.4388	AAMP|14	1927.9732
AARS2|57505	284.8307	AARS2|57505	220.6491
AARSD1|80755	295.6149	AARSD1|80755	456.4489
AARS|16	5162.4772	AARS|16	3099.665
AASDHPPT|60496	1158.3538	AASDHPPT|60496	850.0838
AASDH|132949	847.5141	AASDH|132949	395.7286
AASS|10157	52.6524	AASS|10157	1291.0385
AATF|26574	1962.4138	AATF|26574	923.3668
AATK|9625	11.7358	AATK|9625	30.1508
ABAT|18	302.2758	ABAT|18	390.2848
lowly_expressed	lowly_expressed	ABCA10|10349	506.093
ABCA11P|79963	163.194	ABCA11P|79963	143.2873
ABCA12|26154	1480.9293	ABCA12|26154	18.0067
ABCA13|154664	81.8333	lowly_expressed	lowly_expressed
ABCA17P|650655	10.4671	ABCA17P|650655	5.0251
ABCA1|19	1053.0458	ABCA1|19	4890.4858
ABCA2|20	604.5516	ABCA2|20	1523.4506
ABCA3|21	526.2073	ABCA3|21	1157.4539
ABCA4|24	252.478	ABCA4|24	71.608
ABCA5|23461	416.1446	ABCA5|23461	1020.2889
ABCA6|23460	17.4451	ABCA6|23460	1105.1089
ABCA7|10347	150.6621	ABCA7|10347	285.5946
ABCA8|10351	19.031	ABCA8|10351	6556.5327
ABCA9|10350	8.2468	ABCA9|10350	3392.3786
ABCB10|23456	498.6123	ABCB10|23456	533.0821
lowly_expressed	lowly_expressed	ABCB11|8647	7.9564
lowly_expressed	lowly_expressed	ABCB1|5243	351.7588
ABCB4|5244	32.3527	ABCB4|5244	49.4137
lowly_expressed	lowly_expressed	ABCB5|340273	281.407
ABCB6|10058	766.9336	ABCB6|10058	605.3099
ABCB7|22	538.5774	ABCB7|22	677.9732
ABCB8|11194	431.6866	ABCB8|11194	369.3467
ABCB9|23457	187.0811	ABCB9|23457	38.6055
ABCC10|89845	345.4127	ABCC10|89845	207.7052
ABCC11|85320	888.1136	ABCC11|85320	94.6399
ABCC1|4363	1799.6987	ABCC1|4363	990.7873
ABCC2|1244	106.8908	ABCC2|1244	28.4757
ABCC3|8714	3099.1991	ABCC3|8714	217.3367
ABCC4|10257	398.0652	ABCC4|10257	143.2161
ABCC5|10057	2473.7134	ABCC5|10057	551.9263
lowly_expressed	lowly_expressed	ABCC6P1|653190	32.2446
ABCC6P2|730013	38.3792	ABCC6P2|730013	36.4322
ABCC6|368	7.2952	ABCC6|368	548.5762
ABCC8|6833	17.4451	ABCC8|6833	9.6315
ABCC9|10060	115.1376	ABCC9|10060	2948.0737
ABCD1|215	375.228	ABCD1|215	768.0067
lowly_expressed	lowly_expressed	ABCD2|225	1527.6382
ABCD3|5825	3266.0376	ABCD3|5825	1317.8392
ABCD4|5826	281.6589	ABCD4|5826	768.0067
ABCE1|6059	5482.5153	ABCE1|6059	1340.0335
ABCF1|23	2400.4441	ABCF1|23	1330.8208
ABCF2|10061	1640.4726	ABCF2|10061	945.1424
ABCF3|55324	3001.1894	ABCF3|55324	835.0084
ABCG1|9619	880.184	ABCG1|9619	752.0938
ABCG2|9429	3646.9749	ABCG2|9429	183.8358
lowly_expressed	lowly_expressed	ABCG8|64241	10.0503
ABHD10|55347	933.4708	ABHD10|55347	796.9012
ABHD11|83451	587.7409	ABHD11|83451	248.325
lowly_expressed	lowly_expressed	ABHD12B|145447	12.1441
ABHD12|26090	617.8733	ABHD12|26090	897.8224
ABHD13|84945	483.3875	ABHD13|84945	511.7253
ABHD14A|25864	193.7991	ABHD14A|25864	420.134
ABHD14B|84836	2585.6792	ABHD14B|84836	3803.1826
ABHD15|116236	733.328	ABHD15|116236	1523.0318
ABHD1|84696	10.7842	ABHD1|84696	67.4204
ABHD2|11057	3352.6287	ABHD2|11057	2594.6399
ABHD3|171586	602.0141	ABHD3|171586	399.9162
ABHD4|63874	1426.0566	ABHD4|63874	958.124
