gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
?|100133144	15.6181	removed	removed
?|100134869	5.6004	removed	removed
?|10357	88.2366	?|10357	84.4595
?|10431	1203.9865	?|10431	765.5299
?|155060	130.2041	?|155060	64.9213
?|390284	12.8597	?|390284	8.1152
?|553137	5.4654	removed	removed
?|57714	1064.1376	?|57714	873.732
?|645851	20.897	?|645851	7.3423
?|652919	39.4181	?|652919	135.0826
?|653553	217.0069	?|653553	163.076
?|8225	268.4456	?|8225	194.3774
?|90288	49.1882	?|90288	18.5489
A1BG|1	147.7994	A1BG|1	12.4471
A2LD1|87769	175.5409	A2LD1|87769	107.5297
removed	removed	A2ML1|144568	6.5694
A2M|2	13538.5436	A2M|2	28054.7619
A4GALT|53947	163.6393	A4GALT|53947	210.6077
AAAS|8086	757.113	AAAS|8086	502.7534
AACS|65985	816.589	AACS|65985	1122.2104
removed	removed	AADAC|13	606.3182
AADAT|51166	68.4777	AADAT|51166	83.0838
AAGAB|79719	1909.3393	AAGAB|79719	819.631
AAK1|22848	979.9068	AAK1|22848	1337.8418
AAMP|14	1366.0183	AAMP|14	1076.2245
AARS2|57505	334.6472	AARS2|57505	139.5034
AARSD1|80755	701.1734	AARSD1|80755	305.6709
AARS|16	1698.7623	AARS|16	2647.0872
AASDHPPT|60496	1373.4126	AASDHPPT|60496	936.7211
AASDH|132949	439.1577	AASDH|132949	356.2941
AASS|10157	734.9301	AASS|10157	733.0693
AATF|26574	1363.4464	AATF|26574	769.0078
AATK|9625	26.6935	AATK|9625	16.6554
ABAT|18	4266.5166	ABAT|18	235.3396
ABCA10|10349	61.4049	ABCA10|10349	447.493
ABCA11P|79963	213.702	ABCA11P|79963	125.1821
ABCA12|26154	69.7637	removed	removed
ABCA17P|650655	13.8241	removed	removed
ABCA1|19	1151.5673	ABCA1|19	3810.4724
ABCA2|20	664.5234	ABCA2|20	1183.2673
ABCA3|21	1925.7354	ABCA3|21	803.7871
ABCA4|24	22.8259	ABCA4|24	16.6168
ABCA5|23461	640.09	ABCA5|23461	1699.1595
ABCA6|23460	224.7227	ABCA6|23460	1865.7135
ABCA7|10347	132.4546	ABCA7|10347	141.0492
ABCA8|10351	178.4279	ABCA8|10351	6310.5014
ABCA9|10350	159.1384	ABCA9|10350	1408.1731
ABCB10|23456	505.385	ABCB10|23456	622.1621
removed	removed	ABCB11|8647	20.0947
ABCB1|5243	74.2646	ABCB1|5243	70.7178
ABCB4|5244	48.8667	ABCB4|5244	27.8234
ABCB5|340273	10.9307	ABCB5|340273	71.8771
ABCB6|10058	344.5073	ABCB6|10058	536.6477
ABCB7|22	443.0156	ABCB7|22	674.331
ABCB8|11194	634.6247	ABCB8|11194	215.2449
ABCB9|23457	121.6042	ABCB9|23457	37.4843
