gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
?|100133144	14.8728	?|100133144	6.8563
?|100134869	6.8809	?|100134869	11.241
?|10357	72.7778	?|10357	70.5843
?|10431	664.324	?|10431	1698.0352
?|155060	219.8795	?|155060	61.5305
?|390284	5.6894	?|390284	7.7559
?|553137	7.0281	lowly_expressed	lowly_expressed
?|57714	658.6345	?|57714	456.5667
?|645851	28.1124	?|645851	10.3413
?|652919	51.0843	?|652919	69.819
?|653553	334.3373	?|653553	1139.607
?|8225	349.0629	?|8225	628.7487
?|90288	32.7979	lowly_expressed	lowly_expressed
A1BG|1	147.8012	A1BG|1	9.8242
lowly_expressed	lowly_expressed	A2BP1|54715	2753.878
A2LD1|87769	77.7811	A2LD1|87769	49.1158
A2M|2	18412.5602	A2M|2	18552.5388
A4GALT|53947	232.2624	A4GALT|53947	357.2906
AAAS|8086	408.9692	AAAS|8086	692.8645
AACS|65985	549.5315	AACS|65985	287.4871
AADAT|51166	108.7684	AADAT|51166	24.302
AAGAB|79719	2218.2062	AAGAB|79719	1003.1024
AAK1|22848	938.0857	AAK1|22848	852.12
AAMP|14	2059.2369	AAMP|14	1800.4137
AARS2|57505	265.6928	AARS2|57505	214.0538
AARSD1|80755	303.5475	AARSD1|80755	2914.1675
AARS|16	3230.9237	AARS|16	3208.8935
AASDHPPT|60496	995.9471	AASDHPPT|60496	1552.1406
AASDH|132949	200.4685	AASDH|132949	295.243
AASS|10157	129.5181	AASS|10157	363.4953
AATF|26574	865.4618	AATF|26574	465.3568
AATK|9625	39.1934	AATK|9625	11.3754
ABAT|18	223.2262	ABAT|18	43.9504
ABCA10|10349	21.7537	ABCA10|10349	75.5119
ABCA11P|79963	40.994	ABCA11P|79963	99.9897
ABCA12|26154	376.1714	lowly_expressed	lowly_expressed
ABCA13|154664	30.4552	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCA17P|650655	8.273
ABCA1|19	1039.1031	ABCA1|19	2487.8852
ABCA2|20	2300.5355	ABCA2|20	927.0941
ABCA3|21	1411.6466	ABCA3|21	467.9421
ABCA4|24	164.6586	ABCA4|24	8.7901
ABCA5|23461	309.9063	ABCA5|23461	1978.2627
ABCA6|23460	110.7764	ABCA6|23460	367.1148
ABCA7|10347	206.4926	ABCA7|10347	98.759
ABCA8|10351	125.502	ABCA8|10351	1575.4912
ABCA9|10350	38.822	ABCA9|10350	257.4974
ABCB10|23456	404.2838	ABCB10|23456	778.1799
ABCB1|5243	124.8327	ABCB1|5243	21.7166
ABCB4|5244	45.1807	ABCB4|5244	297.8283
ABCB5|340273	5.6894	ABCB5|340273	6.7218
ABCB6|10058	526.0308	ABCB6|10058	854.7001
ABCB7|22	330.656	ABCB7|22	1033.6091
ABCB8|11194	968.5408	ABCB8|11194	375.3878
ABCB9|23457	211.5897	ABCB9|23457	21.303
ABCC10|89845	393.2396	ABCC10|89845	232.1613
ABCC11|85320	17.0683	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCC12|94160	39.2968
ABCC1|4363	1049.1968	ABCC1|4363	1106.515
ABCC2|1244	27.7778	ABCC2|1244	27.4043
ABCC3|8714	296.5194	lowly_expressed	lowly_expressed
ABCC4|10257	1554.5515	ABCC4|10257	285.4188
ABCC5|10057	4379.5181	ABCC5|10057	1066.1841
ABCC6P2|730013	14.7256	ABCC6P2|730013	28.4385
ABCC6|368	15.0602	ABCC6|368	35.6774
ABCC8|6833	827.6439	ABCC8|6833	20.6825
ABCC9|10060	271.419	ABCC9|10060	3763.7022
ABCD1|215	613.4538	ABCD1|215	686.1427
ABCD2|225	14.0562	ABCD2|225	10.8583
ABCD3|5825	2248.3266	ABCD3|5825	1375.9049
ABCD4|5826	350.4016	ABCD4|5826	282.8335
ABCE1|6059	1197.1218	ABCE1|6059	1376.939
ABCF1|23	1316.9344	ABCF1|23	3290.5895
ABCF2|10061	1476.573	ABCF2|10061	2522.2337
ABCF3|55324	1215.8635	ABCF3|55324	1792.1406
ABCG1|9619	913.3199	ABCG1|9619	1815.4085
ABCG2|9429	290.4953	ABCG2|9429	52.2234
ABHD10|55347	542.5033	ABHD10|55347	817.4767
ABHD11|83451	847.0549	ABHD11|83451	299.3795
ABHD12B|145447	620.8166	lowly_expressed	lowly_expressed
ABHD12|26090	2105.087	ABHD12|26090	275.0776
ABHD13|84945	514.7256	ABHD13|84945	483.971
ABHD14A|25864	172.3561	ABHD14A|25864	458.635
ABHD14B|84836	1274.0964	ABHD14B|84836	535.6774
ABHD15|116236	198.4605	ABHD15|116236	114.788
ABHD1|84696	7.3628	ABHD1|84696	50.6722
ABHD2|11057	6611.4458	ABHD2|11057	1892.4509
ABHD3|171586	338.6881	ABHD3|171586	189.7622
ABHD4|63874	1410.6426	ABHD4|63874	736.2978
ABHD5|51099	589.0228	ABHD5|51099	906.4116
ABHD6|57406	135.5422	ABHD6|57406	129.7828
ABHD8|79575	260.0402	ABHD8|79575	219.2347
ABI1|10006	1429.6386	ABI1|10006	987.0683
ABI2|10152	1296.1847	ABI2|10152	732.1613
ABI3BP|25890	700.8032	ABI3BP|25890	1375.9049
ABI3|51225	322.9585	ABI3|51225	72.9059
ABL1|25	2672.3561	ABL1|25	1492.2441
ABL2|27	1486.6131	ABL2|27	716.6494
ABLIM1|3983	2938.755	ABLIM1|3983	4928.1282
ABLIM2|84448	62.249	ABLIM2|84448	5495.8635
ABLIM3|22885	306.2249	ABLIM3|22885	1299.8966
ABO|28	5.3548	lowly_expressed	lowly_expressed
ABP1|26	9.7055	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABRA|137735	11661.3237
ABR|29	1909.9732	ABR|29	1533.6091
ABT1|29777	416.6667	ABT1|29777	438.4695
ABTB1|80325	603.7483	ABTB1|80325	617.3733
ABTB2|25841	4006.3588	ABTB2|25841	634.9535
ACAA1|30	858.7684	ACAA1|30	1157.7042
ACAA2|10449	527.7778	ACAA2|10449	4516.546
ACACA|31	1150.9371	ACACA|31	859.8759
ACACB|32	255.6894	ACACB|32	5481.9028
ACAD10|80724	394.2436	ACAD10|80724	504.1365
ACAD11|84129	430.2845	ACAD11|84129	259.0486
ACAD8|27034	754.6854	ACAD8|27034	1177.3526
ACAD9|28976	1047.2624	ACAD9|28976	1016.546
lowly_expressed	lowly_expressed	ACADL|33	447.2596
ACADM|34	773.0924	ACADM|34	11752.8438
ACADSB|36	3093.0388	ACADSB|36	3719.7518
ACADS|35	64.5917	ACADS|35	3632.3681
ACADVL|37	3960.7363	ACADVL|37	25832.9628
ACAN|176	82.664	ACAN|176	34.6432
ACAP1|9744	59.2369	ACAP1|9744	38.2627
ACAP2|23527	1553.8822	ACAP2|23527	688.728
ACAP3|116983	613.8722	ACAP3|116983	593.092
ACAT1|38	1202.1419	ACAT1|38	18108.5832
ACAT2|39	205.2811	ACAT2|39	133.4953
ACBD3|64746	2745.9839	ACBD3|64746	1223.8883
ACBD4|79777	169.6787	ACBD4|79777	105.4809
ACBD5|91452	1001.3387	ACBD5|91452	1572.3888
ACBD6|84320	465.8635	ACBD6|84320	301.9648
ACCN2|41	33.8019	ACCN2|41	28.4385
ACCN3|9311	83.3333	ACCN3|9311	25.3361
ACCS|84680	265.0602	ACCS|84680	47.5698
ACD|65057	226.573	ACD|65057	132.8852
ACER2|340485	108.0991	ACER2|340485	41.8821
ACER3|55331	528.1124	ACER3|55331	118.9245
ACE|1636	1040.4953	ACE|1636	980.8687
ACHE|43	44.1767	ACHE|43	4510.8583
ACIN1|22985	2861.4458	lowly_expressed	lowly_expressed
ACLY|47	2698.1258	ACLY|47	1038.2627
ACN9|57001	151.2718	ACN9|57001	323.6815
ACO1|48	690.4284	ACO1|48	1621.5098
ACO2|50	2724.913	ACO2|50	22869.8604
ACOT11|26027	54.8862	ACOT11|26027	536.6908
ACOT13|55856	411.5361	ACOT13|55856	889.2244
ACOT1|641371	783.1325	ACOT1|641371	1606.515
ACOT2|10965	476.2383	ACOT2|10965	1071.8718
ACOT4|122970	179.3842	ACOT4|122970	16.029
lowly_expressed	lowly_expressed	ACOT6|641372	24.302
ACOT7|11332	783.4672	ACOT7|11332	68.7694
ACOT8|10005	421.0375	ACOT8|10005	576.8149
ACOT9|23597	337.0147	ACOT9|23597	829.8862
ACOX1|51	1396.2517	ACOX1|51	3127.1975
ACOX2|8309	1523.0924	ACOX2|8309	259.5657
ACOX3|8310	420.3481	ACOX3|8310	233.1954
ACOXL|55289	58.2329	lowly_expressed	lowly_expressed
ACP1|52	1026.1044	ACP1|52	1484.4881
ACP2|53	835.676	ACP2|53	516.029
ACP5|54	4593.7082	ACP5|54	31.5408
ACP6|51205	202.8112	ACP6|51205	114.788
ACPL2|92370	396.921	ACPL2|92370	135.4705
ACPP|55	51.2048	lowly_expressed	lowly_expressed
ACRBP|84519	39.826	ACRBP|84519	6.7218
ACRC|93953	10.0402	ACRC|93953	38.2627
lowly_expressed	lowly_expressed	ACR|49	5.1706
ACSBG1|23205	6.0241	ACSBG1|23205	31.0238
ACSF2|80221	218.5408	ACSF2|80221	756.9804
ACSF3|197322	266.0643	ACSF3|197322	370.2172
ACSL1|2180	2775.7697	ACSL1|2180	26967.425
ACSL3|2181	3086.0107	ACSL3|2181	3708.3764
ACSL4|2182	934.0696	ACSL4|2182	1256.9804
ACSL5|51703	838.6881	ACSL5|51703	171.6649
ACSL6|23305	11.7135	ACSL6|23305	24.302
ACSM1|116285	5.3548	lowly_expressed	lowly_expressed
ACSM3|6296	15.0736	ACSM3|6296	51.696
ACSM5|54988	57.5636	ACSM5|54988	270.424
ACSS1|84532	1496.6533	ACSS1|84532	1591.5202
ACSS2|55902	1182.7309	ACSS2|55902	5474.6639
ACSS3|79611	63.5877	ACSS3|79611	204.2399
lowly_expressed	lowly_expressed	ACTA1|58	1486514.995
ACTA2|59	9485.5857	ACTA2|59	2541.9493
ACTB|60	91635.2075	ACTB|60	24155.636
ACTC1|70	5.0201	ACTC1|70	5736.2978
ACTG1|71	48647.5904	ACTG1|71	13925.0259
ACTG2|72	76.6399	ACTG2|72	62.0476
ACTL6A|86	869.8126	ACTL6A|86	331.9545
ACTN1|87	6095.7162	ACTN1|87	834.5398
ACTN2|88	13.0522	ACTN2|88	308880.5584
lowly_expressed	lowly_expressed	ACTN3|89	31844.8811
ACTN4|81	8902.7477	ACTN4|81	2394.2037
ACTR10|55860	1080.9906	ACTR10|55860	1610.1344
ACTR1A|10121	3145.917	ACTR1A|10121	5235.7808
ACTR1B|10120	1370.1473	ACTR1B|10120	2566.7011
ACTR2|10097	5913.9893	ACTR2|10097	3765.2534
ACTR3B|57180	184.0696	ACTR3B|57180	117.3733
ACTR3C|653857	23.427	ACTR3C|653857	11.3754
ACTR3|10096	4667.0013	ACTR3|10096	1777.6629
ACTR5|79913	192.1017	ACTR5|79913	116.8563
ACTR6|64431	555.8902	ACTR6|64431	516.029
ACTR8|93973	310.5756	ACTR8|93973	450.3619
ACVR1B|91	1522.0884	ACVR1B|91	567.7353
lowly_expressed	lowly_expressed	ACVR1C|130399	47.5698
ACVR1|90	1124.1633	ACVR1|90	902.7921
ACVR2A|92	469.2102	ACVR2A|92	385.7291
ACVR2B|93	390.8969	ACVR2B|93	777.6629
ACVRL1|94	423.6948	ACVRL1|94	722.8542
ACY1|95	517.7376	ACY1|95	673.7332
ACYP1|97	23.0924	ACYP1|97	125.6463
ACYP2|98	47.5234	ACYP2|98	1748.1903
ADAL|161823	167.6707	ADAL|161823	875.9049
ADAM10|102	4544.1767	ADAM10|102	785.4188
ADAM11|4185	6.0241	lowly_expressed	lowly_expressed
ADAM12|8038	3769.0763	ADAM12|8038	33.092
ADAM15|8751	2158.33	ADAM15|8751	1307.1355
ADAM17|6868	598.3936	ADAM17|6868	506.7218
ADAM19|8728	322.9585	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM21P1|145241	9.3071
ADAM21|8747	5.3548	ADAM21|8747	8.7901
