gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
?|100133144	17.295	?|100133144	9.9332
?|100134869	23.1124	?|100134869	5.0207
?|10357	166.0144	?|10357	120.9068
?|10431	1334.7804	?|10431	665.9243
?|155060	284.1877	?|155060	283.8053
?|390284	5.6771	removed	removed
?|57714	607.7809	?|57714	521.7945
removed	removed	?|645851	11.454
removed	removed	?|652919	41.3108
?|653553	201.3692	?|653553	220.49
removed	removed	?|729884	5.727
?|8225	565.3698	?|8225	482.978
removed	removed	?|90288	11.454
A1BG|1	91.9553	A1BG|1	71.979
A2LD1|87769	127.3602	A2LD1|87769	71.3777
A2ML1|144568	772.75	A2ML1|144568	11.7722
A2M|2	11824.6652	A2M|2	29384.6357
A4GALT|53947	870.93	A4GALT|53947	891.1868
removed	removed	A4GNT|51146	5.4088
AAAS|8086	414.0925	AAAS|8086	460.07
AACS|65985	787.1097	AACS|65985	759.7836
AADAT|51166	138.9214	AADAT|51166	93.5412
AAGAB|79719	1118.3837	AAGAB|79719	918.5492
AAK1|22848	1066.2882	AAK1|22848	1101.8136
AAMP|14	2007.6807	AAMP|14	1904.2316
AARS2|57505	319.2453	AARS2|57505	416.7897
AARSD1|80755	384.3713	AARSD1|80755	526.8851
AARS|16	9310.7363	AARS|16	2279.0328
AASDHPPT|60496	864.201	AASDHPPT|60496	741.6481
AASDH|132949	334.9474	AASDH|132949	426.0261
AASS|10157	112.5397	AASS|10157	627.426
AATF|26574	1161.7966	AATF|26574	907.0951
AATK|9625	75.8056	AATK|9625	79.5418
ABAT|18	162.6315	ABAT|18	316.8947
ABCA10|10349	9.3505	ABCA10|10349	599.1091
ABCA11P|79963	70.2655	ABCA11P|79963	90.8654
ABCA12|26154	23.0422	ABCA12|26154	5.727
ABCA13|154664	381.3658	ABCA13|154664	22.908
ABCA17P|650655	50.4258	removed	removed
ABCA1|19	502.2541	ABCA1|19	1670.035
ABCA2|20	915.3448	ABCA2|20	1240.8527
ABCA3|21	2239.7729	ABCA3|21	1014.9539
ABCA4|24	18.367	ABCA4|24	63.9516
ABCA5|23461	436.8008	ABCA5|23461	1114.8584
ABCA6|23460	30.389	ABCA6|23460	1115.1766
ABCA7|10347	320.2538	ABCA7|10347	287.6233
ABCA8|10351	8.0147	ABCA8|10351	3602.609
ABCA9|10350	6.6789	ABCA9|10350	1893.4139
ABCB10|23456	784.4381	ABCB10|23456	428.8896
ABCB1|5243	29.7212	ABCB1|5243	349.0296
ABCB4|5244	27.0496	ABCB4|5244	31.1804
removed	removed	ABCB5|340273	170.5377
ABCB6|10058	370.3256	ABCB6|10058	371.7467
ABCB7|22	348.3052	ABCB7|22	443.8435
ABCB8|11194	364.3346	ABCB8|11194	339.1664
ABCB9|23457	190.9167	ABCB9|23457	163.7512
ABCC10|89845	640.8415	ABCC10|89845	423.4808
ABCC11|85320	12.6899	ABCC11|85320	9.545
ABCC1|4363	1822.341	ABCC1|4363	1205.8543
ABCC2|1244	7.0129	ABCC2|1244	20.6809
ABCC3|8714	284.5216	ABCC3|8714	784.2825
ABCC4|10257	1168.4755	ABCC4|10257	169.5832
ABCC5|10057	2008.6826	ABCC5|10057	918.8673
removed	removed	ABCC6P2|730013	10.8177
ABCC6|368	24.0441	ABCC6|368	103.0862
removed	removed	ABCC8|6833	23.5444
ABCC9|10060	71.4644	ABCC9|10060	1317.531
ABCD1|215	677.9095	ABCD1|215	264.0789
ABCD2|225	14.3597	ABCD2|225	80.4963
ABCD3|5825	1172.1489	ABCD3|5825	1307.3497
ABCD4|5826	263.4831	ABCD4|5826	731.4668
ABCE1|6059	1923.8604	ABCE1|6059	1774.4193
ABCF1|23	2382.0337	ABCF1|23	1441.6163
ABCF2|10061	1164.8021	ABCF2|10061	1101.1772
ABCF3|55324	1407.5806	ABCF3|55324	920.14
ABCG1|9619	470.8632	ABCG1|9619	653.5157
ABCG2|9429	38.7377	ABCG2|9429	186.4461
ABCG4|64137	12.6899	removed	removed
ABHD10|55347	501.2523	ABHD10|55347	566.0197
ABHD11|83451	877.9429	ABHD11|83451	597.8365
ABHD12|26090	1946.5687	ABHD12|26090	718.1037
ABHD13|84945	669.2269	ABHD13|84945	772.8285
ABHD14A|25864	111.2139	ABHD14A|25864	212.0172
ABHD14B|84836	1194.8572	ABHD14B|84836	1629.0169
ABHD15|116236	207.3802	ABHD15|116236	321.0309
ABHD1|84696	12.356	ABHD1|84696	12.4085
ABHD2|11057	5201.5361	ABHD2|11057	2875.2784
ABHD3|171586	863.2493	ABHD3|171586	260.2609
ABHD4|63874	563.3662	ABHD4|63874	715.2402
ABHD5|51099	566.7056	ABHD5|51099	1124.0853
ABHD6|57406	176.3233	ABHD6|57406	335.0302
ABHD8|79575	425.4467	ABHD8|79575	217.6265
ABI1|10006	2399.4423	ABI1|10006	1655.6952
ABI2|10152	2027.3835	ABI2|10152	1851.734
ABI3BP|25890	49.4239	ABI3BP|25890	2951.6386
ABI3|51225	121.5562	ABI3|51225	255.8066
ABL1|25	1076.6405	ABL1|25	3192.8094
ABL2|27	2212.7233	ABL2|27	1402.7999
ABLIM1|3983	2701.9536	ABLIM1|3983	7985.3643
ABLIM2|84448	155.9526	ABLIM2|84448	153.6748
ABLIM3|22885	156.2865	ABLIM3|22885	1589.8823
ABO|28	41.4093	ABO|28	21.3172
ABP1|26	47.7542	ABP1|26	12.4085
ABR|29	2334.6135	ABR|29	2141.5845
ABT1|29777	659.8764	ABT1|29777	540.8845
ABTB1|80325	473.8688	ABTB1|80325	872.0967
ABTB2|25841	1052.2625	ABTB2|25841	159.0837
ACAA1|30	673.2343	ACAA1|30	806.2361
ACAA2|10449	620.1369	ACAA2|10449	1412.0267
ACACA|31	1318.0832	ACACA|31	1259.6246
ACACB|32	303.2226	ACACB|32	2839.3255
ACAD10|80724	384.0374	ACAD10|80724	462.9335
ACAD11|84129	302.8886	ACAD11|84129	522.0872
ACAD8|27034	497.5789	ACAD8|27034	489.3414
ACAD9|28976	1028.2151	ACAD9|28976	751.279
ACADL|33	32.0588	ACADL|33	35.6347
ACADM|34	1702.4545	ACADM|34	1193.4458
ACADSB|36	643.8471	ACADSB|36	1563.1562
ACADS|35	247.1197	ACADS|35	468.0242
ACADVL|37	3837.0045	ACADVL|37	6862.5199
ACAN|176	1437.9696	ACAN|176	7.9542
ACAP1|9744	66.7891	ACAP1|9744	103.0862
ACAP2|23527	2428.4522	ACAP2|23527	1601.6545
ACAP3|116983	316.6138	ACAP3|116983	469.615
ACAT1|38	1524.7955	ACAT1|38	1171.4922
ACAT2|39	337.0646	ACAT2|39	245.132
ACBD3|64746	3134.0791	ACBD3|64746	1739.1028
ACBD4|79777	152.2792	ACBD4|79777	266.9424
